ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ANDE,EPC,2022-03-31,0.843,-2.499,0.541,20.373,4.57,-0.0,-2.501,0.096,-1.101,0.118,-0.775,2017-04-17,consumer_staples
ANDE,INGR,2022-03-31,0.706,-2.025,0.688,65.178,4.57,-0.02,-2.417,0.145,0.848,0.118,0.311,2017-04-17,consumer_staples
ANDE,MGPI,2022-03-31,0.941,-2.185,1.849,8.608,4.57,0.017,-1.753,0.189,2.55,0.266,4.477,2017-04-17,consumer_staples
ANDE,PRMW,2022-03-31,0.882,-2.556,0.174,9.93,4.57,-0.0,-2.558,0.098,-1.265,0.103,-1.204,2017-04-17,consumer_staples
BF-A,WMT,2022-03-31,0.686,2.17,1.911,10.369,4.57,-0.025,2.942,0.084,-0.409,0.144,-2.236,2017-04-17,consumer_staples
BF-B,GIS,2022-03-31,0.549,2.284,0.496,23.175,4.57,-0.031,2.937,-0.026,2.842,-0.062,3.591,2017-04-17,consumer_staples
BF-B,WMT,2022-03-31,0.922,2.306,1.691,16.761,4.57,-0.023,3.02,0.08,-0.209,0.131,-1.819,2017-04-17,consumer_staples
BG,EPC,2022-03-31,0.588,-2.073,0.229,19.537,4.57,-0.006,-2.17,-0.028,-2.499,0.045,-1.384,2017-04-17,consumer_staples
BG,PRMW,2022-03-31,1.0,-2.819,0.083,9.056,4.57,-0.007,-2.932,-0.013,-3.028,0.043,-2.121,2017-04-17,consumer_staples
BG,SPB,2022-03-31,0.824,-3.051,0.897,11.073,4.57,-0.05,-4.393,-0.033,-3.949,0.065,-1.317,2017-04-17,consumer_staples
BGS,BTI,2022-03-31,0.647,2.217,0.304,26.671,4.57,0.012,2.042,-0.074,3.323,-0.036,2.758,2017-04-17,consumer_staples
BGS,SFM,2022-03-31,0.824,3.015,0.466,12.045,4.57,0.025,2.568,0.072,1.746,0.117,0.955,2017-04-17,consumer_staples
BGS,SPTN,2022-03-31,0.588,4.129,0.671,2.056,4.57,-0.023,4.497,-0.077,5.376,0.012,3.939,2017-04-17,consumer_staples
BGS,WMK,2022-03-31,0.686,3.326,1.301,18.015,4.57,-0.097,5.158,-0.084,4.91,-0.06,4.463,2017-04-17,consumer_staples
BTI,ENR,2022-03-31,0.667,-2.12,0.004,40.185,4.57,-0.03,-2.315,-0.031,-2.322,-0.048,-2.435,2017-04-17,consumer_staples
BUD,IBA,2022-03-31,1.0,2.742,0.373,17.576,4.57,0.002,2.693,-0.028,3.565,0.024,2.032,2017-04-17,consumer_staples
BUD,THS,2022-03-31,0.529,-2.104,0.31,25.414,4.57,0.002,-2.085,0.202,-0.246,0.238,0.088,2017-04-17,consumer_staples
CCEP,DEO,2022-03-31,0.549,2.778,2.839,26.145,4.57,0.025,2.19,0.101,0.424,0.134,-0.33,2017-04-17,consumer_staples
CCEP,UVV,2022-03-31,0.608,3.426,0.628,16.186,4.57,0.012,3.09,-0.036,4.398,-0.002,3.48,2017-04-17,consumer_staples
CCU,THS,2022-03-31,0.725,-2.175,1.242,26.494,4.57,0.017,-2.025,0.182,-0.538,0.26,0.162,2017-04-17,consumer_staples
CCU,UVV,2022-03-31,0.549,2.463,0.862,32.984,4.57,-0.013,2.648,-0.095,3.83,-0.074,3.524,2017-04-17,consumer_staples
CELH,KDP,2022-03-31,0.529,2.315,0.118,26.089,4.57,0.029,1.727,0.102,0.261,0.066,0.99,2017-04-17,consumer_staples
CELH,WMK,2022-03-31,0.745,2.801,0.249,39.06,4.57,-0.104,4.152,-0.006,2.879,-0.008,2.91,2017-04-17,consumer_staples
CENT,ENR,2022-03-31,0.745,-2.185,0.06,37.937,4.57,-0.027,-2.381,-0.029,-2.391,-0.042,-2.488,2017-04-17,consumer_staples
CENT,KHC,2022-03-31,0.549,2.324,0.501,12.494,4.57,-0.043,3.575,0.038,1.222,0.004,2.211,2017-04-17,consumer_staples
CENT,SFM,2022-03-31,0.647,3.096,0.289,11.133,4.57,0.038,2.46,0.12,1.064,0.133,0.83,2017-04-17,consumer_staples
CENT,WMK,2022-03-31,0.588,3.39,0.809,15.355,4.57,-0.082,4.858,-0.027,3.875,-0.04,4.098,2017-04-17,consumer_staples
CENTA,ENR,2022-03-31,0.647,-2.204,0.075,37.584,4.57,-0.028,-2.411,-0.029,-2.419,-0.042,-2.513,2017-04-17,consumer_staples
CENTA,SFM,2022-03-31,0.549,3.063,0.331,10.561,4.57,0.041,2.339,0.121,0.941,0.134,0.709,2017-04-17,consumer_staples
CENTA,WMK,2022-03-31,0.549,3.327,0.919,14.004,4.57,-0.075,4.714,-0.023,3.747,-0.035,3.977,2017-04-17,consumer_staples
CHEF,UVV,2022-03-31,0.941,2.195,0.449,33.788,4.57,0.034,1.585,-0.071,3.463,-0.009,2.351,2017-04-17,consumer_staples
CL,GIS,2022-03-31,0.529,2.481,0.752,0.507,4.57,-0.022,3.187,-0.001,2.512,-0.032,3.496,2017-04-17,consumer_staples
CL,MKC-V,2022-03-31,0.588,2.194,0.946,15.104,4.57,0.012,1.85,0.066,0.243,0.133,-1.704,2017-04-17,consumer_staples
CL,SJM,2022-03-31,0.608,2.194,1.509,2.338,4.57,-0.002,2.257,0.054,0.523,0.05,0.64,2017-04-17,consumer_staples
CLX,HRL,2022-03-31,0.765,3.617,0.098,27.919,4.57,0.004,3.53,0.054,2.346,0.068,2.031,2017-04-17,consumer_staples
COKE,TWNK,2022-03-31,0.529,2.943,0.023,7.336,4.57,-0.038,4.066,0.082,0.504,0.066,0.978,2017-04-17,consumer_staples
COST,NOMD,2022-03-31,0.608,-2.034,0.02,16.681,4.57,-0.094,-3.222,0.011,-1.891,-0.018,-2.256,2017-04-17,consumer_staples
COTY,THS,2022-03-31,0.569,-2.258,1.036,37.346,4.57,-0.0,-2.259,0.262,-0.551,0.288,-0.381,2017-04-17,consumer_staples
DAR,MNST,2022-03-31,0.784,-2.704,0.543,52.574,4.57,0.06,-1.471,0.063,-1.408,0.197,1.328,2017-04-17,consumer_staples
DAR,NOMD,2022-03-31,0.725,-2.738,0.114,18.549,4.57,-0.112,-4.64,-0.064,-3.818,-0.011,-2.919,2017-04-17,consumer_staples
DAR,PRMW,2022-03-31,0.824,-2.378,0.08,10.648,4.57,0.028,-1.899,-0.002,-2.406,0.039,-1.711,2017-04-17,consumer_staples
DEO,TWNK,2022-03-31,0.686,3.118,0.093,-0.292,4.57,-0.017,3.74,-0.02,3.878,-0.059,5.318,2017-04-17,consumer_staples
EL,KDP,2022-03-31,0.529,3.196,0.061,15.289,4.57,0.012,2.836,0.036,2.112,0.013,2.804,2017-04-17,consumer_staples
EL,SJM,2022-03-31,0.843,2.268,0.163,73.951,4.57,-0.008,2.468,0.036,1.363,0.005,2.153,2017-04-17,consumer_staples
EPC,HLF,2022-03-31,0.647,-2.513,0.318,33.474,4.57,-0.091,-3.162,-0.199,-3.941,-0.197,-3.922,2017-04-17,consumer_staples
EPC,MGPI,2022-03-31,0.647,2.326,1.974,-12.127,4.57,-0.025,2.689,-0.073,3.381,-0.122,4.076,2017-04-17,consumer_staples
EPC,MO,2022-03-31,0.98,2.795,0.626,18.701,4.57,-0.036,3.569,-0.031,3.466,0.107,0.502,2017-04-17,consumer_staples
EPC,SFM,2022-03-31,0.725,2.752,0.398,9.141,4.57,0.042,2.109,0.106,1.127,0.12,0.903,2017-04-17,consumer_staples
EPC,UVV,2022-03-31,0.784,2.201,0.605,25.96,4.57,0.01,2.018,-0.087,3.841,-0.057,3.269,2017-04-17,consumer_staples
FIZZ,SFM,2022-03-31,0.824,2.516,0.199,15.824,4.57,0.044,1.924,0.154,0.42,0.183,0.024,2017-04-17,consumer_staples
FMX,THS,2022-03-31,0.549,-2.321,0.221,29.051,4.57,0.02,-2.167,0.21,-0.671,0.271,-0.2,2017-04-17,consumer_staples
FMX,UVV,2022-03-31,0.804,2.075,0.286,24.65,4.57,-0.027,2.568,-0.107,4.016,-0.09,3.705,2017-04-17,consumer_staples
FRPT,SJM,2022-03-31,0.569,2.066,0.169,96.371,4.57,-0.007,2.18,0.026,1.669,-0.034,2.576,2017-04-17,consumer_staples
GIS,KMB,2022-03-31,0.706,-2.427,0.653,93.496,4.57,0.068,-0.481,0.042,-1.23,0.048,-1.058,2017-04-17,consumer_staples
HAIN,WMK,2022-03-31,0.588,3.519,0.962,15.964,4.57,-0.091,5.03,-0.108,5.306,-0.132,5.717,2017-04-17,consumer_staples
HLF,SFM,2022-03-31,0.686,2.896,0.12,17.287,4.57,0.036,2.563,0.118,1.791,0.146,1.531,2017-04-17,consumer_staples
HSY,MDLZ,2022-03-31,0.745,-3.007,0.216,22.142,4.57,0.007,-2.623,0.013,-2.334,-0.002,-3.115,2017-04-17,consumer_staples
IBA,MO,2022-03-31,0.51,2.077,0.249,29.383,4.57,-0.055,2.766,-0.027,2.423,0.13,0.435,2017-04-17,consumer_staples
IMKTA,PRMW,2022-03-31,0.51,-2.038,0.084,10.069,4.57,-0.013,-2.209,0.001,-2.028,-0.023,-2.341,2017-04-17,consumer_staples
INGR,MO,2022-03-31,0.745,2.681,0.477,0.62,4.57,-0.041,3.816,0.026,1.973,0.11,-0.355,2017-04-17,consumer_staples
INGR,SFM,2022-03-31,0.588,2.573,0.283,-0.666,4.57,0.022,2.172,0.137,0.09,0.124,0.325,2017-04-17,consumer_staples
