ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABT,CYRX,2020-11-12,0.53,3.7,0.62,-28.89,4.5,0.06,2.32,-0.062,5.12,-0.013,3.99,2015-11-27,health_care_equipment_and_services
ABT,PEN,2020-11-12,0.76,3.2,1.99,4.43,4.5,0.149,-1.45,0.075,0.85,0.056,1.45,2015-11-27,health_care_equipment_and_services
ACHC,CYH,2020-11-12,0.59,3.75,0.04,2.55,4.5,0.015,3.61,-0.001,3.76,-0.083,4.52,2015-11-27,health_care_equipment_and_services
ACHC,MCK,2020-11-12,0.51,2.78,0.18,130.52,4.5,0.036,2.3,-0.018,3.01,-0.006,2.85,2015-11-27,health_care_equipment_and_services
ACHC,NTUS,2020-11-12,0.71,-2.46,0.53,11.98,4.5,-0.106,-3.33,-0.01,-2.54,-0.021,-2.63,2015-11-27,health_care_equipment_and_services
ADUS,NVCR,2020-11-12,0.92,2.44,1.25,-32.93,4.5,-0.165,5.59,-0.115,4.64,-0.14,5.12,2015-11-27,health_care_equipment_and_services
ADUS,PEN,2020-11-12,1.0,4.24,1.47,47.46,4.5,0.211,-0.53,0.17,0.39,0.064,2.78,2015-11-27,health_care_equipment_and_services
ALGN,MODV,2020-11-12,0.8,3.75,0.13,32.16,4.5,0.029,3.19,-0.099,5.68,-0.103,5.74,2015-11-27,health_care_equipment_and_services
AMED,PEN,2020-11-12,0.59,4.01,0.55,78.45,4.5,0.243,-2.49,0.16,-0.28,0.065,2.28,2015-11-27,health_care_equipment_and_services
AMEH,ANTM,2020-11-12,1.0,2.6,0.17,253.86,4.5,0.056,1.89,0.021,2.33,0.121,1.07,2015-11-27,health_care_equipment_and_services
AMEH,HUM,2020-11-12,0.57,2.22,-0.89,326.7,4.5,0.108,1.38,0.056,1.78,0.123,1.26,2015-11-27,health_care_equipment_and_services
AMEH,ISRG,2020-11-12,0.75,2.53,-0.06,178.03,4.5,-0.032,2.82,-0.077,3.22,-0.071,3.16,2015-11-27,health_care_equipment_and_services
