,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper
FCNCA_BAC,-0.04564113512969415,-0.037477561575381776,-0.03532991556391431,-0.01813703009227715,-0.009731466439184778,-0.030387940115625012,-0.03801835438790575,0.06393227893492018,-0.02616563060364139,-0.07087099730716936
IBN_BAC,-0.05107324487134295,0.012384475898237665,-0.004529375313179262,0.007442097471793581,-0.03925860939935801,0.018925014322259424,0.01663108331012988,0.02606774417868464,0.041948641941507214,-0.01441018491474182
SHG_BBVA,-0.016516741188644053,0.006691422560656179,0.06529518089702545,-0.014428835341850162,0.0031016342434415467,-0.017437434025007584,-0.010541197458808885,0.04426371839649059,-0.015388545105817874,-0.03758444467690811
BSAC_BCH,-0.04091559057183613,-0.006553778318910279,0.0013744787896405944,-0.005587108413585213,-0.02119526699275237,-0.009884496805686465,0.03938975974365385,-0.042685873863436766,0.04431511213638173,0.04608442431629231
PB_BCS,0.029319738064712907,0.0011116632138408078,-0.033528700981904205,-0.03596774094519094,-0.08290650646017603,-0.022924911492868218,0.06926774130776116,-0.005989687535558208,0.002839764392423419,0.023335078304580106
PNFP_BCS,0.020929078102740178,-0.018561562754491775,-0.05491099470500606,-0.03776919023714721,0.01059042198695229,-0.013734438524992865,-0.025728597156379443,-0.0007202083586135249,-0.000623615092376027,-0.0031955814973334876
FCNCA_BNS,0.038605089820227284,-0.022612242639632567,-0.04331056782106144,-0.04906521391076112,0.011059586988919718,0.02156008616831561,-0.026741528628787144,0.03777321605615586,0.02292385403603524,-0.006431995916369171
FHN_BNS,0.018084717825345775,-0.008709978097421077,-0.004914040532592453,-0.012354915308288743,-0.04897937824809733,0.030839865944680214,0.037612834337549424,-0.029516864420856805,0.03207787425425194,0.03541055869767243
FITB_BNS,-0.021398865546376055,0.020438647678849387,0.026059909269840514,0.0030298413477892337,-0.0013262754328394705,0.0010097155466135353,0.023203497679422747,0.002447161887891296,-0.026844842276151935,0.03241605441311756
PNFP_BNS,-0.011015212821541946,-0.016225900388438564,0.014488917184182978,0.0032891332337036125,-0.007752876786189837,0.010301801185197017,0.010172196603812201,-0.005900689099711909,-0.007661998154685336,0.002220053637679017
MFG_BOKF,0.022061654254820547,0.030468262210107955,-0.01301691046298962,0.02851771418380241,0.004617105132425439,0.006597154851706189,-0.030937021018843998,0.0337538508387672,-0.030662065956482683,-0.022082327165859235
SMFG_BOKF,-0.029549218304579045,-0.01060619591945422,0.047530383917887505,0.01495081787542485,-0.04267227144267512,-0.06181041558486797,0.03308581305078019,-0.029165377939772162,-0.014171829070977075,-0.0420461012865522
TFC_BOKF,0.00943673936160391,0.01842620654892115,-0.009838038590270565,0.04657861668778514,0.010959205023716686,0.005980246599259453,-0.0019267230541411841,-0.02237582801786208,0.009281775592463362,0.031312838143786464
WBS_BOKF,-0.033188670280617116,-0.01170317113330015,-0.0009894008823991235,0.04538078653817843,0.19493560176177047,-0.02306591680957538,-0.10674409667662403,-0.05564757721285857,-0.09045100763387577,0.02937151790079709
MTB_BSAC,-0.03534500134669393,-0.028012099478185806,0.0036176295176015426,-0.012274267957194615,0.01723681900753624,-0.038281953061158294,-0.041986828026204945,0.027061725100479057,-0.06631693085940972,-0.0701617889930078
ITUB_BSBR,0.012950814858192265,0.03585493104684536,0.030423530244146547,0.006134609644826499,-0.021197334231260367,0.007260222675123592,0.018203681893797004,-0.027476343760904243,0.03349364939197571,0.017596921381546025
IBN_C,-0.0009638034061535462,0.027792273298691578,0.0544721778872751,0.0042867806485443714,0.0072912968673010834,-0.010732926067918308,-0.0027405355969821726,0.009283616593062202,-0.006806158961052433,0.0032304115127809686
CMA_CFR,-0.05590853733490829,-0.03586132012209554,0.019475470840011815,-0.0005029015770500149,-0.043691337312957775,0.014798580790449005,0.060268972235434405,-0.06384796751953799,0.010166668121131043,0.04667306825140814
ZION_CFR,0.06755220747951501,0.05530720413453371,0.016132272407749938,0.03773188818741085,-0.015899683670819925,-0.03846022869503405,0.027585557927211606,-0.02547953112657853,-0.04131956886953618,0.027794581169794358
TFC_EWBC,0.04761362990311241,0.047008527414175064,0.048342801002267684,0.10118864536771818,-0.031833721634826326,0.01580459776921339,0.02515645469348813,-0.018171323162755312,0.029771106839524823,-0.0018787281856234087
JPM_FCNCA,0.012923112416517396,-0.012583174941455853,-0.042465305989896895,-0.035415019552570086,-0.023526570092222743,0.0035670010228814448,0.03284907513142194,-0.02860788652213369,0.017371981864872835,0.04366306916073517
PNC_FCNCA,0.017186747415013998,-0.008986975341196957,-0.033834918204251524,-0.022531284977877476,-0.02045431114109826,-0.00423132340051798,0.03697644894852887,-0.026433582499350655,-0.008510625037584589,0.03257570621347983
TFC_FCNCA,-0.014977525720708991,0.0016043867595760522,-0.004896187463580341,0.035979346830391126,0.026343210770102227,-0.012822165830760415,-0.031614265218846964,0.030626336788556915,0.027325823386776256,-0.010403882792774448
NWG_FHN,-0.05704574814917161,0.027377384787703237,0.08676577328127684,0.06920278221730752,-0.19771304619978786,0.07284946584315435,0.13933533949297902,-0.003682128094764338,0.07460953373184998,0.0657863039836167
SHG_FHN,-0.04617674697032558,-0.024384290106617038,0.014943512353779316,0.007288762948383153,0.17436672239211493,-0.05547113673265203,-0.10038110551428497,-0.053891501927983476,-0.09981973389057598,-0.009487127081316077
SMFG_FHN,0.0014549548942032302,0.01017687457643364,-0.039231983799955586,0.01806685561177533,-0.09441369936283027,0.011284227436247829,0.03766496888188522,-0.00483283837077935,0.051863566039147706,0.006136836089457141
