,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper
SLB_APA,-0.012286592576146955,0.009224715953780112,-0.004406953429751835,0.03251954450876255,-0.017086745611992655,0.013603913285417057,0.023143578943550916,-0.01540415705975761,0.022893467338753994,0.03209548221336014
PBR-A_BP,-0.006553234088172581,-0.005304148348694208,0.053607788204786844,-0.0728488825780905,-0.03561273093231815,-0.01800909973019502,0.04381884985242575,-0.06301874337412847,0.02506762667086222,-0.00012178282566382623
PXD_CNQ,0.001418640823308584,0.11537981431295707,0.10037347494682357,0.08887109726500142,-0.04490797649663654,0.011350158490058888,0.03691789851509413,-0.022551223949710975,0.07060725054032937,0.07777797820069252
XOM_CVX,-0.014402873801165235,0.03359694103504702,-0.016993358968174332,0.09742989740757126,-0.03978125386335419,0.03805388615807743,0.028886705839123044,0.030284783518987283,0.05251794380022974,0.023115904417352593
TTE_DVN,0.024867371750197105,-0.00010735253066968862,-0.04215909625379109,0.03267639175550488,-0.020297955209984463,-0.028744370836646344,0.01965710125361587,0.046053144688606766,-0.029479098392041915,-0.05214742660354435
TTE_EOG,-0.024101965052278244,-0.024442838212564263,0.019199583891257768,0.043826865464726916,0.27908359230608853,-0.06138101989769933,-0.15427885170030448,0.016216686311089357,-0.08046307967478349,-0.03732885604073844
MPC_EQNR,-0.02726880041422879,-0.0318631934411702,-0.021363848145034864,0.011271372431329297,0.014835485744437577,0.0044035933602588374,0.007966551886111024,0.01193300125739449,-0.02245048669615347,-0.011031951214307183
MPC_FANG,-0.007899292370739065,-0.04286666154802157,0.03359713760958432,0.01141818950012465,0.11716910150919246,-0.037360539336740585,-0.05473041745693626,-0.0468394434121768,-0.11906868740200256,0.0016146237965543352
TTE_FANG,-0.07752637571579146,-0.036156546390649,0.025930388139986806,-0.033638609921131664,0.019438479253050155,-0.007624710352003788,-0.008633847976329488,0.03909219793936548,-0.028721407951063822,-0.010360714366605744
TS_PXD,-0.03432214213837561,0.0017513869360410658,0.07865986035608087,0.006955899753932973,-0.013022592524832155,-0.010941694025127287,0.013564160756111839,-0.002269539352217352,-0.010291618490577657,-0.0063436564598237846
