,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper
APTV_ALV,-0.0648840802471828,-0.010696957529066882,-0.00917799257359341,-0.006036708307639115,-0.0272672885790481,0.004929626242368866,0.014108025262409604,-0.06144916170915785,0.021611260400823687,0.04421942473487939
BWA_ALV,-0.009313057513483169,0.0023191502775686346,0.010565559343298286,0.031866076160662636,0.008195850724339551,0.02654609038054388,-0.0016287620747051084,0.016093042313379387,0.01819029572403065,0.005696367910422341
HMC_ALV,0.08035990792018295,0.052610546462476517,0.0037797490146571086,-0.01151180113453612,-0.018824713897284205,-0.1910734481473956,-0.007045467373391735,0.019497365292328147,-0.014427492092783413,0.016213365649084613
LEA_ALV,-0.005021955250159831,-0.0072063480512102466,-0.03389729757234432,-0.011018990451495533,-0.010137603662460786,0.012822056292395839,0.03154537234441546,-0.05032893048085892,0.112079861805419,0.0893053941661429
STLA_ALV,0.05369108981339462,-0.011200372897808477,-0.032244846547661146,-0.01411804887183469,-0.05348915973427655,0.024064110505279623,0.06036882662354411,-0.0026566534935358026,0.03855239453797441,0.029139514598381898
TM_ALV,-0.0174835991265025,-0.05864489418511974,-0.021096036154972273,-0.022072148392205466,0.0011304712101442992,-0.002762144292668753,0.01656315765547463,-0.04233561379130809,0.03170740812868232,0.015042718518798733
BWA_APTV,-0.014511761451004919,-0.04182910312865502,-0.05638709461253321,-0.0609451390747367,-0.0007774984896404299,-0.0167581587788492,-0.0027158188982863425,0.01839986284856634,0.006736645435744873,0.005478388194859714
HMC_BWA,-0.02416076184349343,0.01389637381415337,0.04677885835766459,0.011496972525816402,-0.00584023071553302,-0.03977435025281337,0.02371010992599511,0.04394948074683584,-0.024236078641802064,-0.02711956882499308
HOG_BWA,0.016865902968045823,-0.022292354835117618,-0.0261540229475227,-0.0326256678276575,0.016204472583754806,-0.002724479265959901,-0.0005784415760426352,0.008409473501488846,-0.006239132673959698,-0.012300050458268404
MGA_GM,0.0011276344772686829,-0.025405298616172824,0.014083089784473505,-0.03655077622407145,-0.023643542310601447,0.017949358700002832,0.013955617176611219,0.002784250560349969,0.047842638966117956,0.032581392137707374
HOG_GT,-0.03314401803561888,0.02933740385584673,0.041116019706535153,0.07848391694356062,-0.006695366898287549,0.024995113421905444,0.03940031582294164,-0.07318094193517395,0.00831424083052698,0.10206163831999844
LEA_HMC,0.013082743115664538,-0.014344816469120102,-0.019743523256767703,-0.04423219715584601,0.014284396631935372,0.0004453618278299935,0.006877515265990713,-0.010369767391075197,0.009418101995615987,0.019620877880348497
STLA_HMC,0.051937621775487004,0.008798952513345329,-0.012157327513575428,0.008126933904371712,-0.001924859954265529,0.0058211821940054795,-0.029547202521176954,0.00012601346676343486,0.06298151689863521,0.012656651521912459
STLA_LEA,-0.030039741542257265,0.008797236360704163,-0.04319228062501295,0.02760967700449151,-0.008698688619993431,-0.015288510355142507,0.02660421080436283,0.0022482926923759025,-0.014781615963771812,0.000757699809406686
TM_STLA,0.013363911336764636,0.03082709088738089,-0.009822913286970202,-0.008146621975556273,-0.03550310277274443,0.02712843161708768,0.0019381112305645294,-0.03501999314211018,0.008121415093464411,0.003804194780693184
