,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper
COTY_ABEV,-0.027601386806119878,-0.03654194267217054,-0.011865206886522511,-0.01079013238637146,0.026000734321841964,-0.13017449984268734,-0.02907804096286495,0.020458456622675408,-0.028910653756688727,-0.01685283793994462
TAP-A_ABEV,0.031921748978766165,-0.017018571611448038,-0.035930335453401165,-0.0016583549913003516,0.03761132609638667,0.00920084552217498,-0.0508556886091009,0.053589390626535185,0.04443611842974305,0.012256888936916678
WMT_BF-A,-0.011343500898767287,0.039747563905592816,0.03975333790104686,0.06659976984706083,-0.004591394961824892,-0.011117976260906774,-0.00850799301540395,0.06209146883259751,-0.007239126485113192,-0.029388079075055303
CL_BF-B,0.009863358253068574,0.04030341377425637,0.003990701475649082,0.03100578326127978,0.021718558824014425,0.015457052669409867,-0.007769769346400763,0.023840108976127407,0.037742983020559,-0.015233980899586061
WMT_BF-B,-0.0033047421679653537,-0.03592572498166998,-0.002747775197506076,-0.029863198623044974,0.005370941656974402,-0.014882576873989726,0.018647353309230605,0.048511835211118653,-0.006208282731208844,-0.01367963620853048
MO_BG,-0.05598881863067699,-0.014492288027046522,0.0086745360626173,0.019931337381756124,0.016237312653646932,-0.01286652254064468,-0.01765780598059736,-0.0088070602924816,-0.03327297653668662,-0.0289107398161557
PM_BG,-0.022466794625402933,-9.583861097421809e-05,-0.006808431454134626,-0.00485500180709156,-0.016527003060389168,-0.00809692949795773,0.009852687504997005,0.005223085035487423,0.01218078985980281,0.003991213247690928
SJM_BG,-0.04541919407138869,-0.05611817823437149,-0.04141670966148244,-0.05268756298053239,0.003410890751317902,0.029893694074433128,0.007216364160423083,-0.025134092253037137,0.053702563753858255,0.013872134519537744
STZ_BG,-0.025261565771263948,0.009707699255838052,0.006742409852467156,0.013737573214187834,-0.03609634056998164,0.005958011234271498,0.012201335737476107,-0.0011963307705186018,-0.025723950946660676,0.009587805759198903
TAP-A_BG,0.000504886026440701,-0.0015579770605437457,0.020131757105157157,-0.006521133413343295,-0.006568992149631051,0.020568548424091535,0.019372979982336145,0.022858882890304744,0.01387686641487814,0.01201570308141892
INGR_BTI,0.009750011686425537,0.00867971799313988,0.00935742431818734,-0.03543298537431008,-0.011664881348997673,-0.0231652222817451,0.019494889223068898,-0.0005736466939103768,0.01966547589605793,-0.02544670567185141
TAP-A_BTI,0.022644949400449567,0.04387957016435303,0.004720258065048998,0.07839541009863936,-0.014582240960611932,0.010542618544464631,-0.00858550884002594,-0.03269166118420645,0.054300418198477494,0.06269426230613026
COTY_BUD,0.02934332988903525,-0.0005434912890558516,0.008816206546473688,0.0038371848038133995,0.03581828525416529,0.00840721646756346,-0.01253922085194758,-0.00385983074623123,-0.04832812363083767,-0.01251481304856214
TAP-A_BUD,0.009975081952067604,-0.047672209969815305,-0.03222949294238654,0.012578718740560182,-0.018388027369321457,-0.0014520469878703795,0.008133238592884466,-0.10306666545212238,-0.050912642901402426,0.02244265719195947
MNST_CAG,0.01835481866486163,0.041109843905199596,0.025405640816775283,0.010963714535323292,-0.009556098968018893,-0.007654455943207734,0.03554038027596621,-0.0002681500470239442,0.03739766682962433,0.013017440542697793
KO_CASY,0.00026172902508400257,0.016761506446051972,0.02159023651716098,0.06745740310949146,0.01799053706825987,-0.005164726826507994,0.002281088849991703,0.02515297012292813,0.017636281164952285,-0.011314141585557961
MDLZ_CASY,0.06250261125152531,-0.0011624600773357144,-0.0313613608183917,0.04193921778662158,-0.03140811959406817,0.021952010726808576,0.032573790622439355,-6.011677766282491e-05,0.026151569342283496,0.0070387669569794056
PEP_CASY,-0.008048944674777375,-0.04081038522193594,-0.05769580687331631,0.00010944597154341385,-0.017627133805556507,0.005348992049732204,0.011541393313880058,-0.022256593884461415,-0.03282095568004303,0.046744702839303716
POST_CCEP,0.046691932696966636,0.04961884971150861,0.03456980694207841,0.03662700731701159,-0.05158015217437261,0.020816280228409676,0.027290695401898962,-0.0263427640118919,0.058858465047917995,0.029219976310790353
MNST_CL,-0.011931269585146887,-0.00441715553375155,-0.001849700353514678,-0.002363512562328298,-0.0009294083125046414,-0.01385156641671018,0.003681449105265861,0.046266289110027274,-0.03146974268202747,-0.05212043082346071
WMT_CL,0.02586779160695998,0.010329019736591926,0.027673761946685527,0.03756573760533833,0.021482736188304725,0.0028922230781641893,-0.0677519280589346,0.06395208314726966,0.0292625709835478,-0.011996724197249807
KO_COST,0.06400180921693534,-0.005761268431413409,-0.06136989250530894,0.06496810969072443,0.029999174508343694,0.02277191030551604,-0.040638820510016896,0.03394737425244172,-0.003488519561771385,-0.028006735552120333
