ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABMD,CNC,2020-05-19,0.569,2.162,0.066,39.277,5.22,0.089,1.147,0.109,0.924,0.149,0.466,2015-06-03,health_care_equipment_and_services
ABMD,QDEL,2020-05-19,0.569,5.696,0.022,54.767,5.22,-0.108,6.619,-0.384,8.974,-0.316,8.388,2015-06-03,health_care_equipment_and_services
ABT,CNMD,2020-05-19,0.549,-2.263,1.133,-3.939,5.22,-0.005,-2.335,-0.02,-2.572,0.01,-2.114,2015-06-03,health_care_equipment_and_services
ABT,CYRX,2020-05-19,0.725,3.307,0.3,-7.336,5.22,0.006,3.168,-0.108,5.721,-0.061,4.668,2015-06-03,health_care_equipment_and_services
ADUS,ATRC,2020-05-19,0.51,3.93,0.253,11.897,5.22,0.079,2.48,0.052,2.98,0.141,1.342,2015-06-03,health_care_equipment_and_services
ADUS,BSX,2020-05-19,0.725,-2.857,0.276,17.509,5.22,0.005,-2.738,0.04,-1.824,0.03,-2.095,2015-06-03,health_care_equipment_and_services
ADUS,CNMD,2020-05-19,0.647,-2.991,0.842,19.213,5.22,-0.01,-3.164,0.077,-1.663,0.067,-1.842,2015-06-03,health_care_equipment_and_services
ADUS,HCA,2020-05-19,0.843,-2.923,0.989,49.513,5.22,-0.038,-3.527,0.018,-2.629,0.116,-1.066,2015-06-03,health_care_equipment_and_services
ADUS,USPH,2020-05-19,0.706,-3.329,0.992,33.702,5.22,-0.013,-3.473,0.045,-2.817,0.032,-2.969,2015-06-03,health_care_equipment_and_services
ALGN,CYRX,2020-05-19,0.51,3.093,0.018,8.212,5.22,0.015,2.994,-0.242,4.715,-0.184,4.322,2015-06-03,health_care_equipment_and_services
ALGN,HUM,2020-05-19,0.569,2.963,0.23,226.554,5.22,0.055,2.315,0.039,2.501,-0.01,3.078,2015-06-03,health_care_equipment_and_services
ALGN,QDEL,2020-05-19,0.804,5.807,0.071,42.621,5.22,-0.095,6.678,-0.342,8.952,-0.282,8.402,2015-06-03,health_care_equipment_and_services
AMED,ATRC,2020-05-19,0.51,3.741,0.127,13.898,5.22,0.065,2.234,0.104,1.318,0.189,-0.664,2015-06-03,health_care_equipment_and_services
AMED,BSX,2020-05-19,0.569,-2.392,0.111,22.737,5.22,0.023,-2.02,-0.02,-2.724,-0.019,-2.699,2015-06-03,health_care_equipment_and_services
AMED,DXCM,2020-05-19,0.647,5.157,0.387,-8.553,5.22,0.003,5.084,0.018,4.708,0.053,3.849,2015-06-03,health_care_equipment_and_services
AMED,HCA,2020-05-19,0.804,-2.717,0.397,68.135,5.22,-0.02,-2.955,-0.052,-3.335,0.067,-1.927,2015-06-03,health_care_equipment_and_services
AMED,UHS,2020-05-19,0.51,-2.604,0.145,106.21,5.22,-0.021,-2.808,-0.065,-3.236,0.039,-2.22,2015-06-03,health_care_equipment_and_services
AMEH,HUM,2020-05-19,0.765,2.811,3.276,229.778,5.22,0.036,2.389,-0.007,2.895,-0.05,3.407,2015-06-03,health_care_equipment_and_services
AMEH,PODD,2020-05-19,0.569,2.008,1.73,77.716,5.22,0.029,1.862,-0.034,2.179,-0.062,2.321,2015-06-03,health_care_equipment_and_services
AMEH,QDEL,2020-05-19,0.784,5.809,1.304,38.862,5.22,-0.105,6.817,-0.363,9.305,-0.3,8.704,2015-06-03,health_care_equipment_and_services
AMN,BDX,2020-05-19,0.843,2.598,1.502,139.748,5.22,0.086,1.039,0.004,2.525,0.03,2.053,2015-06-03,health_care_equipment_and_services
AMN,HUM,2020-05-19,0.51,4.037,2.625,142.778,5.22,0.038,3.451,0.017,3.777,-0.008,4.156,2015-06-03,health_care_equipment_and_services
AMN,PODD,2020-05-19,0.51,3.07,2.697,-38.649,5.22,0.033,2.798,0.014,2.956,0.017,2.926,2015-06-03,health_care_equipment_and_services
AMN,QDEL,2020-05-19,0.588,6.389,0.86,14.171,5.22,-0.092,7.371,-0.32,9.792,-0.253,9.074,2015-06-03,health_care_equipment_and_services
AMN,RDNT,2020-05-19,0.686,2.4,0.256,-0.496,5.22,0.049,1.844,0.067,1.648,0.075,1.556,2015-06-03,health_care_equipment_and_services
