ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,ABT,2022-03-02,0.549,-3.343,0.989,2.441,4.28,0.044469915,-0.43894842,-0.052,-5.3,-0.051,-5.281,-0.048,-5.169,2017-03-16,health_care_equipment_and_services
ABC,CYRX,2022-03-02,0.51,-3.471,0.893,-50.069,4.28,0.09808598,-2.2547524,-0.06,-4.256,-0.1,-4.77,-0.101,-4.786,2017-03-16,health_care_equipment_and_services
ABC,DGX,2022-03-02,0.941,-3.034,1.039,13.287,4.28,0.037695087,-0.4118385,-0.035,-4.173,-0.03,-4.002,-0.014,-3.474,2017-03-16,health_care_equipment_and_services
ABC,ENOV,2022-03-02,0.765,-2.571,0.658,-3.102,4.28,0.2579335,-1.0315104,-0.053,-3.615,-0.051,-3.57,-0.047,-3.492,2017-03-16,health_care_equipment_and_services
ABC,ISRG,2022-03-02,0.569,-2.504,3.051,-65.37,4.28,0.0002447973,-0.7820728,-0.045,-3.672,-0.104,-5.216,-0.143,-6.237,2017-03-16,health_care_equipment_and_services
ABC,LH,2022-03-02,0.882,-2.822,2.651,-51.461,4.28,0.0015915523,-0.6266373,-0.058,-4.719,-0.067,-4.995,-0.068,-5.055,2017-03-16,health_care_equipment_and_services
ABC,NEOG,2022-03-02,0.627,-3.487,0.229,14.77,4.28,0.26125753,-1.5960594,-0.11,-5.747,-0.153,-6.614,-0.163,-6.817,2017-03-16,health_care_equipment_and_services
ABC,RDNT,2022-03-02,0.961,-2.615,0.299,-9.466,4.28,0.12347797,-1.1681176,-0.061,-3.647,-0.074,-3.854,-0.07,-3.797,2017-03-16,health_care_equipment_and_services
ABT,ANTM,2022-03-02,0.843,2.687,2.884,23.715,4.28,0.013848607,1.1007717,-0.043,3.722,-0.07,4.372,-0.065,4.241,2017-03-16,health_care_equipment_and_services
ABT,CYRX,2022-03-02,0.549,-2.64,0.956,-57.69,4.28,0.19021612,-0.69797724,0.017,-2.342,-0.024,-3.045,-0.031,-3.161,2017-03-16,health_care_equipment_and_services
ABT,MCK,2022-03-02,0.588,4.295,1.758,-9.874,4.28,0.12104,2.673635,-0.074,6.438,-0.095,7.06,-0.12,7.771,2017-03-16,health_care_equipment_and_services
ABT,STE,2022-03-02,0.902,3.233,1.677,4.7,4.28,0.5661264,0.5995291,-0.007,3.504,0.012,2.731,0.027,2.146,2017-03-16,health_care_equipment_and_services
ACHC,ALGN,2022-03-02,0.588,-2.505,11.288,-66.184,4.28,0.028766178,-0.29078048,-0.091,-4.614,-0.211,-7.377,-0.268,-8.678,2017-03-16,health_care_equipment_and_services
ACHC,NEOG,2022-03-02,0.686,-2.55,0.3,24.833,4.28,0.023806842,-0.7096107,-0.114,-4.648,-0.199,-6.215,-0.217,-6.541,2017-03-16,health_care_equipment_and_services
ADUS,PHG,2022-03-02,0.765,-2.559,0.326,14.816,4.28,0.3900643,-0.97687,-0.095,-3.898,-0.115,-4.176,-0.107,-4.067,2017-03-16,health_care_equipment_and_services
ALGN,ANTM,2022-03-02,0.725,3.365,0.31,187.262,4.28,0.5618217,1.7348175,-0.077,4.701,-0.151,5.971,-0.176,6.409,2017-03-16,health_care_equipment_and_services
ALGN,HSIC,2022-03-02,0.843,3.023,0.033,54.304,4.28,0.46749583,0.60336417,-0.034,3.721,-0.009,3.213,-0.061,4.284,2017-03-16,health_care_equipment_and_services
AMED,PHG,2022-03-02,0.98,-2.764,0.084,27.847,4.28,0.7178986,-0.99488884,-0.055,-3.402,-0.06,-3.465,-0.055,-3.403,2017-03-16,health_care_equipment_and_services
