adf_residuals,last_residual,ticker_x,ticker_y,return_one_month,beta,residual_mean_max,trade_date,return_two_month,return_three_month,data_window_start,subindustry
0.6153846153846154,-0.6580896,AAPL,CIEN,0.09101840685458976,0.16627653141731624,3.3020086,2021-10-20,0.23303791381127772,0.13455694312491975,2017-12-28,technology_hardware_and_equipment
0.7692307692307693,-1.8371924,AAPL,INFN,0.027104436168981134,0.05199618238371795,3.3020086,2021-10-20,0.023400255997540476,-0.023293944021280513,2017-12-28,technology_hardware_and_equipment
0.7692307692307693,-1.0796096,AAPL,LITE,0.011378445200411461,0.36170903353179895,3.3020086,2021-10-20,0.07834876946609165,0.05807988880065565,2017-12-28,technology_hardware_and_equipment
0.6153846153846154,0.09170721,AAPL,NTCT,-0.12354646591865164,0.023522441123050797,3.3020086,2021-10-20,-0.1309690762535886,-0.08310376785748785,2017-12-28,technology_hardware_and_equipment
0.9230769230769231,0.43533054,AAPL,PLXS,0.028818491087808002,0.31545165728562896,3.3020086,2021-10-20,0.07711575779553867,0.12476978450357562,2017-12-28,technology_hardware_and_equipment
0.6153846153846154,2.3277078,AAPL,RDWR,0.0998070712102987,0.06406031363035569,3.3020086,2021-10-20,-0.01832677295053009,0.07167717621917286,2017-12-28,technology_hardware_and_equipment
1.0,-0.5424873,AAPL,SMCI,0.09757995162363599,0.17521409406919775,3.3020086,2021-10-20,0.03804503717164258,0.06955795533839858,2017-12-28,technology_hardware_and_equipment
0.6923076923076923,1.1383928,AAPL,SSYS,-0.02641317023962389,0.012958479160575909,3.3020086,2021-10-20,0.20486805985184786,0.22502154439406916,2017-12-28,technology_hardware_and_equipment
0.6153846153846154,-0.5812162,AAPL,TTMI,0.03374479524518508,0.028978156850246184,3.3020086,2021-10-20,0.004284145428464873,0.029113513078535574,2017-12-28,technology_hardware_and_equipment
0.6923076923076923,0.5358707,AAPL,UI,0.06170813381477366,1.8176681025760857,3.3020086,2021-10-20,0.09960729155800611,0.10728574769879896,2017-12-28,technology_hardware_and_equipment
0.6923076923076923,2.748502,AEIS,BMI,-0.0108025096782518,0.8097509260546865,3.3020086,2021-10-20,-0.0007378793877976707,0.06894647844497134,2017-12-28,technology_hardware_and_equipment
0.6923076923076923,2.1992729,AEIS,CGNX,0.045302915158347244,0.6976211177447968,3.3020086,2021-10-20,0.05152424494039439,0.11243940535916286,2017-12-28,technology_hardware_and_equipment
0.5384615384615384,1.0858244,AEIS,CLS,-0.18820965404220882,0.02485952662640667,3.3020086,2021-10-20,-0.08396087235602952,-0.13409354891797443,2017-12-28,technology_hardware_and_equipment
0.8461538461538461,-0.3508635,AEIS,CNXN,0.03707533897403469,0.20400428073577892,3.3020086,2021-10-20,-0.008985808682713098,-0.043043316531062886,2017-12-28,technology_hardware_and_equipment
0.6153846153846154,1.2604753,AEIS,DDD,0.07147215630779913,0.3498777363552379,3.3020086,2021-10-20,0.09688401210627419,0.15113151889918952,2017-12-28,technology_hardware_and_equipment
0.6923076923076923,2.6477978,AEIS,FLEX,0.015393551434376658,0.15875120603065995,3.3020086,2021-10-20,0.040303756872548516,0.05444957590678237,2017-12-28,technology_hardware_and_equipment
0.6923076923076923,2.52168,AEIS,FN,-0.10200850097323942,0.6525348020497574,3.3020086,2021-10-20,-0.10922439804891326,-0.0948383648810293,2017-12-28,technology_hardware_and_equipment
0.7692307692307693,-0.37523082,AEIS,INFN,0.04474028670818557,0.09325589142390545,3.3020086,2021-10-20,0.10789091008876298,0.04119217520447233,2017-12-28,technology_hardware_and_equipment
0.5384615384615384,-1.4347475,AEIS,IPGP,-0.005384626760752753,1.4496299881611243,3.3020086,2021-10-20,0.011209471387456383,-0.03550505558067473,2017-12-28,technology_hardware_and_equipment
0.6153846153846154,0.33665946,AEIS,LOGI,0.05946957477039337,1.2827507716379092,3.3020086,2021-10-20,0.020004718318094993,0.04309551887460674,2017-12-28,technology_hardware_and_equipment
0.6923076923076923,0.01783011,AEIS,NATI,-0.09789065723554473,0.05718549334924816,3.3020086,2021-10-20,-0.022496071745680576,0.00021597892375020228,2017-12-28,technology_hardware_and_equipment
0.5384615384615384,3.6824799,AEIS,NOVT,-0.009141517682684066,1.0244207454600964,3.3020086,2021-10-20,-0.03218864503572571,0.07445038896904198,2017-12-28,technology_hardware_and_equipment
0.8461538461538461,0.33034533,AEIS,NTCT,-0.11916643096205488,0.06258901228899205,3.3020086,2021-10-20,-0.1437402068205606,-0.09365169707458584,2017-12-28,technology_hardware_and_equipment
0.6153846153846154,2.0800683,AEIS,PLUS,-0.05014794133566485,0.1740293777861215,3.3020086,2021-10-20,0.05332038757055439,0.09901224035319604,2017-12-28,technology_hardware_and_equipment
0.9230769230769231,2.1888244,AEIS,PLXS,0.01587919965254811,0.5461290920187363,3.3020086,2021-10-20,0.01883128151354015,0.08066199661348147,2017-12-28,technology_hardware_and_equipment
0.6923076923076923,3.0749013,AEIS,RDWR,0.09299568017129099,0.09894506811519665,3.3020086,2021-10-20,-0.05589161371878003,0.04524989287364104,2017-12-28,technology_hardware_and_equipment
0.9230769230769231,1.4974973,AEIS,SMCI,-0.11570164088657711,0.29005128123466317,3.3020086,2021-10-20,-0.11270637933664296,-0.1261072890432216,2017-12-28,technology_hardware_and_equipment
0.7692307692307693,1.2772957,AEIS,SNX,-0.03471730329070367,1.1146111720186358,3.3020086,2021-10-20,-0.01650574342238797,-0.017536070127588056,2017-12-28,technology_hardware_and_equipment
