ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABMD,QDEL,2020-06-03,0.549,3.851,0.009,60.162,5.15,0.6986965,0.14287092,-0.413,6.49,-0.824,9.108,0.013,3.769,2015-06-17,health_care_equipment_and_services
ABT,SLP,2020-06-03,0.51,3.693,0.582,-15.822,5.15,0.21088132,1.0574484,-0.114,6.871,-0.166,8.323,-0.025,4.382,2015-06-17,health_care_equipment_and_services
ADUS,BSX,2020-06-03,0.725,-2.609,0.268,17.944,5.15,0.8376584,-0.6830954,-0.013,-2.942,-0.004,-2.719,0.078,-0.56,2015-06-17,health_care_equipment_and_services
ADUS,CNMD,2020-06-03,0.627,-2.753,0.809,20.936,5.15,0.74857426,-1.2154258,0.007,-2.633,0.026,-2.295,0.088,-1.209,2015-06-17,health_care_equipment_and_services
ADUS,HCA,2020-06-03,0.824,-3.027,0.941,52.142,5.15,0.30856988,-1.4813983,-0.019,-3.332,0.083,-1.718,0.156,-0.549,2015-06-17,health_care_equipment_and_services
ADUS,USPH,2020-06-03,0.706,-3.238,0.915,37.167,5.15,0.470625,-2.540353,0.046,-2.741,0.014,-3.085,0.087,-2.29,2015-06-17,health_care_equipment_and_services
ALGN,HUM,2020-06-03,0.549,2.508,0.215,231.167,5.15,0.71889967,1.3587272,0.008,2.415,0.006,2.442,-0.03,2.851,2015-06-17,health_care_equipment_and_services
ALGN,MODV,2020-06-03,0.745,2.98,0.082,42.161,5.15,0.804352,0.4757266,0.021,2.585,-0.003,3.032,-0.083,4.521,2015-06-17,health_care_equipment_and_services
ALGN,QDEL,2020-06-03,0.784,3.843,0.06,47.257,5.15,0.7967482,0.06537136,-0.378,6.49,-0.755,9.132,0.021,3.694,2015-06-17,health_care_equipment_and_services
AMED,ATRC,2020-06-03,0.529,3.198,0.133,13.427,5.15,0.32274783,1.1488508,0.07,1.695,0.184,-0.727,0.159,-0.193,2015-06-17,health_care_equipment_and_services
AMED,DXCM,2020-06-03,0.647,3.619,0.404,-10.101,5.15,0.6009552,1.4335554,-0.007,3.758,0.004,3.537,0.063,2.29,2015-06-17,health_care_equipment_and_services
AMEH,HUM,2020-06-03,0.765,2.533,3.211,231.808,5.15,0.83299214,1.0649071,-0.008,2.624,-0.012,2.666,-0.042,3.009,2015-06-17,health_care_equipment_and_services
AMEH,MODV,2020-06-03,0.941,2.818,1.008,46.072,5.15,0.8114794,0.26868552,-0.003,2.861,-0.031,3.332,-0.107,4.623,2015-06-17,health_care_equipment_and_services
AMEH,QDEL,2020-06-03,0.784,3.886,1.297,40.782,5.15,0.9226579,3.225359,-0.377,6.683,-0.74,9.373,0.015,3.776,2015-06-17,health_care_equipment_and_services
AMN,HUM,2020-06-03,0.51,3.431,2.376,157.184,5.15,0.6614465,1.3753384,-0.005,3.498,0.044,2.83,-0.0,3.431,2015-06-17,health_care_equipment_and_services
AMN,QDEL,2020-06-03,0.588,4.157,0.622,28.806,5.15,0.6321601,2.2651055,-0.362,6.904,-0.681,9.316,0.038,3.869,2015-06-17,health_care_equipment_and_services
ANTM,SLP,2020-06-03,0.51,2.966,0.145,-11.898,5.15,0.4575766,2.2910855,-0.167,5.157,-0.275,6.576,-0.149,4.928,2015-06-17,health_care_equipment_and_services
BAX,SLP,2020-06-03,0.569,3.591,0.834,-35.935,5.15,0.06822409,0.23796356,-0.118,7.857,-0.229,11.855,-0.122,7.985,2015-06-17,health_care_equipment_and_services
