ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ALGN,MODV,2021-01-06,0.745,2.872,0.195,17.024,3.99,0.38703796,1.2616465,-0.004,2.958,0.057,1.588,0.09,0.843,2016-01-21,health_care_equipment_and_services
AMEH,EHC,2021-01-06,0.725,2.64,0.13,48.256,3.99,0.57436115,0.96475214,0.046,2.103,0.06,1.939,0.053,2.025,2016-01-21,health_care_equipment_and_services
AMEH,GMED,2021-01-06,0.961,2.942,0.352,43.778,3.99,0.52355546,0.93446034,0.059,2.114,0.088,1.706,0.035,2.453,2016-01-21,health_care_equipment_and_services
AMEH,ISRG,2021-01-06,0.686,2.676,0.064,181.987,3.99,0.6618747,1.8406229,0.039,2.335,0.114,1.677,0.029,2.418,2016-01-21,health_care_equipment_and_services
AMEH,MODV,2021-01-06,0.745,4.221,0.757,59.026,3.99,0.9455654,0.1710305,-0.087,5.005,0.129,3.053,0.12,3.142,2016-01-21,health_care_equipment_and_services
AMEH,STAA,2021-01-06,0.667,2.671,-0.029,38.394,3.99,0.7832593,2.4993608,-0.482,5.132,-0.128,3.324,-0.47,5.074,2016-01-21,health_care_equipment_and_services
AMEH,UNH,2021-01-06,0.627,2.839,-0.722,268.769,3.99,0.61519617,1.8417311,0.096,1.905,0.014,2.705,-0.032,3.144,2016-01-21,health_care_equipment_and_services
AMN,GMED,2021-01-06,1.0,2.574,0.26,35.293,3.99,0.349247,0.8083005,0.051,1.712,0.076,1.307,0.019,2.258,2016-01-21,health_care_equipment_and_services
ATRI,OMCL,2021-01-06,0.667,3.613,0.073,21.47,3.99,0.63947624,3.554361,-0.033,4.007,-0.04,4.089,-0.088,4.669,2016-01-21,health_care_equipment_and_services
BAX,CHE,2021-01-06,0.667,2.916,8.357,-250.418,3.99,0.018392831,0.8090952,0.003,2.843,0.068,1.052,0.089,0.473,2016-01-21,health_care_equipment_and_services
BAX,CRVL,2021-01-06,0.569,2.875,1.096,-12.366,3.99,0.25926575,2.3783333,0.002,2.84,0.007,2.762,0.032,2.341,2016-01-21,health_care_equipment_and_services
BAX,CYRX,2021-01-06,0.706,2.672,0.743,-36.033,3.99,0.64046025,2.185456,-0.193,4.637,-0.037,3.045,0.004,2.627,2016-01-21,health_care_equipment_and_services
BAX,SYK,2021-01-06,0.549,2.905,2.101,26.02,3.99,0.5966164,1.8016444,-0.009,3.14,-0.004,3.017,-0.003,2.976,2016-01-21,health_care_equipment_and_services
BAX,TFX,2021-01-06,0.902,2.75,5.29,-87.592,3.99,0.24390604,0.6046241,-0.015,3.238,-0.024,3.518,0.002,2.68,2016-01-21,health_care_equipment_and_services
BAX,ZBH,2021-01-06,0.824,2.577,1.125,35.562,3.99,0.22103305,0.958093,-0.015,2.9,-0.001,2.606,-0.003,2.639,2016-01-21,health_care_equipment_and_services
BDX,GMED,2021-01-06,0.706,2.98,0.109,25.047,3.99,0.31864056,1.0792724,0.04,2.255,0.046,2.143,-0.003,3.04,2016-01-21,health_care_equipment_and_services
BDX,ISRG,2021-01-06,0.804,2.55,0.95,-35.328,3.99,0.7113945,1.483909,0.022,2.132,0.042,1.764,-0.003,2.61,2016-01-21,health_care_equipment_and_services
BDX,UNH,2021-01-06,0.647,2.623,1.02,21.211,3.99,0.80594105,2.3191931,0.058,1.499,-0.004,2.707,-0.027,3.153,2016-01-21,health_care_equipment_and_services
BKD,CYH,2021-01-06,0.863,2.933,-0.157,5.029,3.99,0.008161806,1.0407748,-0.146,3.752,-0.203,4.071,-0.506,5.773,2016-01-21,health_care_equipment_and_services
BSX,ENSG,2021-01-06,0.529,4.49,1.343,-6.344,3.99,0.27598584,1.3494577,0.039,3.94,0.028,4.086,-0.05,5.203,2016-01-21,health_care_equipment_and_services
BSX,MLAB,2021-01-06,0.882,2.589,5.304,24.154,3.99,0.7606467,1.0145494,0.028,2.093,0.076,1.22,0.133,0.198,2016-01-21,health_care_equipment_and_services
BSX,OMCL,2021-01-06,0.902,3.988,1.965,-1.242,3.99,0.7929984,0.4181149,-0.018,4.262,0.002,3.953,-0.048,4.738,2016-01-21,health_care_equipment_and_services
BSX,ZBH,2021-01-06,0.804,2.971,1.89,50.772,3.99,0.07544617,1.909191,0.02,2.574,0.039,2.202,-0.003,3.029,2016-01-21,health_care_equipment_and_services
CAH,CYH,2021-01-06,0.765,2.908,0.144,-2.701,3.99,0.0071376963,0.94769955,-0.069,3.839,-0.089,4.106,-0.176,5.286,2016-01-21,health_care_equipment_and_services
COO,OMCL,2021-01-06,0.667,2.73,0.333,-25.297,3.99,0.55947495,0.9418279,-0.003,2.825,0.001,2.694,-0.034,3.676,2016-01-21,health_care_equipment_and_services
CUTR,LMAT,2021-01-06,0.588,3.817,0.254,23.77,3.99,0.66080093,0.8503083,-0.086,5.13,-0.093,5.243,-0.121,5.658,2016-01-21,health_care_equipment_and_services
CUTR,MCK,2021-01-06,0.529,2.572,0.211,131.906,3.99,0.67337793,0.89977473,-0.017,2.772,0.003,2.535,-0.052,3.185,2016-01-21,health_care_equipment_and_services
ENSG,MLAB,2021-01-06,0.745,-2.512,2.751,100.689,3.99,0.7966622,-0.20707403,0.009,-2.27,-0.042,-3.662,-0.152,-6.723,2016-01-21,health_care_equipment_and_services
EW,OMCL,2021-01-06,0.51,2.826,0.808,19.404,3.99,0.27967966,1.782285,-0.049,3.694,-0.048,3.677,-0.082,4.265,2016-01-21,health_care_equipment_and_services
ICUI,LH,2021-01-06,0.549,2.599,-0.019,174.375,3.99,0.5051694,0.85352117,-0.043,3.108,-0.102,3.797,-0.162,4.512,2016-01-21,health_care_equipment_and_services
ICUI,MODV,2021-01-06,0.608,4.358,-0.057,85.147,3.99,0.6827436,0.51107347,-0.112,5.199,0.146,3.261,0.122,3.443,2016-01-21,health_care_equipment_and_services
ITGR,MOH,2021-01-06,0.627,2.549,1.008,64.913,3.99,0.7305693,2.3154569,0.08,1.802,0.083,1.773,0.046,2.116,2016-01-21,health_care_equipment_and_services
MD,MDRX,2021-01-06,0.608,3.657,0.141,6.338,3.99,0.0053237025,2.467828,-0.073,4.523,0.032,3.27,0.018,3.445,2016-01-21,health_care_equipment_and_services
MDRX,TVTY,2021-01-06,0.843,-2.543,3.052,-9.669,3.99,0.29259536,-1.3875589,-0.03,-2.841,0.062,-1.917,0.052,-2.019,2016-01-21,health_care_equipment_and_services
MLAB,OMCL,2021-01-06,1.0,2.924,0.351,-5.949,3.99,0.7517336,0.4341438,-0.037,3.897,-0.058,4.424,-0.145,6.687,2016-01-21,health_care_equipment_and_services
NUVA,ZBH,2021-01-06,0.667,2.611,0.819,72.391,3.99,0.18407089,1.7279031,-0.007,2.725,0.024,2.226,0.009,2.459,2016-01-21,health_care_equipment_and_services
QDEL,UNH,2021-01-06,0.745,2.52,0.431,213.42,3.99,0.24196368,0.13858232,0.11,0.123,-0.031,3.196,-0.09,4.476,2016-01-21,health_care_equipment_and_services
ACIW,MTLS,2021-01-06,0.647,3.484,0.831,-4.254,4.98,0.825327,3.2431777,-0.115,4.656,0.234,1.093,0.273,0.698,2016-01-21,software_and_services
ACN,CRGE,2021-01-06,0.588,4.202,0.004,-0.225,4.98,0.30265743,4.1780276,-0.195,6.801,-0.4,9.541,-0.421,9.811,2016-01-21,software_and_services
