ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABMD,AMEH,2021-04-05,1.0,3.141,0.019,12.941,3.78,0.58653545,0.47488436,-0.084,4.15,-0.248,6.123,-1.124,16.684,2016-04-18,health_care_equipment_and_services
ABT,AMEH,2021-04-05,0.804,2.678,0.037,15.253,3.78,0.18860973,0.74948204,-0.081,3.514,-0.251,5.266,-1.185,14.92,2016-04-18,health_care_equipment_and_services
ADUS,AMEH,2021-04-05,0.843,2.817,0.035,15.484,3.78,0.27475178,0.6847332,-0.089,3.714,-0.257,5.414,-1.228,15.216,2016-04-18,health_care_equipment_and_services
ADUS,ANTM,2021-04-05,0.686,2.542,1.099,178.225,3.78,0.26070988,0.13493164,-0.096,4.621,-0.114,5.027,-0.112,4.975,2016-04-18,health_care_equipment_and_services
ADUS,PHG,2021-04-05,0.608,2.521,0.268,20.33,3.78,0.37419432,0.45561075,0.006,2.322,-0.013,2.917,0.052,0.912,2016-04-18,health_care_equipment_and_services
AMED,AMEH,2021-04-05,0.804,2.746,0.01,16.69,3.78,0.37046996,0.8008698,-0.088,3.605,-0.26,5.288,-1.251,14.975,2016-04-18,health_care_equipment_and_services
AMN,SEM,2021-04-05,0.529,2.653,0.446,-7.066,3.78,0.09758286,0.1744812,-0.01,2.881,0.047,1.573,0.027,2.025,2016-04-18,health_care_equipment_and_services
ATRI,OMCL,2021-04-05,0.608,2.796,0.025,60.812,3.78,0.70021796,2.6872647,-0.054,3.196,-0.026,2.988,-0.119,3.674,2016-04-18,health_care_equipment_and_services
BDX,CNMD,2021-04-05,0.529,2.858,0.706,-80.152,3.78,0.08752503,1.0955808,-0.031,3.467,-0.017,3.198,-0.017,3.186,2016-04-18,health_care_equipment_and_services
BDX,UNH,2021-04-05,0.529,2.556,1.037,24.57,3.78,0.8683692,1.7234365,-0.056,3.481,-0.068,3.685,-0.059,3.528,2016-04-18,health_care_equipment_and_services
BKD,CAH,2021-04-05,0.529,2.82,-0.55,49.509,3.78,0.027172616,0.25846502,-0.029,3.197,0.067,1.948,0.018,2.582,2016-04-18,health_care_equipment_and_services
BKD,CYH,2021-04-05,0.745,4.095,-0.275,6.145,3.78,0.0030885395,3.9281223,0.039,3.887,-0.279,5.592,-0.285,5.624,2016-04-18,health_care_equipment_and_services
BSX,OMCL,2021-04-05,0.784,2.749,1.673,14.775,3.78,0.91728336,2.7164145,-0.0,2.751,0.004,2.709,-0.043,3.19,2016-04-18,health_care_equipment_and_services
CAH,CYH,2021-04-05,0.725,2.86,0.331,-10.805,3.78,0.4434336,0.5680035,0.031,2.257,-0.134,5.468,-0.105,4.902,2016-04-18,health_care_equipment_and_services
CHE,PHG,2021-04-05,0.569,3.121,0.06,18.417,3.78,0.17959578,1.0796121,0.045,1.879,0.05,1.741,0.122,-0.274,2016-04-18,health_care_equipment_and_services
CHE,PODD,2021-04-05,0.706,2.748,0.781,-152.988,3.78,0.037128657,0.33740184,0.019,2.182,0.05,1.265,0.003,2.646,2016-04-18,health_care_equipment_and_services
CNMD,SNN,2021-04-05,0.549,-2.734,0.156,25.077,3.78,0.29100454,-1.0610358,0.035,-2.062,0.068,-1.427,0.083,-1.139,2016-04-18,health_care_equipment_and_services
COO,MLAB,2021-04-05,0.627,-2.575,0.634,39.249,3.78,0.4069208,-0.11408767,-0.017,-3.099,0.034,-1.531,0.031,-1.615,2016-04-18,health_care_equipment_and_services
CUTR,LMAT,2021-04-05,0.588,3.081,0.362,22.497,3.78,0.94415265,1.9674995,-0.032,3.466,0.052,2.462,-0.055,3.746,2016-04-18,health_care_equipment_and_services
CUTR,MCK,2021-04-05,0.529,2.644,0.291,132.989,3.78,0.7793644,1.7668374,0.003,2.612,0.021,2.424,0.034,2.281,2016-04-18,health_care_equipment_and_services
CYRX,LH,2021-04-05,0.51,2.848,1.215,146.099,3.78,0.41072807,0.25563273,-0.048,3.791,-0.021,3.268,-0.037,3.579,2016-04-18,health_care_equipment_and_services
ENSG,MLAB,2021-04-05,0.725,-3.171,1.623,151.978,3.78,0.39717957,-0.53310835,0.048,-2.173,0.085,-1.427,0.094,-1.241,2016-04-18,health_care_equipment_and_services
GMED,LH,2021-04-05,0.529,2.595,3.044,19.121,3.78,0.06277161,0.44726983,-0.0,2.599,0.025,1.925,0.053,1.168,2016-04-18,health_care_equipment_and_services
IART,LH,2021-04-05,0.667,2.517,2.001,63.311,3.78,0.8715552,1.5276341,-0.025,2.976,-0.037,3.202,-0.057,3.572,2016-04-18,health_care_equipment_and_services
ICUI,LH,2021-04-05,0.51,3.018,-0.05,186.267,3.78,0.68518835,1.9997807,-0.087,3.846,-0.052,3.512,-0.105,4.02,2016-04-18,health_care_equipment_and_services
MLAB,MOH,2021-04-05,0.529,2.812,0.882,-52.812,3.78,0.5784367,0.862703,-0.049,3.64,-0.002,2.847,0.01,2.644,2016-04-18,health_care_equipment_and_services
MLAB,OMCL,2021-04-05,0.902,3.705,0.501,-37.464,3.78,0.19623658,1.8948426,-0.015,4.0,0.016,3.39,-0.01,3.905,2016-04-18,health_care_equipment_and_services
MLAB,RDNT,2021-04-05,0.569,2.506,0.063,1.137,3.78,0.7043682,0.51496196,-0.006,2.604,-0.08,3.78,-0.274,6.853,2016-04-18,health_care_equipment_and_services
MLAB,SYK,2021-04-05,0.549,3.15,0.676,35.356,3.78,0.39383936,0.524695,-0.006,3.321,0.021,2.573,0.004,3.048,2016-04-18,health_care_equipment_and_services
QDEL,UNH,2021-04-05,0.804,3.584,0.45,216.797,3.78,0.3291179,0.59880745,-0.119,5.646,-0.114,5.55,-0.102,5.346,2016-04-18,health_care_equipment_and_services
RMD,UNH,2021-04-05,0.627,2.588,0.905,138.441,3.78,0.21209227,0.4024066,-0.08,4.815,-0.053,4.078,0.019,2.056,2016-04-18,health_care_equipment_and_services
SNN,SYK,2021-04-05,0.745,3.252,4.314,25.889,3.78,0.7121634,2.5739636,0.026,2.672,0.042,2.329,0.021,2.798,2016-04-18,health_care_equipment_and_services
SNN,TFX,2021-04-05,0.569,2.972,9.009,-22.6,3.78,0.8266571,1.9631457,0.062,1.678,0.091,1.07,0.088,1.151,2016-04-18,health_care_equipment_and_services
SNN,ZBH,2021-04-05,0.824,2.82,2.611,23.922,3.78,0.001181924,1.9952568,0.004,2.745,0.054,1.727,0.058,1.657,2016-04-18,health_care_equipment_and_services
ACIW,MMS,2021-04-05,0.51,3.381,1.018,37.111,4.46,0.68434,0.74227804,-0.005,3.551,0.016,2.881,0.026,2.569,2016-04-18,software_and_services
ACN,ENV,2021-04-05,0.784,-2.704,0.251,19.948,4.46,0.2981094,-0.38339713,-0.04,-3.752,-0.019,-3.19,-0.039,-3.712,2016-04-18,software_and_services
ACN,GWRE,2021-04-05,0.667,-3.274,0.284,48.856,4.46,0.15530573,-0.6455278,-0.028,-3.932,-0.005,-3.389,0.021,-2.771,2016-04-18,software_and_services
ACN,LPSN,2021-04-05,0.686,-2.615,0.386,-36.398,4.46,0.25788066,-0.06642521,-0.068,-4.993,-0.02,-3.311,-0.036,-3.867,2016-04-18,software_and_services
ACN,ORCL,2021-04-05,0.706,3.048,0.153,22.818,4.46,0.26295748,0.32373986,-0.025,4.249,-0.063,6.042,-0.036,4.76,2016-04-18,software_and_services
ACN,PEGA,2021-04-05,0.588,-3.446,0.722,-51.545,4.46,0.039699893,-1.1879655,-0.015,-3.986,-0.005,-3.612,0.014,-2.92,2016-04-18,software_and_services
ADBE,SPLK,2021-04-05,0.961,-3.259,0.322,33.187,4.46,0.21127681,-0.7901547,-0.068,-4.557,-0.097,-5.11,-0.103,-5.229,2016-04-18,software_and_services
ADSK,SPLK,2021-04-05,0.588,-2.731,0.517,44.797,4.46,0.003748982,-1.3291163,-0.056,-3.56,-0.074,-3.824,-0.011,-2.888,2016-04-18,software_and_services
AKAM,EXLS,2021-04-05,0.529,2.622,0.352,34.979,4.46,0.6611959,1.0481149,-0.022,2.98,-0.043,3.322,-0.071,3.769,2016-04-18,software_and_services
