ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,AMEH,2021-11-09,0.65,2.66,0.99,-65.91,3.9,0.075,1.58,0.206,-0.32,0.276,-1.34,2016-11-22,health_care_equipment_and_services
ABC,CAH,2021-11-09,0.59,-2.17,0.26,23.92,3.9,-0.002,-2.22,-0.007,-2.32,0.003,-2.09,2016-11-22,health_care_equipment_and_services
ABC,DVA,2021-11-09,0.71,-2.45,1.51,-57.52,3.9,0.007,-2.23,-0.03,-3.39,-0.075,-4.8,2016-11-22,health_care_equipment_and_services
ABC,ZBH,2021-11-09,0.78,-2.22,0.87,50.6,3.9,-0.027,-2.73,-0.067,-3.49,-0.126,-4.59,2016-11-22,health_care_equipment_and_services
ABMD,AMEH,2021-11-09,0.75,2.76,0.18,-19.9,3.9,0.052,2.31,0.146,1.5,0.2,1.03,2016-11-22,health_care_equipment_and_services
ABT,AMEH,2021-11-09,0.55,2.77,0.75,-43.07,3.9,0.123,1.37,0.218,0.29,0.239,0.04,2016-11-22,health_care_equipment_and_services
ABT,ANTM,2021-11-09,0.96,2.04,2.14,96.53,3.9,0.032,1.33,0.014,1.72,-0.042,2.99,2016-11-22,health_care_equipment_and_services
ABT,CRVL,2021-11-09,0.55,2.87,1.37,-36.93,3.9,0.009,2.7,0.029,2.3,0.108,0.8,2016-11-22,health_care_equipment_and_services
ABT,CYRX,2021-11-09,0.57,2.15,1.07,-66.92,3.9,0.099,-1.37,0.195,-4.76,0.216,-5.51,2016-11-22,health_care_equipment_and_services
ABT,OPCH,2021-11-09,0.94,2.01,0.19,-2.53,3.9,0.066,0.91,0.076,0.75,0.07,0.84,2016-11-22,health_care_equipment_and_services
ABT,ZBH,2021-11-09,0.86,-2.26,0.77,59.18,3.9,-0.059,-3.41,-0.061,-3.44,-0.075,-3.73,2016-11-22,health_care_equipment_and_services
ADUS,AMEH,2021-11-09,0.59,3.17,0.06,22.57,3.9,0.176,2.33,0.329,1.6,0.394,1.3,2016-11-22,health_care_equipment_and_services
ADUS,ANTM,2021-11-09,0.71,2.32,1.14,197.99,3.9,-0.012,2.46,-0.054,2.95,-0.13,3.82,2016-11-22,health_care_equipment_and_services
ADUS,MLAB,2021-11-09,0.8,2.11,1.01,159.07,3.9,-0.058,3.16,-0.022,2.51,0.034,1.48,2016-11-22,health_care_equipment_and_services
ADUS,OPCH,2021-11-09,0.76,2.31,0.13,3.94,3.9,0.01,2.21,-0.004,2.35,-0.023,2.53,2016-11-22,health_care_equipment_and_services
ALGN,AMEH,2021-11-09,0.78,2.62,0.1,-8.84,3.9,0.092,1.54,0.116,1.25,0.157,0.76,2016-11-22,health_care_equipment_and_services
ALGN,MODV,2021-11-09,0.73,-2.72,0.26,3.68,3.9,-0.017,-3.27,0.056,-0.94,-0.016,-3.23,2016-11-22,health_care_equipment_and_services
