ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABT,BDX,2020-10-29,0.73,-2.02,0.7,176.31,4.13,0.0,-2.02,0.041,-1.07,0.055,-0.74,2015-11-12,health_care_equipment_and_services
ABT,PEN,2020-10-29,0.75,3.82,1.91,9.57,4.13,0.105,0.63,0.203,-2.37,0.096,0.9,2015-11-12,health_care_equipment_and_services
ACHC,CYH,2020-10-29,0.61,2.6,0.03,2.9,4.13,-0.276,4.71,-0.127,3.57,-0.433,5.92,2015-11-12,health_care_equipment_and_services
ADUS,BSX,2020-10-29,0.67,-2.97,0.23,20.02,4.13,-0.008,-3.12,-0.034,-3.59,-0.021,-3.35,2015-11-12,health_care_equipment_and_services
ADUS,NVCR,2020-10-29,0.92,2.71,1.21,-30.09,4.13,-0.007,2.84,-0.124,5.07,-0.082,4.26,2015-11-12,health_care_equipment_and_services
ADUS,PEN,2020-10-29,1.0,4.29,1.39,52.59,4.13,0.107,1.81,0.277,-2.12,0.081,2.43,2015-11-12,health_care_equipment_and_services
ALGN,HQY,2020-10-29,0.78,-2.74,0.1,38.14,4.13,0.163,-1.38,0.094,-1.96,0.223,-0.88,2015-11-12,health_care_equipment_and_services
ALGN,IART,2020-10-29,0.73,-2.72,0.03,45.44,4.13,0.173,-1.07,0.327,0.4,0.344,0.56,2015-11-12,health_care_equipment_and_services
ALGN,MODV,2020-10-29,0.82,3.28,0.11,38.31,4.13,-0.09,4.91,-0.074,4.62,-0.23,7.44,2015-11-12,health_care_equipment_and_services
ALGN,QDEL,2020-10-29,0.57,2.31,0.26,19.53,4.13,0.224,0.88,0.279,0.52,0.111,1.61,2015-11-12,health_care_equipment_and_services
AMED,ATRC,2020-10-29,0.69,-2.74,0.13,13.28,4.13,0.128,-0.49,0.209,0.93,0.273,2.06,2015-11-12,health_care_equipment_and_services
AMED,BSX,2020-10-29,0.55,-2.41,0.06,27.93,4.13,0.001,-2.41,-0.007,-2.49,0.004,-2.37,2015-11-12,health_care_equipment_and_services
AMED,DXCM,2020-10-29,0.63,-2.24,2.04,-87.24,4.13,-0.004,-2.32,-0.059,-3.51,-0.031,-2.91,2015-11-12,health_care_equipment_and_services
