ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,ATRC,2018-08-31,0.569,3.622,0.167,6.52,4.438,0.706,3.163,-0.097,-0.038,0.079,0.022,0.081,-0.043,-0.138,-0.065,-0.024,-0.017,0.023,3.333,0.05,2.991,0.02,3.374,2013-09-17,health_care_equipment_and_services
ABC,ENSG,2018-08-31,0.569,2.883,0.159,8.705,4.438,0.72,2.259,-0.039,-0.009,-0.038,-0.022,0.0,-0.004,0.019,0.017,-0.003,-0.029,0.049,2.38,0.031,2.565,-0.121,4.114,2013-09-17,health_care_equipment_and_services
ABMD,AMED,2018-08-31,0.941,4.339,0.144,30.014,4.438,0.234,0.777,-0.018,0.043,0.058,-0.017,0.025,-0.069,-0.0,0.053,0.047,0.062,0.057,3.102,0.03,3.673,-0.119,6.948,2013-09-17,health_care_equipment_and_services
ABMD,NEOG,2018-08-31,1.0,2.531,0.065,14.719,4.438,0.432,0.929,0.007,0.024,-0.049,-0.018,0.043,-0.03,-0.01,-0.073,-0.004,0.014,0.184,-3.834,0.165,-3.152,0.129,-1.916,2013-09-17,health_care_equipment_and_services
ABMD,USPH,2018-08-31,0.529,3.386,0.151,38.818,4.438,0.35,1.777,0.049,-0.032,-0.001,0.001,0.068,-0.062,-0.084,-0.136,-0.142,0.012,0.078,1.135,0.04,2.227,-0.029,4.225,2013-09-17,health_care_equipment_and_services
ABT,ATRC,2018-08-31,0.549,2.964,0.289,6.977,4.438,0.008,1.386,-0.044,0.012,0.041,0.017,-0.008,-0.015,0.007,0.02,-0.024,-0.123,0.053,2.07,0.064,1.88,0.059,1.968,2013-09-17,health_care_equipment_and_services
ABT,CNC,2018-08-31,0.549,2.601,1.298,-17.226,4.438,0.034,0.245,0.039,-0.028,-0.066,0.003,-0.029,0.031,0.015,-0.035,0.037,0.02,0.06,-0.308,0.071,-0.84,0.073,-0.946,2013-09-17,health_care_equipment_and_services
ABT,HAE,2018-08-31,0.529,2.686,2.189,-49.234,4.438,0.039,1.897,0.028,-0.035,-0.028,-0.004,-0.007,0.018,0.01,0.084,0.054,-0.046,0.052,1.126,0.048,1.235,0.08,0.3,2013-09-17,health_care_equipment_and_services
ABT,MOH,2018-08-31,0.902,3.739,1.709,-8.4,4.438,0.1,1.809,-0.052,-0.082,0.072,-0.086,-0.013,0.024,-0.014,-0.049,0.006,-0.058,0.011,3.467,0.061,2.265,0.042,2.719,2013-09-17,health_care_equipment_and_services
ACHC,NXGN,2018-08-31,0.51,3.526,-0.019,15.551,4.438,0.863,3.401,-0.028,0.056,-0.036,0.039,0.03,0.055,-0.008,0.031,-0.0,0.04,0.188,1.723,0.367,-0.003,0.248,1.144,2013-09-17,health_care_equipment_and_services
ADUS,HCA,2018-08-31,0.706,2.901,0.932,49.412,4.438,0.733,1.175,-0.075,-0.042,0.058,-0.022,-0.057,0.074,0.002,0.023,-0.01,0.005,-0.02,3.437,0.006,2.74,-0.007,3.078,2013-09-17,health_care_equipment_and_services
ADUS,STAA,2018-08-31,0.569,4.337,0.586,-6.918,4.438,0.27,3.409,-0.019,0.026,0.031,0.013,-0.006,0.046,0.032,-0.039,-0.024,0.037,0.032,3.618,0.093,2.263,0.177,0.381,2013-09-17,health_care_equipment_and_services
ALGN,LH,2018-08-31,0.902,-2.71,0.214,110.326,4.438,0.011,-0.725,-0.016,-0.042,0.005,-0.025,-0.009,-0.016,-0.016,0.041,-0.036,-0.019,0.01,-2.352,0.09,0.37,0.025,-1.863,2013-09-17,health_care_equipment_and_services
ALGN,NEOG,2018-08-31,1.0,2.792,0.069,15.031,4.438,0.068,0.621,-0.058,-0.004,0.013,0.007,0.0,0.033,0.011,-0.041,-0.028,0.059,0.154,-3.573,0.067,0.022,0.047,0.847,2013-09-17,health_care_equipment_and_services
AMED,MLAB,2018-08-31,0.863,-2.923,1.58,43.888,4.438,0.224,-0.359,0.01,0.004,0.044,0.02,0.161,0.039,-0.037,-0.039,-0.049,-0.057,-0.011,-3.219,0.015,-2.523,0.007,-2.731,2013-09-17,health_care_equipment_and_services
AMEH,ANTM,2018-08-31,0.588,2.774,6.028,104.104,4.438,0.602,0.621,0.021,-0.011,-0.01,0.028,0.03,0.025,-0.064,-0.005,-0.028,-0.057,0.029,2.294,0.059,1.802,-0.026,3.204,2013-09-17,health_care_equipment_and_services
AMEH,HCA,2018-08-31,0.529,5.087,1.702,63.521,4.438,0.617,2.758,-0.005,-0.023,0.011,0.022,0.01,-0.056,0.019,0.043,0.007,-0.019,0.015,4.788,0.06,3.913,-0.034,5.758,2013-09-17,health_care_equipment_and_services
AMEH,HUM,2018-08-31,0.608,3.083,6.304,150.764,4.438,0.512,0.797,-0.071,-0.072,0.009,-0.034,-0.045,0.023,0.042,-0.008,-0.07,0.013,0.045,2.332,0.106,1.318,0.048,2.294,2013-09-17,health_care_equipment_and_services
AMEH,NXGN,2018-08-31,0.725,3.609,0.177,12.879,4.438,0.702,2.925,0.05,0.051,-0.011,0.028,-0.022,0.019,-0.014,-0.026,0.012,0.023,0.182,1.312,0.353,-0.852,0.227,0.74,2013-09-17,health_care_equipment_and_services
AMN,USPH,2018-08-31,0.686,4.411,1.381,7.297,4.438,0.805,1.818,-0.005,0.018,-0.003,-0.003,0.054,-0.095,-0.042,-0.011,-0.025,-0.038,0.014,4.05,0.033,3.55,0.066,2.68,2013-09-17,health_care_equipment_and_services
ANTM,HCA,2018-08-31,0.765,3.539,0.254,38.875,4.438,0.006,2.335,0.009,-0.004,0.005,0.0,0.034,0.026,-0.049,-0.079,-0.023,0.0,-0.004,3.638,0.017,3.095,-0.018,4.007,2013-09-17,health_care_equipment_and_services
ANTM,MOH,2018-08-31,0.588,3.803,0.337,11.781,4.438,0.159,2.347,0.013,0.025,-0.023,-0.059,-0.07,0.014,0.059,0.006,-0.048,-0.031,-0.02,4.231,0.067,2.4,0.03,3.172,2013-09-17,health_care_equipment_and_services
ANTM,NXGN,2018-08-31,0.529,2.914,0.028,10.019,4.438,0.174,2.174,-0.003,0.033,-0.011,0.015,0.012,0.043,-0.008,-0.064,0.028,0.043,0.145,0.7,0.281,-1.38,0.201,-0.164,2013-09-17,health_care_equipment_and_services
ATEC,NXGN,2018-08-31,0.529,3.958,-0.787,17.331,4.438,0.805,2.961,-0.004,-0.021,-0.028,-0.035,0.01,-0.054,-0.087,0.015,-0.041,-0.065,0.218,1.87,0.423,-0.095,0.297,1.119,2013-09-17,health_care_equipment_and_services
ATRI,MDT,2018-08-31,0.549,2.605,0.034,56.146,4.438,0.058,0.986,0.028,-0.01,-0.011,-0.001,0.004,-0.039,-0.022,-0.031,-0.045,0.005,-0.019,3.092,0.06,1.108,0.023,2.039,2013-09-17,health_care_equipment_and_services
ATRI,NEOG,2018-08-31,0.667,3.287,0.053,-0.297,4.438,0.498,3.161,0.018,-0.025,-0.04,-0.023,-0.002,0.003,0.01,0.068,0.019,0.012,0.164,0.05,0.222,-1.092,0.255,-1.751,2013-09-17,health_care_equipment_and_services
BAX,BDX,2018-08-31,0.627,3.087,2.531,43.093,4.438,0.052,0.704,-0.006,-0.021,-0.006,-0.02,-0.045,-0.027,0.037,-0.011,0.019,0.057,0.011,2.403,-0.001,3.121,-0.014,3.986,2013-09-17,health_care_equipment_and_services
BAX,NEOG,2018-08-31,0.529,3.515,0.499,0.355,4.438,0.409,3.088,-0.06,-0.022,0.05,-0.012,0.014,-0.017,-0.024,-0.026,-0.032,0.013,0.163,-0.887,0.13,0.02,0.141,-0.278,2013-09-17,health_care_equipment_and_services
BAX,TFX,2018-08-31,0.569,-2.627,3.933,-7.067,4.438,0.369,-0.561,-0.023,0.056,-0.047,0.038,0.01,0.033,0.004,0.025,0.005,0.034,0.011,-2.11,0.073,0.698,0.094,1.655,2013-09-17,health_care_equipment_and_services
BDX,LH,2018-08-31,0.961,-3.271,0.666,29.183,4.438,0.51,-0.32,-0.041,-0.022,0.021,0.018,0.029,-0.07,-0.049,-0.062,-0.043,-0.01,-0.004,-3.495,0.02,-2.1,-0.066,-7.125,2013-09-17,health_care_equipment_and_services
BDX,NEOG,2018-08-31,0.824,2.505,0.199,-8.45,4.438,0.044,1.056,-0.056,-0.004,0.016,0.007,-0.024,-0.018,0.014,-0.023,0.0,0.035,0.132,-2.251,0.112,-1.532,0.134,-2.314,2013-09-17,health_care_equipment_and_services
BDX,SYK,2018-08-31,0.98,-3.169,0.786,-10.514,4.438,0.111,-0.676,0.017,0.024,0.02,0.024,-0.034,0.011,0.033,0.068,0.033,-0.019,0.017,-2.12,0.045,-0.397,0.035,-1.018,2013-09-17,health_care_equipment_and_services
BDX,TFX,2018-08-31,0.784,-4.038,1.496,-64.003,4.438,0.044,-2.056,-0.023,0.019,0.005,0.006,-0.041,-0.0,0.035,-0.025,-0.025,-0.026,0.021,-3.119,0.059,-1.494,0.065,-1.256,2013-09-17,health_care_equipment_and_services
BKD,NXGN,2018-08-31,0.588,3.46,-0.162,16.902,4.438,0.912,2.977,0.014,0.052,0.041,0.033,0.007,0.057,-0.007,-0.024,-0.006,-0.037,0.193,1.587,0.389,-0.312,0.261,0.926,2013-09-17,health_care_equipment_and_services
BSX,IART,2018-08-31,0.902,-2.558,2.053,-5.577,4.438,0.244,-0.478,-0.016,-0.035,-0.047,0.016,0.035,0.008,-0.049,-0.057,-0.131,-0.135,-0.021,-3.453,-0.054,-4.84,-0.077,-5.831,2013-09-17,health_care_equipment_and_services
CHE,NEOG,2018-08-31,0.902,4.148,0.102,6.18,4.438,0.674,2.5,0.063,-0.019,-0.017,-0.006,0.017,0.033,-0.042,0.001,-0.065,-0.053,0.147,-1.919,0.182,-3.376,0.172,-2.966,2013-09-17,health_care_equipment_and_services
CI,LHCG,2018-08-31,0.588,3.016,0.492,-20.968,4.438,0.713,2.412,-0.025,-0.006,-0.016,0.029,0.032,-0.059,-0.036,0.046,-0.02,-0.035,0.073,1.568,0.104,0.951,0.058,1.87,2013-09-17,health_care_equipment_and_services
CNC,HCA,2018-08-31,0.686,2.595,0.989,40.766,4.438,0.029,1.068,0.009,0.019,0.046,0.036,0.002,-0.008,-0.003,-0.02,-0.045,-0.071,-0.022,3.269,-0.037,3.721,-0.059,4.42,2013-09-17,health_care_equipment_and_services
