ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
BMI,NTCT,2022-06-03,0.588,3.337,0.122,17.401,4.485,3.913,0.01,1.021,0.004,-0.035,-0.068,-0.057,-0.038,0.021,0.021,-0.038,0.01,0.06,0.065,2.133,0.065,2.131,0.139,0.764,2017-06-19,technology_hardware_and_equipment
BMI,PLUS,2022-06-03,0.529,3.044,0.308,19.805,4.485,3.913,0.083,1.389,-0.021,-0.003,0.034,-0.019,-0.036,0.023,0.013,0.003,0.018,0.063,0.094,1.319,0.184,-0.325,0.199,-0.604,2017-06-19,technology_hardware_and_equipment
BMI,SANM,2022-06-03,0.569,2.887,0.228,16.013,4.485,3.913,0.04,1.394,-0.014,-0.009,0.168,-0.003,0.163,-0.023,-0.141,0.03,-0.014,-0.068,0.074,1.573,-0.024,3.316,0.011,2.697,2017-06-19,technology_hardware_and_equipment
BMI,SMCI,2022-06-03,0.686,4.628,0.35,3.466,4.485,3.913,0.628,2.564,0.004,0.013,-0.009,-0.012,0.018,-0.017,-0.007,-0.038,0.027,0.044,0.19,1.436,0.014,4.395,-0.063,5.679,2017-06-19,technology_hardware_and_equipment
CALX,CGNX,2022-06-03,0.569,-2.515,0.63,47.08,4.485,3.913,0.199,-1.207,-0.043,-0.059,0.065,0.06,0.187,-0.067,-0.139,-0.008,-0.143,-0.077,-0.029,-2.742,-0.181,-3.941,-0.25,-4.478,2017-06-19,technology_hardware_and_equipment
CALX,NTCT,2022-06-03,0.608,3.06,0.128,23.302,4.485,3.913,0.368,0.598,0.017,0.003,-0.009,-0.016,-0.01,0.019,0.014,0.056,0.043,-0.029,0.063,1.991,0.091,1.515,0.177,0.068,2017-06-19,technology_hardware_and_equipment
CALX,PLUS,2022-06-03,0.608,2.623,0.318,34.776,4.485,3.913,0.202,0.797,0.02,-0.001,-0.023,-0.036,-0.065,0.023,0.062,0.005,0.058,0.03,0.097,1.084,0.241,-1.213,0.263,-1.557,2017-06-19,technology_hardware_and_equipment
CALX,SMCI,2022-06-03,0.922,4.704,0.379,20.027,4.485,3.913,0.893,1.73,0.052,-0.045,-0.032,-0.069,0.029,0.0,-0.075,0.092,-0.028,-0.095,0.211,1.314,0.05,3.895,-0.038,5.308,2017-06-19,technology_hardware_and_equipment
CGNX,NTCT,2022-06-03,0.608,3.345,0.104,20.235,4.485,3.913,0.359,1.68,-0.015,-0.015,-0.019,-0.01,-0.006,0.008,-0.002,-0.0,-0.003,0.018,0.062,2.526,0.026,3.007,0.101,2.012,2017-06-19,technology_hardware_and_equipment
CGNX,PLXS,2022-06-03,0.824,2.666,0.67,33.456,4.485,3.913,0.246,0.619,-0.005,0.01,0.018,-0.006,-0.033,0.005,0.037,0.014,-0.003,-0.049,0.039,1.995,-0.087,4.154,-0.096,4.309,2017-06-19,technology_hardware_and_equipment
CGNX,SMCI,2022-06-03,0.725,4.585,0.361,7.474,4.485,3.913,0.715,3.711,0.002,-0.014,0.011,0.04,-0.001,0.01,-0.036,-0.011,0.016,-0.015,0.198,2.398,-0.06,5.252,-0.166,6.414,2017-06-19,technology_hardware_and_equipment
CIEN,NTCT,2022-06-03,0.569,3.957,0.28,12.824,4.485,3.913,0.086,1.144,-0.012,-0.057,-0.029,-0.037,-0.026,-0.025,0.088,-0.025,0.021,0.026,0.044,3.023,0.043,3.042,0.071,2.441,2017-06-19,technology_hardware_and_equipment
CIEN,SMCI,2022-06-03,0.569,4.616,0.711,-5.069,4.485,3.913,0.0,2.378,-0.003,-0.033,-0.016,-0.014,-0.046,0.026,0.085,-0.073,0.006,0.079,0.153,2.106,-0.019,4.919,-0.145,6.983,2017-06-19,technology_hardware_and_equipment
CSCO,NTCT,2022-06-03,0.627,3.535,0.348,10.755,4.485,3.913,0.001,1.16,-0.033,-0.016,-0.019,-0.021,-0.007,0.014,0.005,-0.004,0.049,-0.004,0.042,2.699,0.024,3.059,0.091,1.744,2017-06-19,technology_hardware_and_equipment
CSCO,PLUS,2022-06-03,0.725,3.101,0.843,4.541,4.485,3.913,0.012,1.386,0.008,0.05,0.05,0.07,0.005,-0.006,-0.016,-0.009,-0.012,0.015,0.062,1.968,0.114,1.008,0.129,0.732,2017-06-19,technology_hardware_and_equipment
CTS,NATI,2022-06-03,1.0,-2.787,0.368,28.563,4.485,3.913,0.838,-0.603,0.049,0.032,-0.007,0.088,0.008,0.027,-0.044,0.072,-0.02,0.002,-0.023,-3.178,0.082,-1.407,0.059,-1.785,2017-06-19,technology_hardware_and_equipment
DDD,HPQ,2022-06-03,0.765,2.749,0.432,17.489,4.485,3.913,0.957,2.367,0.003,0.022,0.011,0.028,0.033,-0.044,-0.067,0.016,-0.054,-0.044,0.177,1.512,0.159,1.644,0.259,0.943,2017-06-19,technology_hardware_and_equipment
DDD,NTCT,2022-06-03,0.843,3.261,0.187,24.082,4.485,3.913,0.951,1.321,0.063,0.034,-0.026,0.027,-0.004,0.015,0.016,-0.023,0.05,-0.003,0.072,2.333,0.036,2.792,0.121,1.692,2017-06-19,technology_hardware_and_equipment
DDD,PLUS,2022-06-03,0.922,2.749,0.447,36.952,4.485,3.913,0.818,1.447,-0.045,-0.029,0.035,0.001,-0.06,-0.011,0.059,0.041,0.02,0.016,0.113,1.576,0.178,0.912,0.192,0.767,2017-06-19,technology_hardware_and_equipment
DDD,SANM,2022-06-03,0.882,2.933,0.374,28.037,4.485,3.913,0.745,1.472,0.069,0.046,0.025,0.157,0.061,-0.002,-0.015,0.008,0.01,0.001,0.084,1.981,-0.092,3.967,-0.055,3.552,2017-06-19,technology_hardware_and_equipment
EXTR,NTCT,2022-06-03,0.961,2.933,0.81,20.513,4.485,3.913,0.888,0.541,0.035,0.008,-0.066,0.017,-0.007,0.008,-0.001,-0.009,-0.012,0.039,0.044,2.105,0.092,1.221,0.184,-0.498,2017-06-19,technology_hardware_and_equipment
EXTR,PLUS,2022-06-03,1.0,2.555,2.045,27.553,4.485,3.913,0.583,0.504,0.021,0.096,0.056,0.042,-0.065,0.164,0.107,-0.016,0.135,0.099,0.067,1.272,0.228,-1.82,0.265,-2.541,2017-06-19,technology_hardware_and_equipment
EXTR,SANM,2022-06-03,0.961,2.951,1.643,20.72,4.485,3.913,0.334,0.413,0.013,0.004,-0.009,-0.017,0.012,0.001,0.002,-0.016,-0.017,-0.003,0.042,1.93,0.015,2.583,0.072,1.204,2017-06-19,technology_hardware_and_equipment
FFIV,HPQ,2022-06-03,0.804,3.82,0.183,-6.366,4.485,3.913,0.006,3.0,0.019,0.03,-0.001,0.078,0.006,0.032,-0.055,-0.002,0.036,0.017,0.091,2.248,0.105,2.001,0.143,1.342,2017-06-19,technology_hardware_and_equipment
FFIV,NTCT,2022-06-03,0.843,3.752,0.072,14.888,4.485,3.913,0.179,0.96,-0.051,0.009,0.014,0.017,0.028,0.047,-0.074,0.046,0.063,-0.006,0.044,2.826,0.031,3.11,0.084,2.006,2017-06-19,technology_hardware_and_equipment
FFIV,PLUS,2022-06-03,0.98,3.48,0.177,14.396,4.485,3.913,0.782,1.224,-0.055,-0.042,-0.016,-0.002,0.02,-0.005,-0.015,0.01,-0.0,-0.012,0.066,2.115,0.131,0.761,0.123,0.936,2017-06-19,technology_hardware_and_equipment
FFIV,SANM,2022-06-03,0.51,3.432,0.134,11.537,4.485,3.913,0.004,1.232,0.042,0.015,-0.061,-0.01,-0.026,0.027,-0.011,-0.024,0.03,0.055,0.046,2.458,-0.064,4.79,-0.055,4.585,2017-06-19,technology_hardware_and_equipment
FLEX,INFN,2022-06-03,0.863,-2.715,0.449,0.999,4.485,3.913,0.378,-0.648,0.044,0.023,-0.034,0.017,0.003,0.003,-0.005,-0.017,-0.026,0.0,0.073,-1.805,-0.044,-3.264,-0.062,-3.487,2017-06-19,technology_hardware_and_equipment
FLEX,NTCT,2022-06-03,0.804,2.67,0.658,17.573,4.485,3.913,0.503,0.736,0.056,0.012,0.009,0.039,0.002,0.029,-0.022,-0.034,0.016,0.026,0.023,2.238,0.021,2.277,0.106,0.709,2017-06-19,technology_hardware_and_equipment
FN,NTCT,2022-06-03,0.608,3.436,0.134,16.585,4.485,3.913,0.025,0.6,-0.031,-0.101,-0.054,-0.085,-0.02,-0.006,0.001,0.072,-0.023,-0.099,0.044,2.461,0.052,2.276,0.131,0.529,2017-06-19,technology_hardware_and_equipment
FN,SMCI,2022-06-03,0.588,5.275,0.373,1.878,4.485,3.913,0.303,2.558,0.094,0.081,-0.01,0.01,-0.042,-0.071,0.056,0.01,-0.046,0.04,0.153,1.829,-0.004,5.373,-0.066,6.763,2017-06-19,technology_hardware_and_equipment
GLW,NTCT,2022-06-03,0.765,2.627,0.3,17.368,4.485,3.913,0.203,0.953,0.013,0.052,0.019,0.005,-0.033,0.031,-0.016,-0.043,0.056,0.065,0.038,2.014,0.027,2.192,0.087,1.22,2017-06-19,technology_hardware_and_equipment
GLW,SANM,2022-06-03,0.529,2.593,0.729,10.427,4.485,3.913,0.025,1.075,-0.018,0.025,0.047,0.016,-0.04,0.014,0.026,-0.005,-0.004,0.014,0.025,2.055,-0.065,4.022,-0.057,3.84,2017-06-19,technology_hardware_and_equipment
HPQ,RDWR,2022-06-03,0.745,-3.134,0.419,17.209,4.485,3.913,0.525,-1.049,0.053,0.037,0.029,0.066,0.041,-0.007,-0.034,0.03,-0.01,-0.041,0.011,-2.972,0.044,-2.48,0.041,-2.525,2017-06-19,technology_hardware_and_equipment
IIVI,NTCT,2022-06-03,0.765,2.868,0.135,19.767,4.485,3.913,0.491,0.786,-0.012,0.017,0.064,0.048,0.042,-0.032,-0.023,0.027,-0.03,-0.004,0.02,2.525,-0.003,2.926,0.05,2.013,2017-06-19,technology_hardware_and_equipment
INFN,NTCT,2022-06-03,0.706,3.428,0.94,20.042,4.485,3.913,0.742,1.668,-0.065,-0.046,-0.034,-0.08,-0.034,0.051,0.027,-0.117,0.043,0.051,0.065,2.523,0.011,3.273,0.1,2.039,2017-06-19,technology_hardware_and_equipment
INFN,PLUS,2022-06-03,0.608,2.974,2.288,27.0,4.485,3.913,0.685,1.794,0.02,-0.006,-0.02,-0.007,-0.014,-0.007,0.015,-0.01,-0.015,0.009,0.1,1.826,0.127,1.513,0.154,1.196,2017-06-19,technology_hardware_and_equipment
INFN,TTMI,2022-06-03,0.843,2.672,0.646,8.2,4.485,3.913,0.646,0.292,-0.038,0.017,-0.038,0.058,-0.012,-0.023,-0.021,0.003,-0.035,-0.0,0.139,0.025,-0.137,5.279,-0.061,3.842,2017-06-19,technology_hardware_and_equipment
IPGP,NTCT,2022-06-03,0.706,2.554,0.006,26.072,4.485,3.913,0.903,1.218,-0.02,-0.062,0.014,0.072,0.012,-0.011,-0.034,-0.033,-0.047,0.031,0.079,1.728,0.029,2.247,0.129,1.205,2017-06-19,technology_hardware_and_equipment
JBL,RDWR,2022-06-03,0.784,-3.428,0.282,14.867,4.485,3.913,0.419,-0.664,-0.02,0.025,-0.034,0.044,0.001,0.015,-0.046,0.015,-0.046,-0.001,-0.001,-3.455,-0.016,-3.745,-0.054,-4.526,2017-06-19,technology_hardware_and_equipment
JNPR,NTCT,2022-06-03,0.961,2.527,0.611,11.536,4.485,3.913,0.78,0.329,-0.028,0.005,0.029,0.021,-0.014,0.006,0.03,-0.033,0.037,0.056,0.023,1.909,-0.013,2.872,0.056,1.045,2017-06-19,technology_hardware_and_equipment
LOGI,SMCI,2022-06-03,0.706,3.839,0.192,16.928,4.485,3.913,0.945,3.406,0.039,0.034,0.024,-0.009,-0.017,-0.037,-0.033,0.091,0.017,-0.071,0.212,1.785,-0.069,4.504,-0.18,5.579,2017-06-19,technology_hardware_and_equipment
LPL,NTCT,2022-06-03,0.804,3.155,0.99,19.634,4.485,3.913,0.753,1.162,-0.045,0.035,-0.031,0.031,0.035,0.016,-0.08,0.046,0.004,-0.027,0.049,2.44,0.01,3.015,0.085,1.918,2017-06-19,technology_hardware_and_equipment
LPL,PLUS,2022-06-03,0.922,2.758,2.537,25.064,4.485,3.913,0.314,1.31,0.042,-0.006,-0.031,-0.046,0.021,-0.02,-0.007,-0.001,0.055,0.032,0.073,1.811,0.117,1.25,0.127,1.116,2017-06-19,technology_hardware_and_equipment
LPL,SANM,2022-06-03,0.627,3.301,2.293,16.81,4.485,3.913,0.032,1.47,0.012,0.038,-0.017,0.01,0.021,-0.012,-0.004,-0.018,-0.011,-0.018,0.043,2.599,-0.109,5.071,-0.082,4.635,2017-06-19,technology_hardware_and_equipment
LWLG,NTCT,2022-06-03,0.961,2.759,0.501,25.058,4.485,3.913,0.09,0.388,-0.002,0.002,0.03,-0.018,-0.03,0.013,0.027,-0.025,-0.015,0.003,0.076,1.594,0.077,1.568,0.13,0.762,2017-06-19,technology_hardware_and_equipment
MEI,NTCT,2022-06-03,0.922,2.637,0.345,14.15,4.485,3.913,0.283,0.59,-0.011,-0.003,-0.016,-0.04,0.006,-0.003,-0.006,0.036,-0.01,-0.031,-0.0,2.639,0.002,2.602,0.059,1.333,2017-06-19,technology_hardware_and_equipment
MEI,SANM,2022-06-03,0.882,2.632,0.71,7.39,4.485,3.913,0.042,0.353,-0.009,-0.034,0.008,-0.015,-0.009,-0.135,-0.057,0.071,-0.067,-0.04,-0.019,3.287,-0.093,5.829,-0.076,5.266,2017-06-19,technology_hardware_and_equipment
MSI,RDWR,2022-06-03,0.804,-3.199,0.1,8.949,4.485,3.913,0.24,0.159,-0.01,-0.051,-0.08,-0.052,0.001,-0.012,0.022,-0.008,0.002,0.029,-0.048,-4.333,-0.049,-4.348,-0.109,-5.782,2017-06-19,technology_hardware_and_equipment
NATI,PLUS,2022-06-03,0.529,2.975,1.106,0.241,4.485,3.913,0.023,2.174,0.018,0.002,-0.058,-0.005,-0.008,-0.014,0.03,0.027,-0.011,-0.02,0.035,2.459,0.155,0.653,0.167,0.486,2017-06-19,technology_hardware_and_equipment
NOK,NTCT,2022-06-03,0.686,2.573,1.985,17.756,4.485,3.913,0.517,0.949,0.029,0.032,0.016,0.016,-0.006,0.01,-0.013,0.023,0.003,-0.02,0.043,1.921,0.031,2.1,0.099,1.074,2017-06-19,technology_hardware_and_equipment
NOVT,NTCT,2022-06-03,0.569,3.234,0.087,16.782,4.485,3.913,0.007,0.931,0.006,-0.011,0.01,0.001,0.002,-0.023,0.011,0.038,-0.032,-0.063,0.062,2.077,0.078,1.788,0.115,1.109,2017-06-19,technology_hardware_and_equipment
NOVT,SMCI,2022-06-03,0.667,4.993,0.265,-0.037,4.485,3.913,0.215,2.636,0.025,-0.055,-0.043,-0.077,0.007,0.022,-0.048,0.031,-0.01,-0.033,0.179,1.526,0.039,4.233,-0.092,6.781,2017-06-19,technology_hardware_and_equipment
NSIT,NTCT,2022-06-03,0.627,2.535,0.125,17.494,4.485,3.913,0.067,0.371,-0.016,-0.013,0.017,-0.006,-0.003,-0.023,0.0,-0.026,-0.031,0.025,0.022,2.056,0.007,2.373,0.067,1.054,2017-06-19,technology_hardware_and_equipment
NSIT,SANM,2022-06-03,0.941,2.578,0.253,14.648,4.485,3.913,0.018,0.102,0.031,0.05,0.039,0.032,0.058,-0.037,-0.077,0.065,-0.041,-0.043,0.011,2.154,-0.093,6.129,-0.077,5.512,2017-06-19,technology_hardware_and_equipment
NTAP,NTCT,2022-06-03,0.824,3.142,0.141,18.051,4.485,3.913,0.556,0.692,-0.006,0.006,0.014,-0.01,-0.039,0.016,0.042,-0.041,0.014,0.069,0.04,2.371,0.026,2.637,0.105,1.122,2017-06-19,technology_hardware_and_equipment
NTAP,PLUS,2022-06-03,1.0,3.049,0.368,20.679,4.485,3.913,0.817,0.659,0.042,0.018,0.001,0.021,-0.008,-0.001,0.019,-0.004,0.015,0.018,0.058,1.782,0.129,0.23,0.15,-0.237,2017-06-19,technology_hardware_and_equipment
NTAP,SANM,2022-06-03,0.569,3.435,0.29,15.554,4.485,3.913,0.268,0.566,0.032,-0.011,-0.028,-0.02,-0.005,-0.008,-0.008,-0.013,0.015,0.004,0.036,2.501,-0.073,5.36,-0.034,4.327,2017-06-19,technology_hardware_and_equipment
PAR,PLUS,2022-06-03,0.706,2.661,0.245,33.261,4.485,3.913,0.396,1.565,0.005,0.02,0.007,0.044,-0.164,0.091,0.086,0.074,0.159,0.098,0.117,1.34,0.177,0.665,0.17,0.746,2017-06-19,technology_hardware_and_equipment
PAR,SANM,2022-06-03,0.569,2.717,0.195,25.392,4.485,3.913,0.36,1.469,0.018,-0.071,-0.053,-0.015,0.034,-0.004,-0.024,-0.019,-0.056,-0.029,0.091,1.636,-0.075,3.605,-0.06,3.436,2017-06-19,technology_hardware_and_equipment
PLUS,RDWR,2022-06-03,0.667,-3.007,0.42,8.918,4.485,3.913,0.198,-0.965,0.013,0.005,0.01,0.031,-0.009,0.012,-0.008,0.049,-0.02,-0.047,0.004,-2.937,0.073,-1.73,0.041,-2.294,2017-06-19,technology_hardware_and_equipment
PLXS,SMCI,2022-06-03,0.804,3.87,0.552,-11.609,4.485,3.913,0.254,2.349,0.033,-0.007,-0.041,-0.023,0.006,-0.003,-0.028,0.029,-0.003,-0.055,0.116,1.611,0.012,3.634,-0.058,4.993,2017-06-19,technology_hardware_and_equipment
SANM,VIAV,2022-06-03,0.647,-2.961,0.257,6.045,4.485,3.913,0.016,-0.625,-0.034,0.003,0.01,0.025,-0.031,0.014,0.031,0.009,0.021,0.008,-0.019,-3.497,-0.036,-3.983,-0.066,-4.848,2017-06-19,technology_hardware_and_equipment
SNX,ZBRA,2022-06-03,0.627,-2.598,4.524,-8.27,4.485,3.913,0.174,-1.258,0.019,0.021,0.027,0.021,-0.026,0.016,0.027,0.001,0.041,0.033,0.029,-2.124,0.008,-2.468,0.016,-2.334,2017-06-19,technology_hardware_and_equipment
TRMB,ZBRA,2022-06-03,0.706,-2.915,6.956,-54.048,4.485,3.913,0.137,-0.54,0.004,0.025,0.071,-0.006,-0.028,0.014,0.032,-0.062,0.004,0.058,0.037,-1.918,-0.019,-3.435,0.01,-2.648,2017-06-19,technology_hardware_and_equipment
AES,NRG,2022-06-03,0.725,2.613,0.605,22.891,3.472,3.242,0.44,1.049,0.082,0.093,-0.016,-0.0,-0.028,-0.065,-0.008,0.051,0.019,-0.025,0.126,0.4,0.109,0.701,0.101,0.829,2017-06-19,utilities
ALE,EBR-B,2022-06-03,0.549,2.552,0.125,-1.384,3.472,3.242,0.574,0.854,-0.056,0.013,0.067,0.019,-0.019,-0.009,0.018,0.045,0.062,-0.018,0.006,2.446,-0.054,3.53,-0.051,3.481,2017-06-19,utilities
ALE,NI,2022-06-03,0.529,2.912,0.168,14.193,3.472,3.242,0.95,2.525,0.036,0.004,-0.018,0.012,-0.009,0.001,0.003,-0.019,0.018,0.018,0.042,2.154,0.038,2.226,0.036,2.26,2017-06-19,utilities
ALE,SJI,2022-06-03,0.843,2.93,0.284,7.381,3.472,3.242,0.865,1.755,-0.111,0.007,0.046,0.006,0.128,-0.042,-0.084,-0.066,-0.1,-0.02,-0.012,3.127,0.003,2.877,0.004,2.866,2017-06-19,utilities
ALE,SWX,2022-06-03,0.922,3.562,0.532,35.739,3.472,3.242,0.989,2.835,-0.016,0.002,0.05,-0.0,0.044,-0.023,0.007,-0.016,0.048,-0.022,0.043,2.777,0.143,0.976,0.098,1.798,2017-06-19,utilities
AWR,ELP,2022-06-03,0.941,2.612,0.053,0.959,3.472,3.242,0.623,1.367,0.025,0.021,0.003,-0.002,-0.006,0.003,0.011,-0.032,-0.002,0.032,0.139,0.739,0.122,0.966,0.075,1.595,2017-06-19,utilities
AWR,EVRG,2022-06-03,0.922,2.852,0.551,13.15,3.472,3.242,0.182,0.729,-0.031,-0.089,0.013,-0.025,-0.033,-0.059,0.026,-0.001,-0.049,-0.038,0.057,1.27,0.062,1.142,0.019,2.318,2017-06-19,utilities
AWR,NRG,2022-06-03,0.667,2.805,0.326,8.402,3.472,3.242,0.209,0.875,-0.069,-0.061,-0.014,-0.021,0.056,-0.012,-0.049,0.015,-0.022,-0.019,0.126,0.358,0.127,0.346,0.06,1.649,2017-06-19,utilities
CIG,ED,2022-06-03,0.51,3.19,9.273,54.938,3.472,3.242,0.902,1.219,0.034,0.06,0.016,0.026,-0.004,0.012,0.012,-0.055,0.02,0.046,-0.001,3.206,-0.009,3.362,-0.01,3.381,2017-06-19,utilities
CIG,EXC,2022-06-03,0.529,2.856,5.808,18.388,3.472,3.242,0.929,0.294,0.004,-0.052,-0.032,-0.08,0.009,-0.01,0.004,0.007,-0.047,0.001,0.022,2.61,0.043,2.382,0.067,2.106,2017-06-19,utilities
CIG,NI,2022-06-03,0.824,3.094,3.741,15.991,3.472,3.242,0.919,1.642,-0.014,0.039,-0.02,0.013,-0.026,0.028,0.02,0.01,0.066,0.037,0.009,2.914,0.023,2.636,0.04,2.305,2017-06-19,utilities
CIG,OGE,2022-06-03,1.0,2.886,7.409,15.792,3.472,3.242,0.898,0.451,0.007,0.003,-0.039,-0.009,0.003,0.007,-0.036,0.042,-0.014,-0.059,-0.03,3.652,-0.014,3.244,-0.011,3.153,2017-06-19,utilities
CIG,SWX,2022-06-03,1.0,3.502,10.243,45.328,3.472,3.242,0.885,1.476,-0.039,0.019,0.051,0.059,0.006,0.008,0.001,-0.08,-0.018,0.056,0.016,3.216,0.137,1.072,0.108,1.599,2017-06-19,utilities
CWT,DUK,2022-06-03,0.902,2.596,1.295,21.886,3.472,3.242,0.662,0.921,-0.009,0.02,-0.002,0.0,-0.015,-0.002,-0.002,0.0,-0.01,-0.008,0.03,1.824,0.053,1.233,0.049,1.332,2017-06-19,utilities
CWT,NRG,2022-06-03,0.98,2.936,0.476,9.797,3.472,3.242,0.289,0.527,-0.01,-0.001,0.009,0.029,-0.003,-0.007,-0.008,-0.035,-0.031,0.025,0.124,0.126,0.126,0.081,0.075,1.228,2017-06-19,utilities
CWT,TAC,2022-06-03,0.745,2.665,0.27,-6.31,3.472,3.242,0.0,0.507,0.001,-0.016,-0.004,-0.029,0.055,-0.029,-0.033,0.044,-0.002,-0.062,0.023,2.149,0.072,1.021,0.13,-0.304,2017-06-19,utilities
EBR,SWX,2022-06-03,0.882,2.648,3.485,45.908,3.472,3.242,0.806,0.752,0.026,0.008,-0.033,0.015,-0.047,0.013,0.039,-0.102,0.014,0.034,0.043,1.833,0.161,-0.387,0.115,0.47,2017-06-19,utilities
FE,NI,2022-06-03,0.804,2.815,0.383,10.614,3.472,3.242,0.697,0.87,-0.016,-0.009,-0.002,0.006,0.048,-0.009,-0.049,0.033,-0.031,-0.013,0.014,2.432,0.008,2.596,0.024,2.158,2017-06-19,utilities
HNP,SWX,2022-06-03,0.588,2.613,1.188,50.083,3.472,3.242,0.499,1.003,0.005,-0.01,0.001,0.026,-0.017,0.02,-0.004,-0.035,0.022,0.012,0.069,1.521,0.121,0.697,0.117,0.751,2017-06-19,utilities
MSEX,NRG,2022-06-03,0.686,2.746,0.174,21.687,3.472,3.242,0.393,0.614,-0.001,-0.037,-0.006,-0.067,-0.004,-0.01,0.028,-0.016,-0.028,0.004,0.147,-0.165,0.118,0.401,0.068,1.403,2017-06-19,utilities
MSEX,TAC,2022-06-03,0.882,2.972,0.105,-0.06,3.472,3.242,0.104,0.98,-0.063,-0.013,0.051,-0.013,0.018,-0.025,-0.001,0.069,-0.023,-0.036,0.031,2.219,0.044,1.907,0.132,-0.235,2017-06-19,utilities
NWN,SWX,2022-06-03,0.569,3.265,0.596,37.973,3.472,3.242,0.951,2.404,0.003,0.008,-0.025,0.017,0.017,0.013,-0.002,0.041,-0.024,-0.012,0.048,2.407,0.134,0.845,0.07,1.997,2017-06-19,utilities
SBS,SWX,2022-06-03,0.51,3.093,1.656,54.912,3.472,3.242,0.895,1.697,0.018,-0.003,-0.048,0.024,0.026,0.032,-0.038,0.019,0.015,0.015,0.037,2.542,0.155,0.814,0.12,1.32,2017-06-19,utilities
SJW,SRE,2022-06-03,0.863,2.681,1.337,42.48,3.472,3.242,0.783,1.675,0.018,0.015,0.064,0.042,-0.03,0.059,0.022,-0.017,0.041,0.091,0.058,1.548,0.017,2.342,-0.022,3.104,2017-06-19,utilities
ALB,BCPC,2022-06-03,0.725,-2.959,0.299,75.541,3.697,3.191,0.012,-0.63,-0.021,0.029,0.121,0.052,0.059,-0.032,-0.024,0.047,-0.019,-0.027,0.108,-0.37,0.028,-2.285,0.003,-2.887,2017-06-19,chemicals
AMRS,KRO,2022-06-03,0.569,3.221,0.198,11.31,3.697,3.191,0.504,2.878,0.02,0.023,-0.014,0.0,-0.013,0.029,0.002,-0.021,0.055,0.079,0.099,2.36,0.121,2.166,0.324,0.41,2017-06-19,chemicals
AVNT,CBT,2022-06-03,0.569,3.147,0.888,12.883,3.697,3.191,0.511,2.26,-0.047,-0.03,-0.024,-0.048,-0.076,0.025,0.066,0.029,0.054,0.001,0.009,2.957,-0.035,3.907,-0.011,3.394,2017-06-19,chemicals
AVNT,KRO,2022-06-03,0.863,3.046,0.176,5.859,3.697,3.191,0.035,1.535,-0.006,0.047,0.019,0.032,0.003,-0.016,0.012,-0.014,-0.09,0.031,-0.009,3.224,0.041,2.22,0.172,-0.449,2017-06-19,chemicals
AVNT,WLK,2022-06-03,0.745,2.905,1.785,8.854,3.697,3.191,0.266,2.217,0.041,0.005,-0.038,-0.014,-0.009,-0.011,0.0,-0.02,-0.048,-0.011,0.058,1.685,0.108,0.646,0.09,1.006,2017-06-19,chemicals
EMN,KRO,2022-06-03,0.686,3.727,0.095,4.204,3.697,3.191,0.003,1.798,-0.027,-0.023,0.01,-0.007,0.032,-0.005,-0.027,0.037,-0.023,-0.016,0.0,3.717,0.034,2.859,0.147,0.02,2017-06-19,chemicals
IPI,LXU,2022-06-03,0.549,3.006,0.277,-2.789,3.697,3.191,0.382,0.557,-0.023,0.016,-0.01,0.029,-0.036,0.004,0.024,-0.014,0.04,0.025,0.064,1.763,0.039,2.245,-0.013,3.258,2017-06-19,chemicals
KRO,MTX,2022-06-03,0.784,-2.739,4.186,8.217,3.697,3.191,0.088,-1.979,-0.023,0.047,-0.008,0.058,-0.028,-0.015,0.027,-0.017,-0.034,-0.036,0.008,-2.583,0.047,-1.801,0.103,-0.674,2017-06-19,chemicals
LIN,SHW,2022-06-03,0.961,-2.639,0.941,-2.689,3.697,3.191,0.543,-0.537,-0.0,-0.028,-0.03,-0.029,-0.037,0.152,0.034,-0.018,0.034,-0.014,0.048,-0.825,0.004,-2.501,0.024,-1.739,2017-06-19,chemicals
MTX,WLK,2022-06-03,0.784,2.97,1.429,-9.64,3.697,3.191,0.625,2.837,-0.006,-0.028,-0.044,-0.011,-0.02,-0.004,0.021,0.018,0.007,0.009,0.111,1.243,0.143,0.74,0.084,1.67,2017-06-19,chemicals
OLN,TROX,2022-06-03,0.941,-2.934,0.332,4.028,3.697,3.191,0.389,-1.599,0.003,0.0,0.014,-0.023,-0.017,0.014,0.004,-0.038,0.043,0.041,0.079,-1.578,0.02,-2.595,-0.013,-3.16,2017-06-19,chemicals
SCL,SMG,2022-06-03,0.627,-2.561,2.7,-148.7,3.697,3.191,0.277,-0.614,0.1,0.135,0.012,0.109,0.008,0.039,-0.049,0.073,0.056,-0.018,0.031,-1.987,-0.022,-2.972,-0.026,-3.048,2017-06-19,chemicals
SQM,TROX,2022-06-03,0.51,-2.93,0.27,3.086,3.697,3.191,0.787,-2.596,-0.017,-0.009,-0.008,0.015,-0.002,0.01,0.018,0.0,0.06,0.031,0.036,-2.521,-0.031,-3.283,-0.089,-3.941,2017-06-19,chemicals
