ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
FRME,MFG,2022-06-03,0.843,-2.644,0.025,1.787,4.188,3.453,0.125,-0.933,0.044,-0.008,0.007,-0.032,-0.012,0.011,0.022,-0.021,0.068,0.033,0.021,-2.251,0.016,-2.34,-0.01,-2.831,2017-06-19,banks
FULT,MTB,2022-06-03,0.98,3.176,9.129,10.697,4.188,3.453,0.515,0.661,0.011,0.036,0.031,0.043,-0.019,-0.044,0.012,0.021,-0.015,-0.028,0.037,1.708,0.032,1.915,0.008,2.843,2017-06-19,banks
HBAN,TCBK,2022-06-03,0.706,3.065,2.36,6.089,4.188,3.453,0.22,0.747,0.01,0.016,0.009,0.027,-0.037,-0.02,0.102,0.034,-0.025,-0.002,-0.061,5.155,-0.019,3.713,-0.029,4.072,2017-06-19,banks
HOMB,PPBI,2022-06-03,0.549,-2.82,1.961,-6.236,4.188,3.453,0.51,-1.018,0.036,0.028,-0.013,0.017,-0.0,-0.076,-0.043,0.086,-0.034,-0.04,0.017,-2.196,-0.002,-2.902,-0.009,-3.147,2017-06-19,banks
HOPE,PACW,2022-06-03,0.863,-2.773,3.451,-9.425,4.188,3.453,0.828,-1.34,-0.009,0.001,0.039,0.038,0.031,0.005,-0.026,-0.043,-0.025,0.031,-0.039,-3.779,-0.058,-4.269,-0.062,-4.364,2017-06-19,banks
HTH,SYBT,2022-06-03,0.588,2.563,1.371,8.198,4.188,3.453,0.212,1.22,-0.062,-0.046,-0.001,-0.004,-0.042,0.037,0.057,-0.041,0.019,0.033,-0.047,3.59,-0.092,4.581,-0.102,4.811,2017-06-19,banks
HWC,LBAI,2022-06-03,0.863,-3.015,0.254,5.468,4.188,3.453,0.934,-1.59,-0.056,-0.04,-0.0,-0.04,-0.014,0.003,0.02,-0.085,0.012,0.006,0.023,-2.283,0.026,-2.179,0.044,-1.595,2017-06-19,banks
HWC,MFG,2022-06-03,0.647,-2.57,0.013,2.201,4.188,3.453,0.364,-1.192,0.017,0.055,-0.018,0.063,0.007,-0.001,0.0,-0.048,-0.012,-0.001,0.007,-2.469,0.028,-2.161,-0.006,-2.658,2017-06-19,banks
HWC,PACW,2022-06-03,0.902,-4.15,0.864,1.835,4.188,3.453,0.9,-3.547,-0.059,-0.004,-0.003,-0.025,-0.032,0.021,0.012,0.007,0.06,0.018,-0.011,-4.413,-0.039,-5.101,-0.06,-5.62,2017-06-19,banks
IBOC,MFG,2022-06-03,0.647,-2.922,0.027,1.668,4.188,3.453,0.028,-0.943,-0.056,-0.045,0.013,0.004,0.017,0.04,-0.035,-0.028,0.017,-0.001,0.0,-2.916,0.008,-2.763,-0.009,-3.097,2017-06-19,banks
IBOC,RNST,2022-06-03,0.569,-2.52,0.862,1.53,4.188,3.453,0.054,-0.682,0.004,-0.011,-0.002,0.019,0.03,-0.121,-0.048,0.036,-0.034,-0.004,-0.002,-2.575,0.019,-2.019,0.036,-1.565,2017-06-19,banks
KB,MFG,2022-06-03,0.784,-2.52,0.02,1.868,4.188,3.453,0.15,-1.089,0.057,-0.005,0.012,-0.028,-0.028,-0.002,0.038,-0.005,-0.001,0.006,0.06,-1.51,0.081,-1.152,0.06,-1.513,2017-06-19,banks
LYG,MTB,2022-06-03,0.824,3.099,44.92,39.615,4.188,3.453,0.954,0.92,-0.099,-0.066,-0.024,-0.053,0.188,-0.043,-0.131,0.008,-0.053,-0.068,0.035,2.313,0.004,3.003,-0.054,4.309,2017-06-19,banks
MTB,OCFC,2022-06-03,0.647,-2.561,0.105,5.425,4.188,3.453,0.037,-1.168,-0.034,-0.031,-0.057,-0.148,0.002,0.015,0.005,0.028,0.041,-0.004,0.033,-1.76,0.027,-1.916,-0.027,-3.222,2017-06-19,banks
MTB,SMFG,2022-06-03,0.569,-3.129,0.021,3.622,4.188,3.453,0.042,-1.609,0.022,0.026,-0.008,-0.027,-0.019,0.011,0.027,-0.09,-0.029,0.041,0.028,-2.502,0.01,-2.916,-0.008,-3.31,2017-06-19,banks
MTG,OFG,2022-06-03,0.745,2.704,1.854,-2.355,4.188,3.453,0.015,0.973,-0.041,0.003,0.029,0.018,-0.001,0.022,0.001,-0.049,-0.022,0.031,0.029,1.947,0.04,1.65,0.041,1.614,2017-06-19,banks
NWG,PACW,2022-06-03,0.588,-2.836,7.38,-4.857,4.188,3.453,0.722,-0.423,-0.045,0.004,0.075,0.031,0.002,0.011,-0.003,0.014,0.023,0.007,-0.004,-2.939,-0.099,-5.226,-0.035,-3.683,2017-06-19,banks
NWG,SMFG,2022-06-03,0.902,-2.55,0.444,4.253,4.188,3.453,0.374,-0.657,0.013,0.002,0.018,-0.003,-0.081,0.009,0.072,-0.033,0.014,0.076,0.012,-2.274,-0.019,-2.978,0.02,-2.092,2017-06-19,banks
OFG,USB,2022-06-03,0.51,-2.853,1.582,16.047,4.188,3.453,0.069,-1.114,0.015,-0.007,-0.022,-0.008,0.004,-0.007,-0.022,0.017,-0.034,-0.016,0.001,-2.828,-0.033,-3.79,-0.034,-3.832,2017-06-19,banks
ONB,PB,2022-06-03,1.0,2.688,3.68,5.372,4.188,3.453,0.025,0.702,-0.038,0.006,0.042,0.023,0.109,-0.05,-0.085,0.006,-0.043,0.002,0.001,2.636,0.029,1.473,0.037,1.162,2017-06-19,banks
ONB,SSB,2022-06-03,0.569,2.632,5.671,-20.377,4.188,3.453,0.528,0.671,-0.034,-0.015,-0.023,-0.016,0.03,-0.009,-0.03,0.009,-0.068,-0.039,0.001,2.603,0.038,1.195,0.044,0.962,2017-06-19,banks
PACW,TOWN,2022-06-03,0.588,3.578,0.501,9.109,4.188,3.453,0.689,0.74,0.037,-0.003,0.019,-0.011,0.005,0.03,-0.038,0.036,0.011,-0.0,-0.018,4.261,-0.045,5.305,-0.04,5.09,2017-06-19,banks
