ticker_x,ticker_y,trade_date,adf_pass_rate,adf_pass_rate_recent,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABB,ETN,2020-06-09,0.5,1.0,2.031,1.868,34.024,4.645,4.084,0.798,1.508,-0.013,-0.002,-0.039,-0.012,-0.019,0.034,0.01,0.017,0.037,0.035,0.106,0.397,0.042,1.382,0.014,1.811,2013-06-27,capital_goods
ABB,MIDD,2020-06-09,0.566,0.0,-2.234,2.205,75.725,4.645,4.084,0.532,-1.614,0.054,0.011,-0.05,0.06,0.025,-0.026,-0.026,0.075,-0.002,-0.042,-0.13,-3.169,0.089,-1.593,0.029,-2.027,2013-06-27,capital_goods
ABB,NDSN,2020-06-09,0.789,1.0,3.33,3.51,57.067,4.645,4.084,0.611,3.177,0.03,0.008,0.011,-0.018,-0.065,0.021,0.073,0.031,0.024,0.034,0.078,2.24,0.055,2.565,0.1,1.938,2013-06-27,capital_goods
ACM,MDU,2020-06-09,0.566,0.5,-2.73,0.292,13.124,4.645,4.084,0.036,-0.685,-0.016,0.016,-0.005,-0.023,-0.021,0.034,0.027,0.017,0.012,0.018,-0.001,-2.746,0.046,-1.664,0.064,-1.248,2013-06-27,capital_goods
ACM,NDSN,2020-06-09,0.776,1.0,2.744,2.729,30.984,4.645,4.084,0.212,1.577,0.001,0.037,-0.04,0.015,-0.009,0.061,-0.052,-0.017,0.057,-0.005,-0.037,3.457,-0.047,3.643,-0.017,3.069,2013-06-27,capital_goods
AER,DE,2020-06-09,0.579,0.0,2.117,1.77,43.91,4.645,4.084,0.002,1.749,0.039,-0.004,-0.02,0.009,0.022,0.014,-0.0,-0.012,-0.011,-0.029,-0.053,2.637,-0.133,3.431,-0.268,4.765,2013-06-27,capital_goods
AER,FERG,2020-06-09,0.855,0.167,2.551,0.794,26.626,4.645,4.084,0.021,1.199,-0.051,-0.035,-0.025,-0.026,-0.091,-0.008,0.008,0.049,-0.072,-0.022,-0.115,4.197,-0.153,4.734,-0.18,5.122,2013-06-27,capital_goods
AER,GGG,2020-06-09,0.539,0.0,2.294,0.465,17.135,4.645,4.084,0.01,2.238,-0.001,-0.006,0.004,-0.01,-0.002,0.003,0.02,-0.001,0.009,0.027,0.006,2.235,-0.065,2.901,-0.127,3.473,2013-06-27,capital_goods
AER,TREX,2020-06-09,0.539,0.0,2.942,0.367,12.226,4.645,4.084,0.007,0.24,-0.03,-0.005,0.004,-0.002,0.004,0.015,0.001,-0.014,0.008,0.017,-0.12,3.72,-0.167,4.024,-0.175,4.076,2013-06-27,capital_goods
AGCO,ESLT,2020-06-09,0.868,1.0,2.058,1.93,11.901,4.645,4.084,0.412,0.664,-0.011,0.004,0.011,0.023,0.008,-0.01,-0.021,0.027,-0.022,-0.035,0.017,1.688,0.101,-0.127,0.172,-1.675,2013-06-27,capital_goods
