ticker_x,ticker_y,trade_date,adf_pass_rate,adf_pass_rate_recent,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABB,CR,2018-10-19,0.605,0.0,2.792,4.89,-27.722,4.012,3.622,0.067,1.471,-0.006,0.01,-0.006,-0.011,0.005,-0.04,0.025,0.013,0.01,0.017,-0.035,3.818,0.029,1.947,0.005,2.646,2011-11-07,capital_goods
ABB,DCI,2018-10-19,0.684,0.333,3.764,2.448,-8.237,4.012,3.622,0.056,1.744,-0.024,-0.031,0.016,-0.024,-0.016,-0.005,0.028,0.016,0.043,-0.004,-0.045,5.175,0.037,2.609,0.013,3.36,2011-11-07,capital_goods
ABB,ETN,2018-10-19,0.868,0.0,2.46,3.396,-2.369,4.012,3.622,0.186,1.071,-0.009,-0.002,0.002,-0.012,-0.02,0.061,0.038,0.035,0.069,0.011,0.001,2.421,0.017,1.821,0.007,2.215,2011-11-07,capital_goods
ABB,HEI,2018-10-19,0.592,0.0,3.433,5.288,-53.119,4.012,3.622,0.316,3.159,0.052,-0.033,-0.038,-0.024,-0.014,-0.005,0.006,-0.053,-0.009,0.053,-0.009,3.573,-0.0,3.438,-0.011,3.61,2011-11-07,capital_goods
ABB,HEI-A,2018-10-19,0.592,0.0,3.35,4.445,-44.921,4.012,3.622,0.303,2.921,0.01,-0.001,-0.031,0.01,-0.003,0.051,0.009,-0.061,0.007,0.029,0.004,3.284,-0.001,3.358,-0.009,3.502,2011-11-07,capital_goods
ABB,WWD,2018-10-19,0.579,0.333,2.381,4.117,-15.687,4.012,3.622,0.0,0.803,-0.011,0.024,0.029,0.025,0.011,0.062,0.027,0.017,0.043,0.028,-0.048,3.72,-0.032,3.267,-0.049,3.762,2011-11-07,capital_goods
ACM,HII,2018-10-19,0.605,1.0,2.041,9.524,-148.867,4.012,3.622,0.384,0.959,-0.001,-0.007,0.003,-0.005,-0.058,0.033,0.01,0.004,-0.076,-0.012,0.061,1.131,-0.009,2.17,0.038,1.479,2011-11-07,capital_goods
ACM,WWD,2018-10-19,0.737,1.0,2.135,2.697,-27.151,4.012,3.622,0.313,1.078,-0.007,-0.023,0.021,-0.064,-0.038,0.003,0.01,-0.039,-0.016,0.003,-0.002,2.171,-0.065,3.34,-0.031,2.71,2011-11-07,capital_goods
AGCO,ESLT,2018-10-19,0.579,1.0,2.34,2.666,-38.521,4.012,3.622,0.006,0.505,-0.011,0.016,0.013,-0.009,0.007,-0.01,-0.005,-0.001,0.028,0.05,0.048,1.151,0.009,2.105,0.062,0.784,2011-11-07,capital_goods
AME,BA,2018-10-19,0.645,1.0,2.868,7.723,-249.729,4.012,3.622,0.004,0.863,-0.007,-0.004,-0.034,-0.043,0.026,-0.039,0.016,-0.048,0.018,-0.005,0.054,0.617,0.008,2.522,-0.002,2.967,2011-11-07,capital_goods
AOS,ESLT,2018-10-19,0.645,0.0,2.614,2.102,6.785,4.012,3.622,0.826,1.005,-0.009,0.045,-0.028,0.065,0.031,-0.022,-0.086,0.043,-0.001,-0.024,0.028,1.924,-0.012,2.922,0.005,2.493,2011-11-07,capital_goods
AOS,LII,2018-10-19,0.842,0.0,4.058,3.197,8.339,4.012,3.622,0.658,2.802,0.046,0.015,0.009,0.004,0.002,0.035,0.031,0.031,0.007,0.02,-0.063,6.05,-0.07,6.269,-0.082,6.648,2011-11-07,capital_goods
AOS,WSO,2018-10-19,0.671,0.0,3.142,1.895,38.024,4.012,3.622,0.545,1.382,0.052,0.051,-0.029,0.037,0.005,0.017,-0.014,-0.01,0.002,0.024,0.048,1.666,0.057,1.388,0.065,1.129,2011-11-07,capital_goods
BA,FERG,2018-10-19,0.711,1.0,-2.136,0.094,40.213,4.012,3.622,0.118,-0.349,0.011,-0.026,0.011,-0.018,0.018,-0.039,-0.007,0.016,-0.011,-0.035,-0.053,-3.788,-0.042,-3.444,-0.051,-3.729,2011-11-07,capital_goods
