ticker,subindustry,market_cap
BIOC,pharmaceuticals_biotechnology_and_life_sciences,29.8
BIOL,health_care_equipment_and_services,48.4
BIOT,diversified_financials,283.8
BIVI,pharmaceuticals_biotechnology_and_life_sciences,107.7
BJDX,health_care_equipment_and_services,19.0
BKSC,banks,100.7
BKYI,software_and_services,18.2
BLBX,software_and_services,48.4
BLCM,pharmaceuticals_biotechnology_and_life_sciences,17.1
BLDE,transportation,677.3
BLFS,health_care_equipment_and_services,708.5
BLIN,software_and_services,17.8
BLNK,capital_goods,1005.7
BLPH,health_care_equipment_and_services,19.2
BLRX,pharmaceuticals_biotechnology_and_life_sciences,74.7
BLSA,diversified_financials,182.5
BMRA,health_care_equipment_and_services,54.4
BMRC,banks,520.4
BNGO,pharmaceuticals_biotechnology_and_life_sciences,573.4
BNSO,technology_hardware_and_equipment,14.6
BNTC,pharmaceuticals_biotechnology_and_life_sciences,16.4
BON,chemicals,29.5
BOSC,technology_hardware_and_equipment,11.5
BOTJ,banks,69.5
BOXL,technology_hardware_and_equipment,71.4
BPTH,pharmaceuticals_biotechnology_and_life_sciences,21.6
BPTS,pharmaceuticals_biotechnology_and_life_sciences,26.2
BRCN,chemicals,80.9
BRFH,consumer_staples,86.5
BRLI,diversified_financials,56.9
BROG,energy,879.7
BRPM,diversified_financials,218.8
BRQS,technology_hardware_and_equipment,46.9
BRTX,pharmaceuticals_biotechnology_and_life_sciences,17.1
BSBK,banks,150.6
BSFC,consumer_staples,37.9
BSGA,diversified_financials,76.1
BSGM,health_care_equipment_and_services,40.3
BSQR,software_and_services,32.3
BTAI,pharmaceuticals_biotechnology_and_life_sciences,417.7
BTB,consumer_staples,31.3
BTBD,consumer_services,14.9
BTBT,software_and_services,200.2
BTCS,software_and_services,48.1
BTCY,health_care_equipment_and_services,101.2
BTOG,consumer_staples,80.7
BTTX,health_care_equipment_and_services,33.1
BTWN,diversified_financials,737.0
BVXV,pharmaceuticals_biotechnology_and_life_sciences,28.3
BWB,banks,472.4
BWC,diversified_financials,248.0
BWEN,capital_goods,39.5
BWMX,retailing,698.1
BWV,pharmaceuticals_biotechnology_and_life_sciences,71.0
BXRX,pharmaceuticals_biotechnology_and_life_sciences,11.7
BYFC,banks,121.7
BYRN,capital_goods,173.5
BYSI,pharmaceuticals_biotechnology_and_life_sciences,76.7
BYTS,diversified_financials,407.0
CAAS,automobiles_and_components,89.5
CAPR,pharmaceuticals_biotechnology_and_life_sciences,77.1
CARV,banks,27.3
CASI,pharmaceuticals_biotechnology_and_life_sciences,84.4
CATC,banks,582.6
CBAT,capital_goods,110.9
CBIO,pharmaceuticals_biotechnology_and_life_sciences,16.7
CCEL,health_care_equipment_and_services,53.9
CCNC,capital_goods,32.1
CDEV,energy,2443.4
CDMO,pharmaceuticals_biotechnology_and_life_sciences,1130.5
CDRO,consumer_services,217.9
CDXC,pharmaceuticals_biotechnology_and_life_sciences,148.6
CEAD,capital_goods,15.3
CELC,pharmaceuticals_biotechnology_and_life_sciences,109.5
CELH,consumer_staples,4312.3
CELU,pharmaceuticals_biotechnology_and_life_sciences,1622.3
CELZ,pharmaceuticals_biotechnology_and_life_sciences,14.6
CEMI,health_care_equipment_and_services,23.7
CENN,automobiles_and_components,433.7
CERE,pharmaceuticals_biotechnology_and_life_sciences,4823.6
CETX,technology_hardware_and_equipment,12.9
CFBK,banks,144.1
CFMS,health_care_equipment_and_services,115.1
CFRX,pharmaceuticals_biotechnology_and_life_sciences,162.1
CFSB,banks,63.9
CGRN,capital_goods,53.4
CHCI,real_estate,44.0
CHEK,health_care_equipment_and_services,45.1
CHNR,metals_and_mining,35.2
CHPM,diversified_financials,265.9
CHWA,diversified_financials,155.0
CING,pharmaceuticals_biotechnology_and_life_sciences,19.2
CISO,software_and_services,533.2
CIVB,banks,346.6
CJJD,consumer_staples,8.11
CKPT,pharmaceuticals_biotechnology_and_life_sciences,127.7
CLAY,diversified_financials,99.4
CLBS,pharmaceuticals_biotechnology_and_life_sciences,39.4
CLDX,pharmaceuticals_biotechnology_and_life_sciences,1601.6
CLEU,consumer_services,24.6
CLIR,technology_hardware_and_equipment,44.0
CLNN,pharmaceuticals_biotechnology_and_life_sciences,189.7
CLPT,health_care_equipment_and_services,249.6
CLRB,pharmaceuticals_biotechnology_and_life_sciences,38.6
CLRO,technology_hardware_and_equipment,18.5
CLSK,software_and_services,394.4
CLSN,pharmaceuticals_biotechnology_and_life_sciences,23.9
CLST,banks,66.7
CLVR,pharmaceuticals_biotechnology_and_life_sciences,51.8
CLWT,capital_goods,11.7
CMMB,pharmaceuticals_biotechnology_and_life_sciences,43.8
CMPX,pharmaceuticals_biotechnology_and_life_sciences,154.3
CNET,media_and_entertainment,21.4
CNEY,chemicals,35.3
CNNB,banks,46.6
CNSP,pharmaceuticals_biotechnology_and_life_sciences,14.2
CNTX,pharmaceuticals_biotechnology_and_life_sciences,27.0
CNTY,consumer_services,333.3
COCP,pharmaceuticals_biotechnology_and_life_sciences,50.7
CODA,technology_hardware_and_equipment,66.8
CODX,health_care_equipment_and_services,179.7
COFS,banks,183.2
COMS,technology_hardware_and_equipment,51.1
COOL,diversified_financials,492.5
COOP,banks,3406.7
CORT,pharmaceuticals_biotechnology_and_life_sciences,2458.3
COSM,health_care_equipment_and_services,19.8
COVA,diversified_financials,368.3
CPAR,diversified_financials,438.2
CPRX,pharmaceuticals_biotechnology_and_life_sciences,872.3
CPSH,technology_hardware_and_equipment,61.8
CPTN,technology_hardware_and_equipment,462.1
CRDF,pharmaceuticals_biotechnology_and_life_sciences,71.0
CRDL,pharmaceuticals_biotechnology_and_life_sciences,112.8
CREG,commercial_and_professional_services,40.8
CREX,media_and_entertainment,12.2
CRKN,chemicals,18.5
CRTD,media_and_entertainment,22.1
CRWS,consumer_durables_and_apparel,64.7
CRZN,diversified_financials,249.9
CSBR,pharmaceuticals_biotechnology_and_life_sciences,111.0
CSCW,software_and_services,28.4
CTHR,consumer_durables_and_apparel,47.5
CTIB,consumer_durables_and_apparel,5.7
CTIC,pharmaceuticals_biotechnology_and_life_sciences,477.8
CTRM,transportation,227.1
CTSO,health_care_equipment_and_services,122.3
CTXR,pharmaceuticals_biotechnology_and_life_sciences,190.6
CUE,pharmaceuticals_biotechnology_and_life_sciences,149.9
CUEN,telecommunication_services,20.4
CULL,banks,88.6
CURI,media_and_entertainment,131.4
CVCY,banks,265.1
CVV,semiconductors_and_semiconductor_equipment,33.0
CWBR,pharmaceuticals_biotechnology_and_life_sciences,21.2
CXDO,software_and_services,67.0
CYAN,consumer_staples,18.9
CYCC,pharmaceuticals_biotechnology_and_life_sciences,20.2
CYN,software_and_services,32.0
CYRN,software_and_services,15.3
CYRX,health_care_equipment_and_services,1537.1
CYTH,pharmaceuticals_biotechnology_and_life_sciences,23.6
CYTO,pharmaceuticals_biotechnology_and_life_sciences,15.3
CZNC,banks,391.4
DAIO,technology_hardware_and_equipment,31.0
DALN,media_and_entertainment,36.9
DARE,pharmaceuticals_biotechnology_and_life_sciences,112.5
DATS,software_and_services,36.5
DBGI,retailing,12.4
DCGO,health_care_equipment_and_services,799.4
DCRD,diversified_financials,392.5
DCTH,health_care_equipment_and_services,50.4
DENN,consumer_services,816.5
DERM,pharmaceuticals_biotechnology_and_life_sciences,83.1
DFFN,pharmaceuticals_biotechnology_and_life_sciences,17.4
DGHI,software_and_services,90.9
DGLY,technology_hardware_and_equipment,56.4
DGNU,diversified_financials,530.3
DHCA,diversified_financials,379.5
DISA,diversified_financials,337.2
DJCO,media_and_entertainment,389.1
DLCA,diversified_financials,254.1
DLHC,commercial_and_professional_services,225.4
DLPN,media_and_entertainment,30.8
DMAC,pharmaceuticals_biotechnology_and_life_sciences,61.6
DMTK,pharmaceuticals_biotechnology_and_life_sciences,328.1
DNAA,diversified_financials,315.4
DNAB,diversified_financials,310.9
DNAC,diversified_financials,315.1
DNAD,diversified_financials,310.6
DPRO,capital_goods,51.0
DRAY,diversified_financials,356.9
DRCT,media_and_entertainment,6.38
DRIO,health_care_equipment_and_services,129.6
DRMA,pharmaceuticals_biotechnology_and_life_sciences,9.95
DRRX,pharmaceuticals_biotechnology_and_life_sciences,103.8
DRTS,health_care_equipment_and_services,660.6
DRUG,pharmaceuticals_biotechnology_and_life_sciences,14.8
DSAC,diversified_financials,217.2
DSKE,transportation,508.7
DTSS,software_and_services,84.4
DTST,software_and_services,21.4
DUOT,software_and_services,27.5
DVAX,pharmaceuticals_biotechnology_and_life_sciences,1293.4
DXR,health_care_equipment_and_services,45.4
DYAI,pharmaceuticals_biotechnology_and_life_sciences,68.1
DYNS,diversified_financials,294.7
DYNT,health_care_equipment_and_services,12.8
DZSI,technology_hardware_and_equipment,344.7
EAST,consumer_staples,15.3
EBAC,diversified_financials,160.4
EBET,consumer_services,75.8
EDRY,transportation,110.4
EDSA,pharmaceuticals_biotechnology_and_life_sciences,50.2
EDTK,consumer_services,17.7
EEIQ,consumer_services,23.9
EFOI,capital_goods,8.0
EFTR,pharmaceuticals_biotechnology_and_life_sciences,155.9
EGAN,software_and_services,354.3
EGBN,banks,1780.4
EJFA,diversified_financials,355.8
EJH,consumer_services,26.3
EKSO,health_care_equipment_and_services,33.6
ELDN,pharmaceuticals_biotechnology_and_life_sciences,44.8
ELSE,technology_hardware_and_equipment,17.1
ELTK,technology_hardware_and_equipment,24.1
ELYS,consumer_services,49.7
EMCF,banks,101.8
ENG,energy,42.3
ENLV,pharmaceuticals_biotechnology_and_life_sciences,127.4
ENOB,pharmaceuticals_biotechnology_and_life_sciences,399.0
ENSC,pharmaceuticals_biotechnology_and_life_sciences,32.0
ENTX,pharmaceuticals_biotechnology_and_life_sciences,85.0
ENVB,pharmaceuticals_biotechnology_and_life_sciences,17.0
EOSE,capital_goods,149.5
EPIX,pharmaceuticals_biotechnology_and_life_sciences,302.8
EQOS,diversified_financials,79.6
ESBK,banks,81.6
ESEA,transportation,200.7
ESOA,energy,39.8
ESQ,banks,261.0
ESSC,diversified_financials,77.7
ESTA,health_care_equipment_and_services,1940.1
EUCR,diversified_financials,133.1
EVAX,pharmaceuticals_biotechnology_and_life_sciences,66.6
EVFM,pharmaceuticals_biotechnology_and_life_sciences,42.1
EVLV,technology_hardware_and_equipment,404.2
EVOK,pharmaceuticals_biotechnology_and_life_sciences,14.0
EVOL,software_and_services,16.3
EYEN,pharmaceuticals_biotechnology_and_life_sciences,85.3
EYES,health_care_equipment_and_services,52.8
EZFL,energy,23.5
EZGO,transportation,14.6
FAMI,consumer_staples,78.2
FAT,consumer_services,95.6
FBIO,pharmaceuticals_biotechnology_and_life_sciences,114.9
FBRX,pharmaceuticals_biotechnology_and_life_sciences,20.7
FCAP,banks,129.3
FCCO,banks,155.2
FEMY,health_care_equipment_and_services,18.3
FENC,pharmaceuticals_biotechnology_and_life_sciences,158.2
FFBW,banks,68.4
FFHL,chemicals,20.7
FGI,capital_goods,24.0
FICV,diversified_financials,243.8
FINM,diversified_financials,508.7
FKWL,technology_hardware_and_equipment,45.0
FLAC,diversified_financials,174.8
FLGC,consumer_staples,88.4
FLIC,banks,443.7
FLL,consumer_services,331.9
FLMN,energy,355.2
FLUX,capital_goods,47.0
FMAO,banks,485.3
FMNB,banks,551.9
FNCB,banks,174.1
FNGR,telecommunication_services,100.0
FNWD,banks,195.0
FONR,health_care_equipment_and_services,122.1
FORA,health_care_equipment_and_services,122.0
FORD,consumer_durables_and_apparel,17.9
FPAY,diversified_financials,29.1
FRAF,banks,150.1
FREE,consumer_staples,322.7
FRHC,diversified_financials,3183.1
FRON,diversified_financials,287.9
FRSX,automobiles_and_components,62.4
FSBW,banks,243.7
FSEA,banks,61.2
FSFG,banks,174.6
FSTX,pharmaceuticals_biotechnology_and_life_sciences,65.1
FTAA,diversified_financials,335.6
FTEK,commercial_and_professional_services,43.6
FTFT,retailing,50.4
FTHM,real_estate,129.5
FUSB,banks,70.5
FVCB,banks,277.1
FWAC,diversified_financials,344.7
FWBI,pharmaceuticals_biotechnology_and_life_sciences,11.7
FWP,pharmaceuticals_biotechnology_and_life_sciences,41.5
FXNC,banks,131.2
GALT,pharmaceuticals_biotechnology_and_life_sciences,100.9
GAME,media_and_entertainment,23.8
GAN,consumer_services,188.4
GBNH,health_care_equipment_and_services,49.2
GBNY,banks,28.5
GBOX,software_and_services,152.8
GBRG,diversified_financials,76.1
GCBC,banks,441.6
GCTK,health_care_equipment_and_services,46.4
GDYN,software_and_services,1035.8
GENE,pharmaceuticals_biotechnology_and_life_sciences,27.2
GEVO,energy,856.5
GFAI,commercial_and_professional_services,31.3
GGAL,banks,2514.2
GGE,real_estate,118.2
GGGV,diversified_financials,140.7
GGPI,diversified_financials,1208.0
