"spreads"
"THR_KEX"
"HXL_VVI"
"IEX_TT"
"ALSN_GHM"
"WMS_GNRC"
"UNVR_WBT"
"UNVR_GD"
"FLOW_ASGN"
"FLOW_AXR"
"ABM_AGCO"
"ABM_OSK"
"ACM_HUBB"
"AME_TT"
"AOS_TGH"
"MTOR_CYD"
"MTOR_FDX"
"AXR_WCC"
"BRC_EBF"
"CR_TBI"
"DCI_HON"
"DCI_MTZ"
"DCI_SNA"
"GD_TBI"
"GSL_HRI"
"SSD_TREX"
"TREX_WSO"
"NLSN_NM"
"THR_BA"
"THR_HXL"
"THR_SPR"
"ALSN_DAL"
"ALLE_MTZ"
"FTAI_DCI"
"FTAI_PH"
"FTAI_SNA"
"FTAI_VMI"
"WMS_WSO"
"INFO_ETN"
"UNVR_DSX"
"UNVR_TBI"
"BW_AZZ"
"TRU_ETN"
"TRU_FSS"
"TRU_LNN"
"TRU_UPS"
"WBT_DSX"
"WBT_TBI"
"MATX_FIX"
"MATX_NSC"
"MATX_UNP"
"RRD_SCX"
"PGTI_ENS"
"ACCO_GE"
"ABM_JCI"
"ACM_ETN"
"ACM_VMI"
"ACM_CFX"
"AER_RTX"
"AIT_TRN"
"ALG_SWK"
"AME_UPS"
"MTOR_CAT"
"MTOR_CMI"
"MTOR_DE"
"MTOR_GGG"
"MTOR_HON"
"MTOR_IEX"
"MTOR_TT"
"MTOR_ITW"
"MTOR_LII"
"MTOR_LNN"
"MTOR_MAS"
"MTOR_MLR"
"MTOR_NSC"
"MTOR_NX"
"MTOR_OC"
"MTOR_SWK"
"MTOR_TKR"
"MTOR_TTC"
"MTOR_UNP"
"MTOR_UPS"
"MTOR_WSO"
"EPAC_LUV"
"EPAC_NM"
"AXR_KFY"
"AYI_MIC"
"AYI_SCX"
"BA_SPR"
"CIR_DLX"
"DAC_WCC"
"DCO_DCI"
"DCI_EMR"
"DCI_ITT"
"DCI_LII"
"DE_PH"
"DSX_GD"
"DSX_TBI"
"EMR_GBX"
"EME_JBT"
"ETN_PNR"
"AJRD_MLR"
"IEX_J"
"IEX_UPS"
"ITT_SNA"
"ITW_MAS"
"KAI_PNR"
"KMT_MMM"
"KMT_NPO"
"KMT_R"
"KMT_TEX"
"KMT_TWI"
"KMT_WNC"
"LII_NSC"
"MLI_WCC"
"MMM_PNR"
"MMM_TGH"
"MMM_TWI"
"MSM_TRN"
"MWA_VMI"
"MWA_CFX"
"NPO_R"
"OSK_VMI"
"TPC_TBI"
"TPC_TWI"
"PH_UPS"
"PNR_TGH"
"PNR_URI"
"PWR_UPS"
"ROK_GNRC"
"SNA_TEX"
"SSD_UPS"
"TRTN_TRN"
"TRTN_UPS"
"TRTN_VMI"
"TNC_SB"
"UPS_URI"
"UPS_WSO"
"UPS_GNRC"
"PLOW_HII"
"PLOW_FLOW"
"PLOW_SITE"
"PLOW_SSD"
"PLOW_WSO"
