date,DX=F
2022-08-05,106.49
2022-08-08,106.32
2022-08-09,106.25
2022-08-10,105.08
2022-08-11,104.99
2022-08-12,105.51
2022-08-15,106.43
2022-08-16,106.39
2022-08-17,106.49
2022-08-18,107.42
2022-08-19,108.1
2022-08-22,108.98
2022-08-23,108.55
2022-08-24,108.62
2022-08-25,108.43
