ticker_x,ticker_y,trade_date,adf_pass_rate,adf_pass_rate_recent,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ACIW,VMW,2020-12-11,0.529,0.667,-2.813,3.621,10.595,3.837,3.894,0.007,-0.878,0.019,0.005,-0.002,-0.001,0.012,0.004,-0.013,-0.001,-0.024,-0.014,-0.017,-3.143,-0.018,-3.176,0.01,-2.624,2015-12-28,software_and_services
BB,BFH,2020-12-11,0.647,0.833,-3.241,19.879,-40.219,3.837,3.894,0.392,-0.937,0.012,0.029,0.062,0.113,-0.197,0.095,0.188,-0.058,0.099,0.113,0.069,-2.473,-0.402,-7.73,-0.153,-4.947,2015-12-28,software_and_services
BB,DXC,2020-12-11,0.961,1.0,-3.321,9.192,-22.026,3.837,3.894,0.639,-0.76,-0.015,-0.0,0.018,0.028,-0.019,-0.002,0.019,-0.015,0.023,0.022,0.111,-2.069,-0.435,-8.236,-0.263,-6.29,2015-12-28,software_and_services
BR,DLB,2020-12-11,0.51,0.5,3.871,0.246,35.76,3.837,3.894,0.41,1.663,-0.022,0.073,0.043,0.05,-0.039,0.011,0.025,0.001,-0.023,-0.046,-0.018,4.337,-0.026,4.554,-0.076,5.867,2015-12-28,software_and_services
CHKP,RAMP,2020-12-11,0.529,1.0,3.023,1.03,-71.05,3.837,3.894,0.072,0.159,-0.009,-0.044,-0.009,-0.003,0.027,-0.027,-0.029,0.005,0.01,0.037,-0.007,3.271,-0.002,3.097,0.061,0.932,2015-12-28,software_and_services
CTSH,DLB,2020-12-11,0.549,0.667,4.125,0.286,44.724,3.837,3.894,0.439,2.9,0.039,0.002,-0.008,-0.012,-0.018,0.018,0.034,-0.004,0.057,0.051,-0.033,4.783,-0.035,4.837,-0.088,5.905,2015-12-28,software_and_services
CTSH,DXC,2020-12-11,0.529,0.167,-2.745,2.231,-98.413,3.837,3.894,0.767,-2.148,0.033,-0.013,-0.02,-0.081,-0.032,0.007,0.023,-0.008,0.006,0.038,0.01,-2.644,0.027,-2.464,0.024,-2.49,2015-12-28,software_and_services
DOX,EXLS,2020-12-11,0.529,0.5,2.716,0.713,20.655,3.837,3.894,0.694,1.282,0.003,0.009,-0.049,-0.006,-0.008,0.032,0.032,-0.045,0.001,0.015,0.008,2.538,0.039,1.885,0.051,1.645,2015-12-28,software_and_services
DSGX,SAP,2020-12-11,0.627,0.667,-2.692,1.466,58.186,3.837,3.894,0.55,-0.619,-0.025,0.041,0.1,0.028,-0.03,0.029,0.004,0.078,0.054,-0.083,0.028,-2.101,-0.005,-2.79,-0.046,-3.679,2015-12-28,software_and_services
DXC,WIT,2020-12-11,0.608,0.0,2.556,0.021,3.357,3.837,3.894,0.524,1.47,-0.024,0.024,0.005,0.123,0.034,0.001,-0.051,0.034,0.01,-0.001,-0.18,4.465,-0.24,5.097,-0.215,4.836,2015-12-28,software_and_services
FORTY,SNPS,2020-12-11,0.529,0.5,3.904,2.289,8.767,3.837,3.894,0.339,0.505,-0.022,-0.003,0.014,-0.016,-0.02,0.012,0.04,-0.006,0.005,0.058,-0.001,3.949,-0.063,5.794,0.09,1.191,2015-12-28,software_and_services
MA,NICE,2020-12-11,0.667,0.0,2.843,0.731,-36.428,3.837,3.894,0.019,1.293,0.028,-0.015,0.041,-0.015,-0.013,0.021,0.018,-0.017,-0.001,0.023,-0.037,4.066,-0.051,4.511,0.11,-0.783,2015-12-28,software_and_services
MSFT,NICE,2020-12-11,0.902,0.333,2.691,1.006,6.497,3.837,3.894,0.612,0.315,0.022,-0.035,-0.021,-0.001,0.014,0.002,0.022,0.044,0.013,0.031,-0.063,6.059,-0.006,3.017,0.083,-1.712,2015-12-28,software_and_services
VMW,VRNT,2020-12-11,0.863,0.667,2.713,0.124,10.189,3.837,3.894,0.676,0.614,-0.033,0.002,0.001,0.001,-0.022,0.016,0.027,-0.046,-0.01,0.035,-0.145,5.934,-0.456,12.86,-0.406,11.753,2015-12-28,software_and_services
DBI,GES,2020-12-11,0.647,0.667,2.872,0.47,7.969,3.579,3.828,0.428,0.795,0.022,0.024,-0.024,0.006,-0.027,0.014,0.042,0.021,0.008,0.034,-0.206,4.74,-0.105,3.82,-0.126,4.01,2015-12-28,retailing
DBI,GME,2020-12-11,0.647,0.0,2.663,0.052,1.138,3.579,3.828,0.835,1.51,0.009,-0.034,0.023,-0.06,-0.034,-0.027,0.052,-0.011,0.004,0.01,-1.197,9.137,-2.57,16.565,-13.048,73.235,2015-12-28,retailing
DBI,KSS,2020-12-11,0.961,1.0,2.744,2.262,8.529,3.579,3.828,0.241,0.176,0.026,-0.007,-0.024,0.016,-0.009,-0.005,-0.003,0.015,-0.026,-0.049,-0.049,3.311,-0.004,2.793,-0.069,3.537,2015-12-28,retailing
DDS,PAG,2020-12-11,0.588,0.167,2.52,0.089,37.884,3.579,3.828,0.956,0.896,-0.007,0.016,-0.01,0.065,-0.074,0.022,0.079,-0.072,0.01,0.02,-0.066,3.256,-0.097,3.593,-0.381,6.736,2015-12-28,retailing
