ticker_x,ticker_y,trade_date,adf_pass_rate,adf_pass_rate_recent,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ANSS,MA,2019-01-03,0.725,0.0,2.682,1.229,-19.184,3.534,3.261,0.113,1.286,0.054,-0.109,-0.026,-0.072,0.006,-0.021,-0.005,-0.024,-0.033,-0.025,0.015,2.197,0.022,1.966,0.011,2.316,2014-01-16,software_and_services
ANSS,NICE,2019-01-03,0.51,0.0,3.097,0.52,16.221,3.534,3.261,0.066,1.549,0.026,0.014,0.015,-0.034,0.004,-0.081,0.006,-0.021,-0.004,-0.0,0.056,1.308,0.065,1.019,0.036,1.942,2014-01-16,software_and_services
APPS,BB,2019-01-03,0.608,0.5,-3.583,3.377,4.73,3.534,3.261,0.503,-1.325,0.026,-0.045,-0.087,-0.003,0.045,-0.03,-0.054,-0.056,-0.127,-0.097,0.047,-3.081,-0.147,-5.165,-0.235,-6.11,2014-01-16,software_and_services
BB,MMS,2019-01-03,0.627,1.0,2.521,2.229,36.902,3.534,3.261,0.002,0.438,0.051,-0.057,0.04,-0.003,-0.04,-0.032,0.011,0.018,-0.037,-0.036,-0.036,3.271,0.011,2.295,-0.019,2.912,2014-01-16,software_and_services
BLKB,CRM,2019-01-03,0.51,0.0,2.909,1.135,8.938,3.534,3.261,0.464,0.123,0.05,0.007,-0.01,-0.011,-0.061,0.052,0.07,0.084,0.158,0.117,-0.084,3.829,-0.052,3.479,-0.017,3.089,2014-01-16,software_and_services
BLKB,GPN,2019-01-03,0.843,0.0,2.611,0.959,14.076,3.534,3.261,0.951,1.519,-0.024,-0.018,0.033,-0.027,0.012,-0.005,0.001,0.007,-0.003,0.027,-0.047,3.352,-0.109,4.331,-0.1,4.191,2014-01-16,software_and_services
BLKB,V,2019-01-03,0.686,0.0,2.936,1.066,14.872,3.534,3.261,0.635,0.123,-0.007,0.024,-0.037,0.061,-0.033,0.034,-0.028,-0.057,-0.072,0.024,-0.017,3.137,-0.024,3.22,-0.03,3.304,2014-01-16,software_and_services
BR,CRM,2019-01-03,0.588,0.5,3.164,1.165,8.443,3.534,3.261,0.145,0.332,0.043,0.004,-0.005,-0.025,0.003,0.01,-0.01,-0.027,-0.02,-0.026,-0.07,6.033,-0.088,6.753,-0.053,5.32,2014-01-16,software_and_services
CDNS,DSGX,2019-01-03,0.765,0.0,-2.634,0.548,6.395,3.534,3.261,0.509,-0.319,0.154,0.069,-0.086,0.075,-0.012,-0.048,0.004,0.018,0.074,0.078,0.049,-1.049,-0.01,-2.951,0.022,-1.907,2014-01-16,software_and_services
CRM,DOX,2019-01-03,0.569,0.0,-2.71,0.122,44.84,3.534,3.261,0.252,-0.935,-0.036,0.032,0.04,0.013,0.009,-0.033,-0.015,-0.032,-0.032,0.036,-0.061,-4.289,-0.079,-4.75,-0.082,-4.84,2014-01-16,software_and_services
