ticker_x,ticker_y,trade_date,adf_pass_rate,adf_pass_rate_recent,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
AZPN,GIB,2019-11-15,0.549,0.5,3.275,0.388,27.025,4.116,4.354,0.509,0.715,-0.033,0.046,0.065,0.061,0.002,0.036,-0.03,0.009,0.004,0.042,-0.004,3.47,0.03,1.828,0.069,-0.084,2014-12-01,software_and_services
BB,DOX,2019-11-15,0.686,0.0,2.702,0.67,52.193,4.116,4.354,0.509,1.407,0.006,0.002,-0.077,0.058,-0.082,-0.053,-0.01,0.113,-0.097,-0.016,-0.043,3.56,-0.07,4.116,-0.072,4.157,2014-12-01,software_and_services
BLKB,DOX,2019-11-15,0.627,0.0,2.885,0.207,40.728,4.116,4.354,0.572,0.747,-0.046,-0.027,0.066,0.057,0.074,-0.073,-0.139,0.029,-0.065,-0.026,-0.048,4.476,-0.073,5.333,-0.079,5.543,2014-12-01,software_and_services
CSGS,WU,2019-11-15,0.686,0.333,3.583,0.247,6.53,4.116,4.354,0.003,0.819,-0.005,0.027,-0.014,-0.014,0.017,-0.02,-0.022,-0.005,-0.024,-0.042,-0.038,5.123,-0.064,6.165,-0.017,4.273,2014-12-01,software_and_services
CTXS,PTC,2019-11-15,0.647,0.0,-3.279,1.255,-40.31,4.116,4.354,0.214,-1.533,0.018,-0.024,-0.004,-0.026,-0.024,0.007,-0.006,-0.001,0.039,0.01,0.004,-3.152,-0.001,-3.295,0.009,-3.008,2014-12-01,software_and_services
CVLT,WU,2019-11-15,0.549,0.0,4.344,-0.097,21.998,4.116,4.354,0.502,3.695,0.055,0.013,-0.052,-0.016,-0.034,-0.013,0.043,0.014,0.029,0.011,0.003,4.302,-0.039,4.858,0.007,4.255,2014-12-01,software_and_services
DLB,WU,2019-11-15,0.51,0.0,4.152,0.051,13.531,4.116,4.354,0.709,0.312,-0.039,-0.005,0.017,0.078,0.013,0.044,-0.05,0.023,0.072,-0.007,-0.01,4.321,-0.038,4.809,0.02,3.805,2014-12-01,software_and_services
EBIX,WU,2019-11-15,0.608,0.0,3.932,-0.043,18.961,4.116,4.354,0.583,3.738,0.003,0.034,-0.001,0.042,0.016,-0.016,-0.033,0.002,0.003,-0.033,-0.008,4.045,-0.048,4.639,0.01,3.782,2014-12-01,software_and_services
EGHT,FLT,2019-11-15,0.549,0.167,2.745,11.247,-1.833,4.116,4.354,0.013,1.053,0.009,0.05,0.031,0.06,0.022,0.084,-0.016,-0.027,0.013,-0.028,-0.062,4.091,-0.025,3.292,-0.046,3.75,2014-12-01,software_and_services
EGHT,GIB,2019-11-15,0.784,0.0,3.175,2.392,16.893,4.116,4.354,0.258,1.203,-0.097,-0.009,0.023,-0.038,0.035,0.001,-0.035,-0.03,-0.029,-0.01,-0.054,4.654,-0.04,4.268,0.038,2.138,2014-12-01,software_and_services
