ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,ABT,2017-11-29,0.765,2.761,0.1,32.24,4.438,0.947,2.592,0.008,0.026,-0.0,0.04,0.006,0.018,-0.015,-0.004,0.034,0.007,-0.012,2.931,-0.084,3.937,-0.05,3.459,2012-12-13,health_care_equipment_and_services
ABC,MODV,2017-11-29,0.549,2.623,0.02,44.656,4.438,0.353,0.813,0.087,0.039,-0.01,0.005,-0.078,-0.007,0.061,-0.01,0.039,0.135,-0.006,2.704,-0.087,3.713,-0.095,3.819,2012-12-13,health_care_equipment_and_services
ABMD,BSX,2017-11-29,0.765,-3.369,0.116,9.251,4.438,0.71,-1.491,-0.052,-0.009,0.026,0.031,0.056,-0.048,-0.039,-0.04,-0.006,-0.0,-0.008,-3.592,-0.056,-4.96,-0.176,-8.381,2012-12-13,health_care_equipment_and_services
ABMD,HSIC,2017-11-29,0.843,-2.991,0.089,52.548,4.438,0.693,-2.182,0.033,-0.05,-0.039,-0.075,0.024,0.036,0.045,0.036,0.005,0.014,0.004,-2.936,0.008,-2.877,-0.155,-5.27,2012-12-13,health_care_equipment_and_services
ABMD,MLAB,2017-11-29,0.804,-2.613,0.582,48.485,4.438,0.612,-0.226,-0.045,-0.027,-0.032,0.019,-0.006,-0.022,-0.0,0.019,0.037,0.02,-0.026,-3.207,-0.07,-4.193,-0.216,-7.509,2012-12-13,health_care_equipment_and_services
ABMD,OMI,2017-11-29,0.784,-3.32,-0.041,34.494,4.438,0.681,-1.784,-0.021,-0.05,-0.032,0.002,-0.012,0.049,0.023,0.025,-0.006,0.022,-0.014,-3.371,0.401,-1.879,0.135,-2.834,2012-12-13,health_care_equipment_and_services
ADUS,NEOG,2017-11-29,0.549,2.974,0.378,10.986,4.438,0.17,1.554,-0.038,0.075,-0.044,0.041,0.013,0.046,0.001,0.035,0.019,0.011,0.023,2.581,0.062,1.916,0.064,1.878,2012-12-13,health_care_equipment_and_services
ALGN,BAX,2017-11-29,0.706,-3.537,0.181,25.538,4.438,0.029,-2.368,0.017,-0.005,0.106,-0.018,-0.005,-0.002,-0.041,-0.013,0.047,-0.059,0.057,-1.454,0.055,-1.519,0.02,-2.8,2012-12-13,health_care_equipment_and_services
ALGN,ISRG,2017-11-29,0.588,-3.2,0.433,33.385,4.438,0.0,-0.699,-0.068,0.102,0.08,0.132,-0.046,-0.016,-0.04,-0.02,-0.049,-0.004,0.024,-1.84,0.045,-0.685,0.04,-0.955,2012-12-13,health_care_equipment_and_services
AMED,AMN,2017-11-29,0.961,3.246,0.626,5.791,4.438,0.748,0.583,0.054,-0.023,0.068,0.068,0.018,-0.003,-0.017,0.016,0.011,-0.02,0.009,3.027,-0.036,4.136,-0.031,4.015,2012-12-13,health_care_equipment_and_services
AMED,HSIC,2017-11-29,0.824,-3.269,0.491,40.326,4.438,0.878,-1.137,0.064,0.038,-0.063,-0.039,-0.015,0.023,0.011,0.045,-0.014,0.006,0.004,-3.176,0.054,-2.031,-0.076,-4.999,2012-12-13,health_care_equipment_and_services
AMED,NEOG,2017-11-29,0.608,2.86,0.244,10.713,4.438,0.741,2.156,0.015,0.007,-0.003,0.009,0.008,-0.034,0.001,0.063,-0.034,-0.019,0.008,2.728,0.043,2.145,0.06,1.856,2012-12-13,health_care_equipment_and_services
AMED,OMI,2017-11-29,0.725,-4.047,-0.031,31.544,4.438,0.831,-3.966,0.01,0.006,-0.032,-0.049,-0.024,-0.03,0.015,0.058,0.038,-0.013,0.006,-4.014,0.136,-3.329,-0.118,-4.668,2012-12-13,health_care_equipment_and_services
AMN,HSIC,2017-11-29,0.667,-3.583,0.541,43.895,4.438,0.762,-2.516,-0.061,-0.003,0.053,0.033,0.046,-0.009,-0.002,-0.089,-0.024,-0.024,0.006,-3.465,0.033,-2.986,-0.084,-5.117,2012-12-13,health_care_equipment_and_services
AMN,OMI,2017-11-29,0.784,-3.799,-0.064,32.341,4.438,0.853,-3.183,-0.014,0.051,0.038,0.08,0.144,0.01,-0.099,-0.031,-0.019,0.007,0.003,-3.787,0.165,-3.013,-0.116,-4.353,2012-12-13,health_care_equipment_and_services
ATEC,PODD,2017-11-29,0.588,3.258,-0.655,42.922,4.438,0.98,2.898,-0.074,0.025,0.022,0.014,0.047,-0.086,-0.052,-0.023,-0.133,-0.12,0.03,3.032,-0.084,3.891,-0.034,3.515,2012-12-13,health_care_equipment_and_services
ATRC,MOH,2017-11-29,0.51,2.945,1.751,26.401,4.438,0.936,0.446,-0.004,-0.008,0.003,0.021,-0.001,0.041,-0.016,-0.003,0.007,0.028,0.004,2.876,-0.161,5.707,0.039,2.27,2012-12-13,health_care_equipment_and_services
