ticker_x,ticker_y,trade_date,adf_pass_rate,adf_pass_rate_recent,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ACIW,DOX,2019-01-17,0.745,0.0,-2.651,0.982,34.954,3.584,3.337,0.545,-0.942,-0.014,-0.016,-0.015,-0.012,0.005,-0.009,0.013,-0.032,-0.025,0.022,-0.069,-4.829,-0.111,-6.134,-0.125,-6.58,2014-01-31,software_and_services
ACIW,IT,2019-01-17,0.804,1.0,-2.664,5.802,-14.761,3.584,3.337,0.075,-0.321,-0.009,-0.028,-0.016,-0.023,0.042,-0.097,-0.087,-0.023,-0.044,-0.037,-0.001,-2.714,-0.025,-3.563,-0.01,-3.018,2014-01-31,software_and_services
APPS,BB,2019-01-17,0.588,0.333,-2.858,3.073,5.087,3.584,3.337,0.625,-1.14,-0.013,0.013,-0.0,0.041,-0.047,-0.008,0.047,-0.006,-0.005,-0.0,-0.095,-3.859,-0.212,-5.079,-0.182,-4.765,2014-01-31,software_and_services
BB,MMS,2019-01-17,0.647,1.0,2.868,2.138,37.922,3.584,3.337,0.0,0.65,-0.025,0.01,-0.068,-0.055,0.045,-0.018,-0.048,0.019,-0.103,0.011,-0.021,3.321,0.016,2.523,0.015,2.552,2014-01-31,software_and_services
BLKB,GPN,2019-01-17,0.824,0.0,2.974,0.925,17.29,3.584,3.337,0.964,2.052,-0.012,0.007,0.028,0.006,0.006,-0.037,-0.02,0.005,-0.0,0.062,-0.026,3.413,-0.064,4.061,-0.098,4.641,2014-01-31,software_and_services
BLKB,V,2019-01-17,0.667,0.0,2.667,1.027,18.757,3.584,3.337,0.657,0.754,-0.009,0.046,0.023,0.007,0.017,-0.045,0.005,0.006,-0.017,-0.026,-0.001,2.685,-0.034,3.089,-0.064,3.453,2014-01-31,software_and_services
BR,CRM,2019-01-17,0.588,0.333,4.594,1.186,7.074,3.584,3.337,0.222,1.433,-0.058,-0.046,-0.039,-0.065,0.014,0.001,-0.021,-0.004,0.035,0.03,-0.042,6.304,-0.043,6.333,0.033,3.251,2014-01-31,software_and_services
BR,GIB,2019-01-17,0.843,0.833,3.729,0.299,29.344,3.584,3.337,0.386,0.341,0.057,0.003,0.06,0.031,-0.008,-0.011,-0.016,-0.038,-0.002,-0.03,-0.016,4.474,-0.017,4.507,-0.021,4.724,2014-01-31,software_and_services
CRM,WNS,2019-01-17,0.549,0.0,-2.917,0.317,5.358,3.584,3.337,0.643,-0.651,0.027,-0.034,0.027,0.008,0.345,-0.005,-0.047,-0.047,0.046,0.003,0.053,-1.008,0.035,-1.673,0.098,0.603,2014-01-31,software_and_services
DOX,EEFT,2019-01-17,0.549,0.0,2.718,1.609,-5.631,3.584,3.337,0.428,1.68,0.071,-0.002,-0.021,-0.013,-0.034,0.037,0.017,0.002,0.014,-0.051,-0.123,5.276,-0.175,6.352,-0.224,7.366,2014-01-31,software_and_services
DOX,GPN,2019-01-17,0.863,0.833,2.891,4.071,-141.088,3.584,3.337,0.185,0.673,0.007,-0.004,0.019,-0.039,-0.019,0.038,0.022,-0.054,0.031,0.051,-0.075,5.808,-0.119,7.506,-0.139,8.284,2014-01-31,software_and_services
DOX,SNPS,2019-01-17,0.549,1.0,2.635,3.569,-129.727,3.584,3.337,0.018,0.527,-0.002,-0.003,0.016,-0.015,0.115,-0.034,-0.066,-0.055,0.029,0.02,-0.089,6.182,-0.133,7.932,-0.157,8.929,2014-01-31,software_and_services
EBIX,FICO,2019-01-17,0.647,0.0,2.935,1.808,42.47,3.584,3.337,0.933,0.206,-0.017,0.025,0.016,0.005,-0.016,0.057,0.004,-0.037,0.041,-0.012,-0.071,3.734,-0.181,4.98,-0.237,5.616,2014-01-31,software_and_services
EBIX,GIB,2019-01-17,0.627,0.0,2.889,0.333,33.251,3.584,3.337,0.816,2.643,0.057,-0.025,0.049,-0.031,-0.011,-0.035,-0.016,0.151,-0.027,-0.06,0.008,2.761,-0.033,3.401,-0.088,4.251,2014-01-31,software_and_services
EBIX,PAYX,2019-01-17,0.784,0.0,2.673,0.36,31.805,3.584,3.337,0.963,2.261,0.007,-0.006,-0.002,-0.012,-0.036,0.004,-0.008,0.038,-0.027,0.012,-0.05,3.575,-0.123,4.885,-0.171,5.747,2014-01-31,software_and_services
ENV,TDC,2019-01-17,0.765,1.0,3.076,0.458,12.883,3.584,3.337,0.374,0.321,0.048,-0.038,-0.03,-0.074,0.004,-0.053,-0.027,0.04,0.002,0.089,-0.015,3.558,0.055,1.27,0.091,0.111,2014-01-31,software_and_services
G,VRSN,2019-01-17,0.51,0.0,2.566,6.379,-64.293,3.584,3.337,0.055,2.296,0.003,0.008,0.051,0.001,0.0,-0.036,0.023,-0.059,-0.015,0.022,0.04,1.847,0.043,1.792,0.063,1.428,2014-01-31,software_and_services
ABG,GME,2019-01-17,1.0,1.0,3.317,0.001,2.517,3.228,3.482,0.65,0.387,-0.002,-0.038,-0.03,-0.015,-0.005,-0.011,0.003,0.012,-0.027,-0.028,0.284,-0.697,0.229,0.08,0.354,-1.684,2014-01-31,retailing
BBBY,GME,2019-01-17,0.569,1.0,3.555,0.003,2.511,3.228,3.482,0.892,0.421,0.021,0.004,-0.004,0.013,-0.04,-0.029,-0.008,-0.042,0.005,0.026,0.29,-0.515,0.233,0.287,0.36,-1.495,2014-01-31,retailing
BKE,GME,2019-01-17,0.51,1.0,3.372,0.005,2.526,3.228,3.482,0.741,0.394,0.121,-0.081,0.021,-0.045,-0.041,0.057,0.056,-0.063,0.005,0.021,0.287,-0.65,0.232,0.111,0.356,-1.631,2014-01-31,retailing
GME,SIG,2019-01-17,0.608,0.667,-2.959,16.272,18.458,3.228,3.482,0.133,-2.344,0.013,-0.017,-0.027,-0.031,0.016,0.047,-0.058,0.067,0.054,0.057,0.213,-1.993,0.188,-2.109,0.233,-1.906,2014-01-31,retailing
PAG,SAH,2019-01-17,0.961,1.0,-2.836,0.287,6.794,3.228,3.482,0.23,-0.629,-0.068,-0.034,-0.005,-0.079,-0.016,0.012,-0.019,-0.008,-0.03,-0.021,-0.001,-2.859,-0.029,-3.409,0.002,-2.8,2014-01-31,retailing
BP,TTE,2019-01-17,0.686,0.667,-2.604,1.057,21.139,3.317,2.898,0.0,-0.329,-0.031,-0.017,-0.001,-0.02,0.027,0.041,-0.028,-0.013,0.028,0.013,0.001,-2.576,-0.004,-2.839,-0.016,-3.491,2014-01-31,energy
CCJ,NVGS,2019-01-17,0.941,0.667,-2.578,1.334,-2.197,3.317,2.898,0.281,-0.569,0.05,-0.002,0.021,-0.031,0.003,-0.016,-0.04,0.016,-0.021,0.072,0.077,-1.447,0.071,-1.535,0.079,-1.405,2014-01-31,energy
CLR,PBR,2019-01-17,0.765,0.5,2.56,0.135,1.649,3.317,2.898,0.875,0.976,0.055,-0.018,0.029,0.039,-0.016,0.013,-0.034,-0.023,-0.001,0.01,-0.081,3.497,-0.12,3.949,0.009,2.458,2014-01-31,energy
CLR,SLB,2019-01-17,0.627,0.0,-2.9,0.046,57.678,3.317,2.898,0.174,-2.872,0.044,0.009,0.014,0.003,0.009,-0.02,-0.009,-0.017,-0.004,0.01,0.111,-2.345,0.083,-2.487,0.105,-2.374,2014-01-31,energy
CNQ,PBR,2019-01-17,0.765,0.0,2.533,0.386,-1.339,3.317,2.898,0.819,1.103,0.016,-0.093,-0.032,-0.081,-0.007,-0.027,-0.021,0.031,-0.031,-0.032,-0.041,2.98,-0.069,3.278,0.057,1.916,2014-01-31,energy
CNX,PBR,2019-01-17,0.588,1.0,2.617,0.633,-0.805,3.317,2.898,0.128,0.772,-0.056,0.082,0.011,0.037,0.104,-0.022,-0.018,-0.018,0.003,-0.052,-0.144,4.372,-0.158,4.533,-0.101,3.846,2014-01-31,energy
COP,NOV,2019-01-17,0.647,0.0,-2.778,0.291,21.592,3.317,2.898,0.0,-1.277,0.068,0.013,-0.017,0.037,0.013,-0.02,-0.031,0.021,-0.02,-0.011,-0.027,-3.141,-0.033,-3.223,-0.054,-3.498,2014-01-31,energy
COP,TTE,2019-01-17,0.627,0.0,-3.018,0.481,29.439,3.317,2.898,0.458,-1.463,-0.08,-0.049,0.063,0.046,0.086,-0.031,-0.066,0.031,-0.106,-0.008,0.017,-2.351,0.046,-1.22,0.04,-1.438,2014-01-31,energy
DHT,OII,2019-01-17,0.569,0.833,-2.551,5.687,6.787,3.317,2.898,0.197,-1.137,0.013,-0.008,-0.033,-0.073,0.013,-0.065,-0.038,0.061,0.017,-0.023,0.032,-2.266,-0.007,-2.616,-0.029,-2.807,2014-01-31,energy
DK,GPRK,2019-01-17,0.569,1.0,2.566,0.451,-2.569,3.317,2.898,0.0,0.468,0.004,0.031,-0.024,0.002,-0.001,0.005,-0.004,0.067,0.012,0.02,-0.086,3.899,-0.044,3.258,0.003,2.515,2014-01-31,energy
EOG,PBR,2019-01-17,0.804,0.5,2.659,0.129,-2.846,3.317,2.898,0.439,0.762,0.009,-0.069,-0.024,-0.047,-0.03,0.054,-0.021,0.031,-0.006,-0.084,-0.043,3.34,-0.09,4.073,0.018,2.381,2014-01-31,energy
HP,PBR,2019-01-17,0.765,1.0,2.657,0.194,-1.277,3.317,2.898,0.655,1.601,-0.048,-0.044,0.016,-0.028,-0.167,0.03,0.137,-0.019,-0.062,-0.014,-0.012,2.795,-0.057,3.299,0.068,1.9,2014-01-31,energy
HP,SLB,2019-01-17,0.804,0.0,-2.847,0.409,40.458,3.317,2.898,0.208,-0.134,0.041,0.015,0.033,-0.018,-0.024,0.036,0.016,-0.001,0.004,-0.046,0.045,-2.513,0.035,-2.589,0.018,-2.712,2014-01-31,energy
NBR,SLB,2019-01-17,0.863,0.0,-2.705,0.044,42.252,3.317,2.898,0.765,-1.86,-0.004,-0.007,0.047,0.019,-0.001,0.106,0.059,-0.059,-0.052,-0.03,0.081,-1.873,0.038,-2.316,0.052,-2.164,2014-01-31,energy
OVV,PBR-A,2019-01-17,0.882,0.0,2.898,0.102,2.254,3.317,2.898,0.792,2.084,-0.015,-0.017,-0.016,-0.017,-0.007,-0.007,0.02,-0.013,-0.021,-0.054,-0.071,3.456,-0.094,3.631,-0.02,3.056,2014-01-31,energy
