ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
LAZ,NTRS,2022-04-13,0.647,2.749,1.959,24.198,4.76,0.00064324995,1.2600677,0.036,1.965,0.088,0.835,0.074,1.139,2017-04-28,diversified_financials
LAZ,PRFZ,2022-04-13,0.529,3.252,4.039,-0.527,4.76,0.08611076,1.9282588,0.035,2.409,0.056,1.924,0.071,1.552,2017-04-28,diversified_financials
LAZ,PSEC,2022-04-13,0.529,3.128,0.184,-0.983,4.76,0.1829992,2.2213826,0.019,2.832,0.052,2.299,0.056,2.234,2017-04-28,diversified_financials
LAZ,SCHW,2022-04-13,0.588,3.067,2.088,-21.201,4.76,0.038603768,2.824708,0.095,1.757,0.12,1.406,0.135,1.199,2017-04-28,diversified_financials
LPLA,MORN,2022-04-13,0.569,-3.536,1.457,40.726,4.76,0.8518922,-0.81013656,0.036,-2.519,-0.022,-4.16,0.019,-3.002,2017-04-28,diversified_financials
LPLA,NFJ,2022-04-13,0.941,-4.429,0.048,6.388,4.76,0.23753543,-2.033032,-0.001,-4.451,-0.049,-6.193,-0.001,-4.461,2017-04-28,diversified_financials
LPLA,OCSL,2022-04-13,0.647,-4.138,0.032,1.503,4.76,0.56539875,-0.13006075,0.06,-0.917,-0.006,-4.467,0.035,-2.258,2017-04-28,diversified_financials
LPLA,OMF,2022-04-13,0.765,-4.396,0.313,0.412,4.76,0.18087025,-4.257325,0.081,-2.561,-0.004,-4.481,0.045,-3.377,2017-04-28,diversified_financials
LPLA,PFF,2022-04-13,0.863,-3.871,0.052,30.017,4.76,0.0062380536,-0.99441636,0.001,-3.837,-0.037,-4.975,-0.0,-3.876,2017-04-28,diversified_financials
LPLA,PKW,2022-04-13,0.941,-5.4,0.376,30.675,4.76,0.3340717,-3.392286,0.041,-3.502,-0.02,-6.321,0.004,-5.211,2017-04-28,diversified_financials
LPLA,PTY,2022-04-13,0.627,-2.886,0.035,11.154,4.76,0.23558806,-1.6267421,0.029,-2.418,-0.013,-3.094,-0.042,-3.548,2017-04-28,diversified_financials
LPLA,QYLD,2022-04-13,0.588,-2.709,0.043,13.297,4.76,0.37908563,-0.99381316,-0.014,-3.284,-0.071,-5.564,-0.029,-3.853,2017-04-28,diversified_financials
LPLA,RDVY,2022-04-13,0.549,-6.034,0.212,14.646,4.76,0.17687556,-4.5912914,0.055,-3.503,-0.008,-6.382,0.016,-5.294,2017-04-28,diversified_financials
LPLA,STEW,2022-04-13,0.569,-3.036,0.045,6.218,4.76,0.37488595,-0.5361899,0.014,-2.351,-0.052,-5.578,-0.026,-4.299,2017-04-28,diversified_financials
LPLA,TSLX,2022-04-13,0.961,-3.388,0.089,6.995,4.76,0.6290327,-0.07622311,0.032,-1.846,-0.046,-5.606,-0.029,-4.792,2017-04-28,diversified_financials
LPLA,TY,2022-04-13,0.863,-4.385,0.098,16.618,4.76,0.44614962,-2.970194,0.033,-3.375,-0.03,-5.292,0.002,-4.33,2017-04-28,diversified_financials
LPLA,USA,2022-04-13,0.784,-3.998,0.034,2.301,4.76,0.4995829,-1.6092936,0.016,-3.482,-0.043,-5.368,0.016,-3.504,2017-04-28,diversified_financials
LPLA,VONV,2022-04-13,0.824,-4.484,0.229,33.364,4.76,0.6957531,-0.74461263,0.032,-2.705,-0.029,-6.116,-0.005,-4.792,2017-04-28,diversified_financials
LPLA,VOYA,2022-04-13,0.608,-2.629,0.192,35.29,4.76,0.19723116,-0.48990485,0.025,-1.836,-0.017,-3.167,-0.023,-3.354,2017-04-28,diversified_financials
MBB,SHY,2022-04-13,0.922,4.649,0.54,27.75,4.76,0.072190344,2.5905674,-0.004,6.053,-0.011,8.369,-0.001,4.86,2017-04-28,diversified_financials
MBB,VGSH,2022-04-13,0.882,4.582,0.394,18.664,4.76,0.11436661,4.2407904,-0.004,5.928,-0.011,8.144,-0.001,4.864,2017-04-28,diversified_financials
MC,PSEC,2022-04-13,0.667,2.685,0.103,1.607,4.76,0.00022163046,1.550127,0.021,2.28,0.031,2.092,0.034,2.05,2017-04-28,diversified_financials
MC,RJF,2022-04-13,0.647,3.923,1.367,14.513,4.76,0.114642054,0.26972824,0.074,2.504,0.09,2.19,0.089,2.21,2017-04-28,diversified_financials
