ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,ABT,2017-07-10,0.941,2.537,0.215,21.396,3.632,0.86,0.566,0.025,-0.015,-0.03,0.023,-0.003,-0.022,0.015,0.043,-0.01,0.017,-0.052,4.204,-0.082,5.191,-0.141,7.078,2012-07-20,health_care_equipment_and_services
ABC,CUTR,2017-07-10,0.549,3.428,0.103,5.543,3.632,0.911,1.063,0.06,0.039,-0.039,0.072,0.054,-0.023,-0.008,-0.012,0.068,0.054,-0.184,5.215,-0.36,6.921,-0.506,8.339,2012-07-20,health_care_equipment_and_services
ABMD,ATRI,2017-07-10,0.608,4.745,1.848,225.197,3.632,0.666,3.25,-0.008,0.005,-0.026,0.02,0.011,-0.026,-0.0,0.052,0.005,0.032,0.064,3.02,0.023,4.132,0.068,2.891,2012-07-20,health_care_equipment_and_services
ABMD,IART,2017-07-10,0.608,2.524,0.199,17.573,3.632,0.797,1.069,0.036,0.001,-0.01,0.035,-0.042,0.08,0.002,-0.082,0.018,0.018,0.077,0.441,0.047,1.238,0.103,-0.28,2012-07-20,health_care_equipment_and_services
ABT,CUTR,2017-07-10,0.549,2.781,0.686,-12.722,3.632,0.343,2.342,0.044,-0.023,-0.016,-0.032,-0.037,0.022,0.05,0.005,0.039,0.066,-0.084,4.264,-0.168,5.752,-0.216,6.603,2012-07-20,health_care_equipment_and_services
ACHC,ANTM,2017-07-10,0.549,2.718,-0.088,136.363,3.632,0.677,2.484,0.038,0.034,0.026,0.064,0.008,-0.008,-0.097,-0.044,-0.113,0.062,-0.001,2.723,-0.005,2.766,-0.008,2.792,2012-07-20,health_care_equipment_and_services
ACHC,CUTR,2017-07-10,0.569,3.381,-0.099,19.521,3.632,0.851,0.131,-0.075,0.012,-0.003,-0.013,0.004,-0.0,-0.015,-0.078,-0.055,0.084,-0.258,4.946,-0.528,6.585,-0.752,7.944,2012-07-20,health_care_equipment_and_services
AMN,LH,2017-07-10,0.706,2.584,1.255,85.548,3.632,0.717,0.968,-0.029,-0.001,0.032,0.009,-0.04,0.022,0.031,-0.061,-0.004,0.08,-0.027,3.318,-0.035,3.53,0.047,1.31,2012-07-20,health_care_equipment_and_services
ATEC,QDEL,2017-07-10,0.824,2.968,0.318,19.323,3.632,0.971,1.189,-0.018,-0.004,0.017,0.04,-0.019,-0.027,0.03,0.059,0.122,0.123,-0.173,4.887,-0.323,6.54,-0.541,8.946,2012-07-20,health_care_equipment_and_services
ATRI,BDX,2017-07-10,0.902,-3.016,0.263,37.208,3.632,0.191,-0.576,-0.004,-0.013,-0.003,-0.032,0.017,-0.041,-0.025,0.064,-0.006,-0.035,0.021,-2.167,0.005,-2.804,0.003,-2.886,2012-07-20,health_care_equipment_and_services
