ticker_x,ticker_y,trade_date,adf_pass_rate,adf_pass_rate_recent,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ACIW,ADP,2022-01-07,0.765,0.0,2.625,3.047,68.372,3.87,3.387,0.877,2.347,0.013,0.03,-0.004,0.074,-0.035,0.053,0.081,-0.122,0.029,0.081,0.086,1.466,0.069,1.698,-0.062,3.459,2017-01-24,software_and_services
ACIW,PAYX,2022-01-07,0.725,0.0,2.512,1.7,29.181,3.87,3.387,0.967,2.216,-0.013,-0.019,-0.029,-0.02,0.044,-0.039,-0.069,0.061,-0.04,-0.062,0.035,2.102,0.014,2.349,-0.128,4.011,2017-01-24,software_and_services
ACN,LPSN,2022-01-07,0.588,0.0,-2.863,0.139,11.665,3.87,3.387,0.001,-1.838,0.004,0.035,0.013,0.061,-0.02,0.019,0.006,-0.008,0.043,0.048,-0.016,-2.988,0.001,-2.853,-0.031,-3.108,2017-01-24,software_and_services
ACN,MANH,2022-01-07,0.745,0.667,-3.391,0.528,-22.531,3.87,3.387,0.236,-0.904,-0.016,-0.009,0.007,0.026,0.001,-0.001,-0.022,0.004,-0.023,0.039,0.002,-3.326,0.072,-0.926,0.033,-2.258,2017-01-24,software_and_services
ACN,OTEX,2022-01-07,0.765,0.667,-2.616,0.071,26.558,3.87,3.387,0.151,-0.367,-0.034,-0.041,-0.031,0.0,0.01,0.041,0.045,-0.09,-0.003,0.071,0.002,-2.55,0.012,-2.27,-0.02,-3.174,2017-01-24,software_and_services
ADP,PRGS,2022-01-07,0.824,1.0,-2.547,0.145,16.057,3.87,3.387,0.082,-0.072,0.039,-0.008,-0.036,-0.023,-0.002,0.011,-0.004,-0.035,-0.0,0.018,0.051,-0.688,0.03,-1.46,0.002,-2.468,2017-01-24,software_and_services
ADSK,SSNC,2022-01-07,0.608,0.333,3.025,0.141,30.849,3.87,3.387,0.293,1.215,-0.044,-0.023,-0.026,-0.019,-0.029,0.031,0.028,-0.027,0.028,0.045,-0.006,3.175,-0.005,3.146,0.012,2.737,2017-01-24,software_and_services
AKAM,FORTY,2022-01-07,0.588,0.167,2.703,1.278,-50.927,3.87,3.387,0.005,0.877,0.008,-0.003,-0.066,0.024,0.003,0.018,0.008,-0.061,0.023,0.058,0.055,1.394,0.063,1.203,0.116,-0.085,2017-01-24,software_and_services
ANSS,FORTY,2022-01-07,0.529,0.5,3.357,0.281,-6.838,3.87,3.387,0.627,0.612,-0.011,0.018,0.084,0.033,-0.009,0.009,0.032,0.03,0.004,0.045,0.006,3.179,0.005,3.197,0.017,2.842,2017-01-24,software_and_services
APPS,EXLS,2022-01-07,0.608,0.0,2.703,0.655,60.168,3.87,3.387,0.657,1.901,0.015,0.023,-0.013,0.044,-0.036,0.024,0.048,0.03,0.034,0.044,0.033,2.315,-0.008,2.792,-0.12,4.095,2017-01-24,software_and_services
BB,WIT,2022-01-07,0.529,1.0,2.549,0.551,1.135,3.87,3.387,0.379,0.721,-0.045,-0.038,-0.041,-0.052,-0.036,0.019,0.04,-0.025,0.021,0.037,0.081,1.696,0.049,2.031,0.056,1.967,2017-01-24,software_and_services
CRM,SSNC,2022-01-07,0.804,0.833,2.828,0.176,27.062,3.87,3.387,0.479,1.105,0.023,-0.048,-0.094,-0.046,0.009,-0.022,-0.032,0.021,0.04,0.028,0.003,2.771,0.026,2.246,0.036,2.033,2017-01-24,software_and_services
DSGX,LPSN,2022-01-07,0.647,0.0,-2.749,0.661,9.063,3.87,3.387,0.531,-1.697,0.022,0.017,-0.003,0.007,-0.023,0.002,0.007,-0.038,0.024,0.022,-0.028,-2.99,-0.087,-3.494,-0.026,-2.97,2017-01-24,software_and_services
EGHT,EXLS,2022-01-07,0.549,0.0,2.642,1.327,51.313,3.87,3.387,0.877,2.197,0.242,0.048,-0.081,-0.115,0.236,-0.076,-0.173,0.141,-0.099,-0.153,0.048,2.314,0.005,2.607,-0.115,3.425,2017-01-24,software_and_services
EGHT,SSNC,2022-01-07,0.569,0.5,2.669,0.673,47.672,3.87,3.387,0.651,1.952,-0.015,0.055,0.038,0.002,0.024,-0.068,-0.093,0.052,-0.082,-0.069,0.011,2.554,0.048,2.165,0.07,1.943,2017-01-24,software_and_services
EXLS,MANH,2022-01-07,0.647,0.333,-2.594,1.374,-10.687,3.87,3.387,0.21,-0.986,-0.047,-0.078,-0.009,-0.05,0.036,-0.028,-0.034,-0.015,-0.051,-0.015,0.003,-2.51,0.01,-2.339,-0.064,-4.197,2017-01-24,software_and_services
G,OTEX,2022-01-07,0.863,0.667,-2.985,0.791,11.258,3.87,3.387,0.54,-0.546,0.005,-0.022,0.004,-0.005,0.037,-0.029,-0.043,-0.004,-0.045,-0.014,0.008,-2.644,0.059,-0.604,0.036,-1.509,2017-01-24,software_and_services
LPSN,NICE,2022-01-07,0.608,0.167,3.318,3.259,57.674,3.87,3.387,0.917,2.546,0.008,0.021,-0.038,0.009,0.016,0.0,-0.005,-0.035,0.008,0.007,0.016,3.14,0.091,2.31,0.087,2.351,2017-01-24,software_and_services
LPSN,ORCL,2022-01-07,0.608,0.0,2.58,0.617,35.302,3.87,3.387,0.886,2.232,0.023,0.013,-0.002,0.015,0.014,-0.038,-0.032,-0.025,0.024,0.021,0.035,2.279,0.053,2.12,0.021,2.397,2017-01-24,software_and_services
LPSN,SNPS,2022-01-07,0.549,0.0,3.381,3.909,29.191,3.87,3.387,0.777,0.329,0.025,-0.006,0.03,0.02,-0.041,-0.045,0.051,-0.034,-0.054,0.007,0.006,3.332,-0.006,3.438,-0.036,3.703,2017-01-24,software_and_services
LPSN,SSNC,2022-01-07,0.588,0.167,3.405,0.451,42.726,3.87,3.387,0.796,2.371,0.029,0.018,0.004,-0.019,-0.049,0.03,0.051,0.008,0.002,0.03,0.001,3.396,0.046,2.814,0.069,2.504,2017-01-24,software_and_services
LPSN,WNS,2022-01-07,0.745,0.0,3.309,0.579,40.538,3.87,3.387,0.764,1.947,0.024,0.027,0.017,0.022,0.003,0.026,-0.009,-0.029,0.029,0.02,-0.023,3.598,-0.011,3.44,-0.03,3.679,2017-01-24,software_and_services
NICE,PEGA,2022-01-07,0.549,0.167,-3.159,0.427,14.744,3.87,3.387,0.268,-1.109,0.027,0.026,0.006,0.017,0.066,-0.024,-0.037,0.003,-0.036,0.005,0.039,-2.376,0.027,-2.617,-0.007,-3.301,2017-01-24,software_and_services
OTEX,WNS,2022-01-07,0.902,0.667,3.055,2.028,-21.375,3.87,3.387,0.343,0.557,0.038,0.031,0.016,0.011,0.021,-0.037,0.008,0.011,-0.045,-0.012,-0.016,3.632,-0.018,3.686,-0.036,4.336,2017-01-24,software_and_services
PEGA,SNPS,2022-01-07,0.627,0.0,3.476,2.427,-42.972,3.87,3.387,0.916,3.441,-0.011,-0.013,-0.003,-0.021,-0.012,0.009,0.016,-0.006,0.01,0.018,0.034,2.971,-0.036,4.009,-0.09,4.819,2017-01-24,software_and_services
AEO,GPC,2022-01-07,0.529,0.0,3.284,2.027,61.319,4.068,3.631,0.314,1.564,0.01,0.035,0.013,0.016,-0.035,0.014,0.03,-0.003,0.016,0.024,0.043,2.4,0.022,2.834,-0.049,4.3,2017-01-24,retailing
AN,PAG,2022-01-07,0.627,0.5,2.979,0.729,9.788,4.068,3.631,0.464,0.706,-0.067,-0.048,-0.013,-0.012,-0.005,0.018,0.032,-0.055,-0.004,-0.004,-0.002,3.065,0.022,2.08,0.03,1.734,2017-01-24,retailing
ANF,GPC,2022-01-07,0.745,1.0,3.217,1.505,65.05,4.068,3.631,0.421,0.631,0.04,0.03,-0.012,-0.03,-0.143,0.015,0.09,-0.018,0.018,0.015,0.105,0.442,0.047,1.987,0.027,2.503,2017-01-24,retailing
ANF,PAG,2022-01-07,0.588,0.0,2.909,1.808,15.83,4.068,3.631,0.342,1.54,0.012,0.01,0.003,-0.004,0.014,-0.007,-0.016,-0.013,-0.011,-0.002,0.105,1.203,-0.012,3.107,0.069,1.788,2017-01-24,retailing
BBBY,PAG,2022-01-07,0.608,0.0,3.207,1.92,25.376,4.068,3.631,0.788,2.558,-0.012,0.026,0.002,0.04,-0.057,0.042,0.061,-0.006,0.07,0.055,0.073,2.629,0.147,2.048,0.177,1.812,2017-01-24,retailing
BBY,LOW,2022-01-07,0.608,0.0,3.68,1.929,-22.779,4.068,3.631,0.761,2.856,0.003,-0.005,-0.039,0.028,0.028,-0.009,-0.028,0.029,-0.011,0.017,0.029,3.089,0.042,2.807,0.063,2.386,2017-01-24,retailing
FL,GPC,2022-01-07,0.824,0.0,3.362,1.223,47.525,4.068,3.631,0.13,2.601,0.021,0.018,-0.007,-0.008,0.013,0.008,-0.027,-0.062,-0.005,0.043,0.063,2.353,0.01,3.2,-0.053,4.212,2017-01-24,retailing
FLWS,TSCO,2022-01-07,0.667,0.5,3.597,5.552,8.64,4.068,3.631,0.878,1.815,0.029,-0.041,-0.047,0.02,0.019,0.085,-0.01,-0.015,-0.005,0.006,-0.106,5.222,-0.155,5.981,-0.194,6.58,2017-01-24,retailing
GME,PAG,2022-01-07,0.627,1.0,2.825,0.935,43.087,4.068,3.631,0.624,0.282,0.044,0.017,0.026,-0.051,-0.043,0.075,0.146,-0.076,0.091,0.102,-0.012,2.981,-0.027,3.176,0.099,1.513,2017-01-24,retailing
LOW,WSM,2022-01-07,0.529,0.0,-3.631,0.98,-42.877,4.068,3.631,0.082,-1.57,-0.066,0.019,0.026,0.022,0.01,0.001,-0.018,0.034,0.053,-0.011,0.081,-1.483,0.056,-2.156,0.1,-0.971,2017-01-24,retailing
PAG,WSM,2022-01-07,0.627,0.833,-3.481,2.076,-19.436,4.068,3.631,0.299,-0.379,-0.019,-0.006,0.023,0.021,0.011,-0.01,0.002,-0.029,0.01,0.051,0.061,-1.953,0.022,-2.93,0.062,-1.942,2017-01-24,retailing
APA,CLB,2022-01-07,0.725,0.333,-2.757,1.695,0.139,3.032,3.243,0.461,-1.781,0.076,0.009,-0.041,0.057,-0.013,0.013,0.012,0.012,0.037,-0.0,-0.081,-3.466,-0.135,-3.944,-0.201,-4.524,2017-01-24,energy
APA,EC,2022-01-07,0.569,1.0,-2.598,0.266,6.345,3.032,3.243,0.409,-0.324,-0.001,0.013,0.031,0.007,-0.016,-0.007,0.039,-0.021,-0.009,-0.017,0.013,-2.358,0.047,-1.739,0.071,-1.304,2017-01-24,energy
APA,HP,2022-01-07,0.588,0.667,-3.016,1.276,3.347,3.032,3.243,0.446,-1.278,-0.03,0.026,0.053,0.006,-0.016,-0.01,0.008,0.053,0.006,-0.103,0.009,-2.885,0.03,-2.569,0.01,-2.867,2017-01-24,energy
APA,NBR,2022-01-07,0.667,1.0,-2.534,5.624,-24.613,3.032,3.243,0.171,-0.31,0.07,0.069,0.049,0.034,-0.035,-0.001,0.038,-0.015,-0.026,0.024,-0.001,-2.55,0.039,-1.972,-0.027,-2.928,2017-01-24,energy
APA,RIG,2022-01-07,0.804,1.0,-2.892,0.274,-1.556,3.032,3.243,0.746,-1.015,0.017,-0.009,0.007,-0.012,-0.016,0.013,-0.0,0.038,0.024,-0.013,-0.066,-3.577,-0.106,-3.986,-0.222,-5.193,2017-01-24,energy
BKR,CNQ,2022-01-07,0.529,0.333,2.775,1.548,-6.364,3.032,3.243,0.018,1.84,-0.016,-0.038,-0.049,-0.047,-0.018,-0.01,0.025,-0.085,0.044,0.025,-0.012,3.002,0.045,1.955,0.012,2.547,2017-01-24,energy
BKR,DVN,2022-01-07,0.529,0.0,3.324,1.865,-16.845,3.032,3.243,0.585,2.394,0.006,-0.034,-0.056,-0.093,0.221,-0.085,-0.218,0.083,-0.08,-0.099,0.005,3.23,0.094,1.401,0.081,1.674,2017-01-24,energy
BP,CVX,2022-01-07,0.549,0.0,2.869,1.748,48.424,3.032,3.243,0.959,2.124,0.008,0.017,-0.014,0.008,0.041,0.007,-0.045,0.016,0.003,0.016,-0.033,3.569,-0.272,8.576,-0.253,8.168,2017-01-24,energy
CLB,OVV,2022-01-07,0.627,0.0,2.664,0.381,7.397,3.032,3.243,0.978,0.162,0.07,0.067,0.017,0.007,0.017,-0.005,0.008,-0.032,-0.065,-0.01,-0.028,2.842,-0.145,3.578,-0.254,4.268,2017-01-24,energy
CLR,ERF,2022-01-07,0.824,0.167,2.571,0.197,-0.33,3.032,3.243,0.845,0.619,-0.002,0.004,0.001,0.004,-0.008,-0.007,-0.006,-0.007,0.013,0.007,0.041,1.262,-0.023,3.321,0.023,1.828,2017-01-24,energy
CPE,MUR,2022-01-07,0.51,1.0,2.834,0.241,9.758,3.032,3.243,0.862,1.072,-0.04,-0.005,-0.025,0.006,0.009,-0.014,-0.005,0.004,0.017,0.011,-0.027,3.232,-0.102,4.32,-0.212,5.925,2017-01-24,energy
CVE,EC,2022-01-07,0.51,1.0,-2.733,0.612,7.165,3.032,3.243,0.637,-1.268,0.009,0.014,0.012,0.011,-0.043,0.026,0.015,-0.068,-0.016,0.061,0.036,-2.264,0.116,-1.209,0.13,-1.03,2017-01-24,energy
CVE,PBA,2022-01-07,0.569,0.5,-3.263,1.618,14.676,3.032,3.243,0.588,-0.786,-0.032,0.008,0.043,0.023,-0.003,0.027,0.019,0.004,0.015,-0.034,-0.002,-3.31,0.039,-2.26,0.029,-2.528,2017-01-24,energy
CVI,CVX,2022-01-07,0.588,0.0,2.851,0.811,76.193,3.032,3.243,0.958,2.155,0.013,-0.007,-0.029,-0.022,-0.011,0.012,-0.016,-0.009,-0.059,0.054,-0.076,3.824,-0.317,6.89,-0.293,6.591,2017-01-24,energy
CVX,DK,2022-01-07,0.549,0.5,-2.816,0.383,-13.529,3.032,3.243,0.001,-2.46,-0.036,-0.005,0.01,0.032,0.019,-0.006,-0.025,0.091,-0.006,0.015,-0.056,-3.403,-0.206,-4.991,-0.191,-4.83,2017-01-24,energy
CVX,PBA,2022-01-07,0.804,0.5,-2.532,0.299,-1.632,3.032,3.243,0.701,-0.267,0.019,-0.008,-0.057,-0.021,0.027,-0.015,-0.02,0.012,-0.051,-0.075,-0.035,-3.682,-0.125,-6.621,-0.09,-5.495,2017-01-24,energy
DINO,MUR,2022-01-07,0.667,0.0,2.765,0.381,4.576,3.032,3.243,0.705,2.234,-0.06,0.013,0.033,0.026,-0.027,-0.011,-0.002,0.002,-0.008,0.044,0.011,2.664,-0.132,3.957,-0.22,4.759,2017-01-24,energy
DK,E,2022-01-07,0.745,0.0,2.774,0.41,13.745,3.032,3.243,0.831,2.343,0.031,-0.035,-0.038,-0.012,0.188,-0.055,-0.143,0.07,-0.043,-0.077,-0.014,2.933,0.054,2.148,0.04,2.305,2017-01-24,energy
DK,ERF,2022-01-07,0.588,0.0,3.101,0.151,1.962,3.032,3.243,0.867,1.058,-0.001,0.051,0.07,0.04,0.017,-0.014,0.0,0.087,-0.038,-0.088,-0.007,3.147,-0.132,3.952,-0.105,3.782,2017-01-24,energy
DK,KOS,2022-01-07,0.882,0.667,2.845,0.215,-1.307,3.032,3.243,0.241,0.382,0.049,0.047,0.028,0.026,-0.009,0.027,0.035,-0.035,0.054,0.051,0.009,2.746,-0.122,4.198,-0.275,5.892,2017-01-24,energy
DK,MUR,2022-01-07,0.608,0.0,2.785,0.423,8.882,3.032,3.243,0.85,2.567,0.017,0.034,-0.026,0.004,-0.017,-0.038,-0.041,0.018,-0.033,-0.081,-0.006,2.831,-0.117,3.625,-0.246,4.543,2017-01-24,energy
DK,SU,2022-01-07,0.882,0.167,2.794,0.611,7.632,3.032,3.243,0.639,1.209,0.023,0.02,0.018,0.018,0.007,0.019,-0.017,0.05,0.061,0.009,-0.039,3.274,-0.07,3.651,-0.09,3.899,2017-01-24,energy
DK,TTE,2022-01-07,0.784,0.0,2.729,0.672,29.911,3.032,3.243,0.755,1.251,0.097,-0.035,-0.036,-0.017,-0.077,0.03,0.058,0.062,0.105,-0.009,-0.084,3.968,0.084,1.48,0.11,1.097,2017-01-24,energy
DVN,OII,2022-01-07,0.588,0.0,-2.553,0.362,4.347,3.032,3.243,0.051,-1.913,0.026,-0.011,0.005,-0.092,-0.143,0.053,0.181,-0.013,0.024,0.019,0.002,-2.535,0.003,-2.53,-0.089,-3.369,2017-01-24,energy
E,EC,2022-01-07,0.725,1.0,-2.603,0.412,2.233,3.032,3.243,0.195,-0.98,0.047,0.027,0.025,0.033,0.005,0.032,0.015,0.017,0.075,0.069,0.034,-1.869,0.156,0.764,0.197,1.627,2017-01-24,energy
E,HP,2022-01-07,0.725,0.333,-2.622,1.91,-14.925,3.032,3.243,0.446,-1.67,-0.014,-0.066,-0.058,-0.046,0.014,0.009,0.002,0.054,0.013,-0.036,0.039,-1.985,0.182,0.365,0.195,0.571,2017-01-24,energy
EC,ERF,2022-01-07,0.51,0.0,3.276,0.763,-3.545,3.032,3.243,0.015,2.998,-0.007,-0.02,0.026,0.013,0.011,-0.007,-0.019,-0.021,-0.015,0.004,0.033,2.908,0.015,3.107,0.077,2.424,2017-01-24,energy
EC,MUR,2022-01-07,0.51,0.0,3.311,2.286,-8.298,3.032,3.243,0.0,2.507,-0.036,0.003,-0.011,-0.032,-0.024,0.021,0.018,0.004,-0.0,-0.003,0.036,2.79,0.034,2.808,-0.005,3.392,2017-01-24,energy
EC,TTE,2022-01-07,0.569,0.667,2.777,2.864,11.64,3.032,3.243,0.23,0.721,-0.02,0.046,0.075,0.072,-0.007,0.014,-0.007,0.004,0.049,0.03,-0.031,3.628,0.148,-1.335,0.205,-2.89,2017-01-24,energy
EOG,RIG,2022-01-07,0.588,0.0,-2.776,0.103,-2.426,3.032,3.243,0.254,-2.223,0.042,0.014,0.016,0.005,0.008,-0.015,-0.014,0.018,-0.051,-0.007,-0.096,-3.666,-0.043,-3.178,-0.145,-4.119,2017-01-24,energy
