ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABC,MCK,2022-01-03,0.627,2.684,1.863,-19.415,3.9,0.34056008,0.6639419,-0.008,3.179,-0.012,3.446,-0.033,4.72,2017-01-18,health_care_equipment_and_services
ABC,PHG,2022-01-03,0.549,-2.643,0.165,28.318,3.9,0.013567342,-1.8736577,-0.088,-3.637,-0.165,-4.509,-0.174,-4.607,2017-01-18,health_care_equipment_and_services
ABT,CYRX,2022-01-03,0.569,-3.429,1.046,-65.175,3.9,0.12991168,-0.30129695,-0.039,-4.591,-0.029,-4.308,0.0,-3.415,2017-01-18,health_care_equipment_and_services
ABT,PHG,2022-01-03,0.784,-2.712,0.148,29.735,3.9,0.5469816,-1.906667,-0.058,-3.362,-0.081,-3.619,-0.062,-3.404,2017-01-18,health_care_equipment_and_services
ACHC,CVS,2022-01-03,0.569,3.242,0.738,36.785,3.9,0.63361925,1.953148,-0.07,4.738,-0.001,3.265,0.055,2.062,2017-01-18,health_care_equipment_and_services
ADUS,ANTM,2022-01-03,0.627,2.784,1.21,197.65,3.9,0.8675796,2.4540448,0.003,2.757,-0.046,3.266,-0.057,3.383,2017-01-18,health_care_equipment_and_services
ADUS,MLAB,2022-01-03,0.706,2.681,0.984,166.288,3.9,0.6677956,1.0789994,0.081,1.394,0.128,0.632,0.151,0.275,2017-01-18,health_care_equipment_and_services
ADUS,PHG,2022-01-03,0.824,-2.558,0.311,16.595,3.9,0.33055183,-0.78359294,0.005,-2.459,-0.053,-3.512,-0.071,-3.839,2017-01-18,health_care_equipment_and_services
ALGN,ANTM,2022-01-03,0.725,3.15,0.285,192.723,3.9,0.5588057,0.648549,-0.031,3.895,-0.099,5.538,-0.129,6.253,2017-01-18,health_care_equipment_and_services
AMED,ANTM,2022-01-03,0.647,3.025,0.311,245.434,3.9,0.76021385,2.7706113,0.019,2.846,-0.029,3.296,-0.048,3.48,2017-01-18,health_care_equipment_and_services
AMED,DGX,2022-01-03,0.549,2.831,0.17,80.831,3.9,0.6483331,2.5716028,0.114,1.694,0.127,1.558,0.154,1.289,2017-01-18,health_care_equipment_and_services
AMED,HUM,2022-01-03,0.686,2.664,0.882,192.359,3.9,0.9183901,1.4754016,0.055,1.944,0.026,2.321,0.048,2.028,2017-01-18,health_care_equipment_and_services
AMED,OPCH,2022-01-03,0.784,2.658,0.029,10.261,3.9,0.91844684,2.4792798,0.123,1.838,0.059,2.267,0.033,2.436,2017-01-18,health_care_equipment_and_services
AMED,UNH,2022-01-03,0.51,3.191,0.652,186.17,3.9,0.90435636,0.5342455,-0.0,3.195,-0.004,3.228,-0.012,3.305,2017-01-18,health_care_equipment_and_services
