ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABMD,EHC,2019-11-11,0.549,2.64,0.078,23.473,3.73,0.61694443,1.5006063,-0.055,3.472,-0.136,4.679,-0.196,5.585,2014-11-24,health_care_equipment_and_services
ABMD,PODD,2019-11-11,0.588,3.266,0.136,48.517,3.73,0.80890495,1.7463243,-0.058,3.668,-0.086,3.864,-0.172,4.462,2014-11-24,health_care_equipment_and_services
ABMD,RDNT,2019-11-11,0.706,2.557,0.024,5.463,3.73,0.5840892,1.8020939,-0.205,4.656,-0.257,5.191,-0.351,6.15,2014-11-24,health_care_equipment_and_services
ABMD,ZBH,2019-11-11,0.686,2.679,-0.0,112.494,3.73,0.7328205,1.1650779,-0.026,3.072,-0.041,3.311,-0.109,4.344,2014-11-24,health_care_equipment_and_services
ABT,CNMD,2019-11-11,0.804,3.222,1.126,-2.859,3.73,0.5330364,1.663432,-0.002,3.291,0.003,3.136,0.062,1.169,2014-11-24,health_care_equipment_and_services
ABT,EW,2019-11-11,0.588,2.793,0.873,-3.743,3.73,0.38410494,1.4106452,0.016,2.193,0.011,2.405,0.048,1.018,2014-11-24,health_care_equipment_and_services
ADUS,USPH,2019-11-11,0.667,-4.065,1.348,17.309,3.73,0.6212401,-0.09138228,-0.031,-5.398,-0.07,-7.093,-0.049,-6.207,2014-11-24,health_care_equipment_and_services
ALGN,ICUI,2019-11-11,0.804,-2.925,0.547,89.036,3.73,0.78145397,-0.83759254,0.005,-2.859,-0.014,-3.123,0.109,-1.343,2014-11-24,health_care_equipment_and_services
ALGN,PODD,2019-11-11,0.706,3.1,0.2,36.03,3.73,0.96798116,0.82391334,-0.013,3.204,-0.011,3.193,-0.11,3.993,2014-11-24,health_care_equipment_and_services
ALGN,ZBH,2019-11-11,0.745,2.652,0.018,108.267,3.73,0.8298335,1.2129216,-0.023,3.016,-0.035,3.211,-0.103,4.31,2014-11-24,health_care_equipment_and_services
AMED,DXCM,2019-11-11,0.529,3.347,0.253,3.329,3.73,0.17416406,0.28839082,0.016,2.869,-0.012,3.693,0.023,2.656,2014-11-24,health_care_equipment_and_services
AMED,MOH,2019-11-11,0.569,-2.998,0.918,18.164,3.73,0.16358732,-0.94758266,-0.021,-3.462,-0.022,-3.499,-0.078,-4.762,2014-11-24,health_care_equipment_and_services
AMEH,CNMD,2019-11-11,0.588,3.234,1.805,36.23,3.73,0.80281866,3.1421826,0.026,2.981,0.03,2.946,0.091,2.348,2014-11-24,health_care_equipment_and_services
AMEH,PODD,2019-11-11,0.765,3.455,3.124,34.156,3.73,0.9771985,3.3015223,0.013,3.353,-0.009,3.525,-0.081,4.111,2014-11-24,health_care_equipment_and_services
AMEH,RMD,2019-11-11,0.647,2.969,2.468,55.55,3.73,0.9582652,1.8803967,0.003,2.933,-0.041,3.412,-0.117,4.221,2014-11-24,health_care_equipment_and_services
AMEH,ZBH,2019-11-11,0.569,2.803,0.438,105.818,3.73,0.91650146,1.2055179,-0.016,3.065,-0.031,3.321,-0.094,4.37,2014-11-24,health_care_equipment_and_services
AMN,PODD,2019-11-11,0.588,2.864,2.479,-42.018,3.73,0.28745636,2.3330393,-0.018,3.104,-0.008,2.978,0.004,2.81,2014-11-24,health_care_equipment_and_services
ANTM,MMSI,2019-11-11,0.588,-3.766,0.196,1.532,3.73,0.6856019,-3.451059,0.05,-3.252,0.07,-3.046,0.132,-2.41,2014-11-24,health_care_equipment_and_services
ATRC,ZBH,2019-11-11,0.569,2.63,0.524,99.502,3.73,0.49189052,1.1263615,-0.013,2.866,-0.018,2.952,-0.047,3.474,2014-11-24,health_care_equipment_and_services
ATRI,ZBH,2019-11-11,0.941,2.586,0.032,91.856,3.73,0.50144154,0.99137455,-0.034,3.264,-0.042,3.42,-0.109,4.748,2014-11-24,health_care_equipment_and_services
BAX,ZBH,2019-11-11,0.765,2.599,0.518,79.039,3.73,0.2101777,0.878125,-0.008,2.791,-0.002,2.638,-0.048,3.828,2014-11-24,health_care_equipment_and_services
BDX,EW,2019-11-11,0.588,3.04,0.398,-34.438,3.73,0.027898813,1.9580203,0.052,1.793,0.079,1.126,0.039,2.101,2014-11-24,health_care_equipment_and_services
BDX,MMSI,2019-11-11,0.588,-2.887,0.282,-13.425,3.73,0.06845934,-2.3731053,-0.009,-2.981,-0.003,-2.914,0.121,-1.657,2014-11-24,health_care_equipment_and_services
BDX,PODD,2019-11-11,0.549,4.206,1.0,-125.08,3.73,0.14428528,2.6880488,0.03,3.471,0.055,2.862,-0.044,5.28,2014-11-24,health_care_equipment_and_services
BDX,RMD,2019-11-11,0.961,3.568,0.709,-53.467,3.73,0.09479084,1.2590356,0.022,2.845,0.03,2.567,-0.071,5.958,2014-11-24,health_care_equipment_and_services
BDX,ZBH,2019-11-11,0.804,2.64,0.171,77.16,3.73,0.19445843,0.85670507,-0.002,2.689,-0.0,2.648,-0.075,4.376,2014-11-24,health_care_equipment_and_services
BSX,EW,2019-11-11,0.804,3.001,1.904,-13.224,3.73,0.21846843,1.4390838,0.054,1.316,0.068,0.892,0.042,1.688,2014-11-24,health_care_equipment_and_services
BSX,LHCG,2019-11-11,0.51,2.819,3.855,-41.175,3.73,0.09395479,0.00669522,0.034,0.816,0.015,1.941,-0.084,7.734,2014-11-24,health_care_equipment_and_services
BSX,MDT,2019-11-11,0.902,2.526,1.358,36.656,3.73,0.5030929,0.888732,0.009,2.17,-0.018,3.215,-0.037,3.952,2014-11-24,health_care_equipment_and_services
